Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,172,,,,,,,,,,,,,,,156
,,,10,,,,,,,,,,,,,156
,,55,,,,,,,,,1,1 1,4,1,,156
,TOTAL,54 55,34,,135,13,,,,4,1,1,30,54,,156
,PENNSYLVANIA TOTAL,54,10,,102,32,2,1,,15,38,41 43,46,48,,156
,TOTAL,54,27,,61,5,,,,,1,1 1,1,5,,156
,DIS COLUMBIA,,,,,,,,,,,,,,,156
,,54,7,9,120,67,9,,34,58,61,61 88,118,118,,156
,WEST VIRGINA TOTAL,54,4,2,46,25,,2,,15,15,15 38,38,48,,156
,,54,9,,56,,,1,1,7,8,8 8,,17,,156
,GEORGIA TOTAL,54,6,1,57,18,,,1,1,,17 17,38,38,,156
,,54 55,41,,65,5,,,,,1,1 1,,27,,156
,,53 54,27,,137,50,1,,26,30,43,54 69,88,107,,156
,,54 55,115,,118,22,,,1,1,,12 30,46,80,,156
,MENNESOTA TOTAL,54,12,,100,48,1,,34,38,54,58 61,78,99,,156
,TOTAL,54,11,,32,16,,1,1,,22,23 23,24,30,,156
,LOUISIANA TOTAL,54,4,,,,,,,1,1,1 1,1,1,,156
,,54,29,,420,34,,,1,1,,24 43,54,59,,156
,,54,3,,,,,,,,1,1 1,1,1,,156
,UTAH TOTAL,54,4,,52,16,,1,1,1,1,11,11,54,,156
,ALASKA TOTAL,54 55,21,,448,25,,,,,1,1 1,,24,,156
,,,,,,,,,,1,,1,16,46,,156
,CALIFORNIA TOTAL,54,115,,100,10,,,,,1,,,,,156
,OREGON TOTAL,54,53,,114,8,,,,,,1 4,,46,,156
,ATLNTC TOT AL,54 55,54,,135,14,,,,,1,1,35,48,,156
,TOTAL,54 55,38,,120,19,,,,1,1,15,43,59,,156
,,54,15,,57,14,,1,1,1,8,16,17,,,156
,AL,,,,,,,,,,,,,,,156
,TOTAL,53 55,183,,137,22,,,1,1,,12 28,47,78,,156
,TOT AL,54,23,,100,33,,1,,22,24,32 38,58,78,,156
,GULF AL,54,33,,420,30,,,1,1,1,38,51,59,,156
,AL,54,7,,52,9,,,,1,1,1,11,11,,156
om co,,54 55,,,,,,,,1,,1,10,44,,156
,PAC,,189,,448,,,,,,1,,,,,156
,a,,,,,,,,,,,,,,,156
,GRAND TOTAL,53 55,542,,448,18,,,,1,1,16,38,62,,156
aun,,,,,,,,,,,,,,,,156
Nw,,,,,,,,,,,,,,,,156
Nw,,,,,,,,,,,,,,,,156
co,,,,,,,,,,,,,,,,156
am,,,,,,,,,,,,,,,,156
,Google,,,,,,,,,,,,,,,156
oa,,,,,,,,,,,,,,,,156
