Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,R,,,,,,,8,5,6,6,11,9,10,,,13
,,,4,6,8,7,8,,,,,347,,330,,,13
,AVERAGE,,140,215,158,,,188,144,132,142,145,209,179,,,13
,,,112,73,98,131,81,69,101,54,97,11,72,59,,,13
,,57,,,,,,,,,,,,,,,13
,,,2,2,3,2,2,1,3,2,2,2,3,2,,,13
,AVERAGE,,157,202,182,96,115,124,93,77,107,68,97,181,,,13
,,,,,,,,,38,,85,52,35,147,,,13
,,,146 2,2,2,2,2,,3,2,158 1,3,1,2,,,13
,AVERAGE,,121,116,89,57,77,109,72,107,158,72,101,181,,,13
,,57,,,,,,,,,,,,,,,13
,,,2,2,2,2,3,2,3,1,3,1,2,3,,,13
,,,,,,,,193,182,72,136,99,96,247,,,13
,AVERAGE,,88,179,76,127,81,135,133,72,109,99,68,147,,,13
,,57,,,,,,,,,,,,,,,13
,AVERAGE,,,156,117,123,62,115,54,,118,265,128,,,,13
,,,,156,101,89,46,100,47,,118,265,122,89,,,13
,,54,,,,,,,,,,,,,,,13
,,,348,211,256,472,160,157,130,182,117,202,193,388,,,13
,AVERAGE,,214,181,153,165,126,105,88,104,97,141,,185,,,13
,,,79,125,90,68,77,537,71,62,72,96,97,96,,,13
,,55 56,,,,,,,,,,,,,,,13
,,,1,2,2,2,2,4,2,2,3,103 4,2,100 2,,,13
,,,50,81,81,58,83,92,,44,103,103,69,,,,13
,AVERAGE,,50,70,60,49,77,62,47,41,,72,,81,,,13
,,54 56,,,,,,,,,,,,,,,13
,,,254,212,222,138,353,175,255,178,160,293,186,259,,,13
,AVERAGE,,129,121,137,97,156,108,123,107,126,144,110,144,,,13
,AVERAGE,,26,83,61,40,75,92,83,127,82,54,93,61,,,13
,,,21,39,38,40,57,90,34,69,85,46,55,56,,,13
,,57,,,,,,,,,,,,,,,13
,,,,1,,,,2,,1,,3,2,,,,13
,,,,83,83,165,85,160,195,161,82,253,,,,,13
,AVERAGE,,,83,83,112,71,142,160,161,62 62,157,56,95,,,13
,,,,83,83,59,54,124,126,161,43,103,43,82,,,13
,,57,,,,,,,,,,,,,,,13
,,,2,2,3,2,1,2,3,2,3,2,2,2,,,13
,,,82,95,115,191,159,116,99,169,107,54,77,70,,,13
,AVERAGE,,62,78,86,163,,90,65,135,95,53,,53,,,13
,,,42,62,57,135,159,64,42,101,71,52,41,37,,,13
,,57,,,,,,,,,,,,,,,13
,,,3,2,3,1,2,3,3,2,3,2,1,3,,,13
,AVERAGE,,145,190,113,148,101,111,86,69,56,74,169,85,,,13
,,57,,,,,,,,,,,,,,,13
,,,,1,2,2,2,1,1,2,1,2,1,2,,,13
,,,,41,100,108,72,71,53,74,69,152,55,99,,,13
,AVERAGE,,,41,,75,,,,,,,,,,,13
,,,,,,,62,71,53,65,69,96,55,78,,,13
,,,,41,62,42,52,71,53,57,69,40,,57,,,13
,,54 57,,,,,,,,,,,,,,,13
,AVERAGE,,114,92,125,84,126,138 138,105,89,77,111,67,89,,,13
,,57,,,,,,,,,,,,,,,13
,,,,,,,,3,,,,,3,,,,13
,,,2,3,1,2,2,,2,2,2,2,,2,,,13
,AVERAGE,,35,68,,62,57,57,39,60,48,46,31,60,,,13
,,57,,,,,,,,,,,,,,,13
,,,2,2,2,2,3,3,2,3,1,2,5,1,,,13
,AVERAGE,,208,168,298,116,213,184,135,154,122,113,186,481,,,13
