Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,56,36,1,17,5,2,2,3,4,5,6,7,8,12,,149
,MASSACHUSETS TOTAL,55,49,1,170,12,2,2,3,4,5,5,8,10,17,,149
,NEW JERSEY TOTAL,55 56,130,,26,5,1,2,2,3,4,5,6,8,11,,149
,TOTAL,54 56,76,2,89,21,4,6,8,11,15,21,24,32,41,,149
,,54 56,275,,212,7,1,2,3,3,4,5,6,9,14,,149
,PENNSYLVANIA TOTAL,,,,,,,,,,,,,,,,149
,,,,,,,,,10,11,,18,20,22,26,,149
,TOTAL,54 96,46,5,39,16,6,8,,,14,,,,,,149
,KENTUCKY TOTAL,54 55,71,1,130,19,2,4,6,9,13,16,23,26,48,,149
,,57,18,3,32,9,4,,5,7,7,8,9,9,10,,149
,WEST TOTAL,54,27,1,25,6,1,2,2,3,4,4,5,9,,,149
,,54 55,31,1,43,8,2,3,3,4,5,6,7,11,14,,149
,,,,,,,,,10,,,,19,20,23,,149
,,54 56,26,1,98,17,3,6,,11,12,16,,,,,149
,TENNESSEE TOTAL,55 56,32,1,27,8,1,2,3,5,6,8,9,,16,,149
,,54 56,149,,122,17,2,5,7,9,12,14,19,24,37,,149
,INDIANA TOTAL,55 56,86,1,64 64,12,2,3,4,6,8,10,13,18,26,,149
,,53 54,,,58,24,15,18,20,21,22,23,26,29,37,,149
,,,33,2,,,,,,,,,,,,,149
,OHIO TOTAL,54 57,182,1,146,19,4,6,8,9,,16,19,24,45,,149
,,57,19,2,61,9,2,3,3,4,5,5,6,10,16,,149
,MISSOURI TOTAL,54 56,63,,23,8,2,4,5,6,7,9,10,12,18,,149
,LOUISIANA TOTAL,54 55,,1,25,4,1,1,1,2,2,3,3,5,7,,149
,,,,,170,,,4,6,8,10,11,15,31,62,,149
,,54 55,155,,,21,2,,,,,,,,,,149
,,54 55,26,3,39,15,4,5,9,10,12,17,18,22,27,,149
,,54 55,31,1,,18,,10,11,13,14,,18,22,41,,149
,ALASKA TOTAL,54 55,42,,57,,1,1,3,5,7,9,,20,31,,149
,,,,,,49,,3,5,7,10,13,18,25,45,,149
,CALIFORNIA TOTAL,54 56,224,,266,19,1,,,,,,,,,,149
,,,,,,,,,,,,,,32,45,,149
,,54 55,714 74,1,71,20,5,7,9,13,15,17,22,,,,149
,WASHINGTON TOTAL,57,20,1,16,6,2,3,3,4,4,5,7,8,12,,149
,NEW TOTAL,55 56,a5,1,170,9,2,2,3,4,4,,,9,14,,149
,TOTAL,54 56,48681 481,,212,9,1,2,3,4,5,6,,11,,,149
,,,,,,,,,6,8,10,13,17,22,30,,149
,TOTAL,54 57,162,1,130,15,2,4,,,,,,,,,149
,,54 56,89,1,98,10,2,3,4,6,7,10,1,14,21,,149
,TOTAL,53 57,469,,146,17,3,5,7,9,12,1,19,23,37,,149
,,54 56,99,,23,7,2,3,4,5,6,,,190 10,15,,149
,,,,,,,,2,3,5,7,10,12,21,53,,149
,,54 55,205,,170,17,1,,,,,,,,,,149
,,,,,,,,,,,,164,,,,,149
,,54 55,57,1,47,16,4,8,10,12,14,,18,22,35,,149
,,54,360,,266,17,1,3,5,,10,13,1,25,43,,149
,,53 57,2007,,266,14,2,3,4,,8,1,,20,32,,149
