Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,MIDOLESEX,1755,55,23,,2,,,,,,1,1,1,1,1,,201
,LAKEHURST N J,,55 56,,,5,,,,,,1,1,,1,1,,201
,KANAWHA VA,,54 55,23,,17,3,,,1,1,1,2,4,,8,,201
,,,,,,,,,,,,,,,,20,,201
,HILLSBOROUGH,14154,54,4,5,20,1i,,5,5,8,8,8,14,14,,,201
,FULTON,1154,54,4,10,40,19,,10,10,12,12,12,18,,45,,201
,HAMILTON,,54 55,29,,26,2,,,,1,1,1,1,2,7,,201
,,,54 55,10,1,5,2,1,1,1,,,2,2,4,5,,201
,SALT LAKE,1154,54,4,,61,,,,,,1,1,1,1,69,,201
,MULTNOMAH CNTY ORE,,54,,,9,3,,,1,1,2,3,3,6,9,,201
,TOTAL,,54 56,137,,61,3,,,,1,1,1,1,4,9,,201
,,,,,,,,,1,,,,,,,,,201
,PT WORONZOF ALASKA,,55 56,,1,10,3,1,,1,1,3,3,,5,,,201
