Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,,,,,,,,,,,,91,,,75
,,,,,,,,,,3,2,3,2,,,75
,,,3,1,2,3,,1,1,,,,,,,75
AVERAGE,,,3,3,5,,2,3,2,1,4,,2,,,75
,,,2,3,5,2,,3,2,1,4,,2,,,75
WASHINGTON,,,,,,,,,,,,,,,,75
,,1,,,1,3,5,4,7,6,3,1,,,,75
,,1,20,,1,1,,,12,19,,1,,,,75
AVERAGE,,1,1,,1,1,1,1,1,1,2,1,,,,75
,,2,3,1,1,1,3,13,13,13,6,1,6,,,75
AVERAGE,,19,15,29,,2,17,9,13,5,,15,,,,75
,,18,,29,20,2,1,,,,3,is,6,,,75
,,,1,1,,2,,2,2,1,3,2,1,,,75
,,,,,,,,,,,190,,,,,75
,,,4,3,,6,2,2,3,2,,3,17,,,75
AVERAGE,,,4,3,,4,,1,3,2,5,2,17,,,75
,,,4,3,,2,1,,3,2,2,2,17,,,75
,55,,,,,,,,,,,,,,,75
,,2,1,1,3,2,1,2,2,3,1,,1,,,75
,,15,8,10,6,9,3,6,3,3,8,3,10,,,75
AVERAGE,,10,8,10,3,7,3,,2,1,8,3,10,,,75
,55 56,,,,,,,,,,,,,,,75
,,1,1,3,2,1,1,3,1,,1,6 1,1,,,75
,,,,,,35,,2,,,9,,1,,,75
AVERAGE,,,,,,35,,1,,,9,6,1,,,75
,,,,,,35,,,,,9,6,1,,,75
,56,1,5,3,2,2,,1,4,4,,3,2,,,75
,,,10,4,1,3,,4,,6,8,,19,,,75
AVERAGE,,,,,,,,,,,,1,,,,75
,,5,,3,,,,4,,1,2,,1,,,75
CHICAGO,54,,,,,,,,,,,,,,,75
,,4,,,3,,12,14,9,8,16,13,8,,,75
,,78,134,46,4,20,,43,15,31,66,,215,,,75
AVERAGE,,2,4,,1,2,2,1,1,1,2,1,3,,,75
,56,,,,,,3,1,4,3,1,2,3,,,75
,,4,2,,2,2,,,,,,5,11,,,75
AVERAGE,,5,3,7,8,9,3,9,5,4,1,4,,,,75
,,2,2,4,,3,2,9,4,2,1,4,5,,,75
,55 56,,,,,,,,,,,,,,,75
,,6,,14,7,4,6,i0,5,7,6,8,8,,,75
,,32,6,22,35,33,50,16,7,12,13,,22,,,75
AVERAGE,,,1,,,7,5,3,1,2,4,2,3,,,75
co,,,,1,4,,,,,,,,,,,75
,54 55,,,,,,,,,,,,,,,75
,,3,3,,2,,5,8,9,12,8,3,6,,,75
,,7,23,9,9,3,10,6,9,17,a4,13,40,,,75
AVERAGE,,3,15,6,4,2,3,2,,2,,1,1,,,75
oe,,,,,,,,,,,,,,,,75
,54,1,1,,1,,2,,,4,3,,1,,,75
AVERAGE,,1,,1,1,,,,6,3,,1,2,,,75
,,1,,1,1,,,,,2,1,,2,,,75
,55 56,,,,,,,,,,,,,,,75
,,9,6,9,3,3,3,2,4,1,,6,18,,,75
AVERAGE,,,5,,,,,,1,1,,6,16,,,75
,56,,,,,,,,,,,,,,,75
AVERAGE,,3,9,,4,3,12,3,4,8,3,3,5,,,75
,,3,9,,2,2,2,3,4,6,3,2,3,,,75
14,54 55,,3,3,4,4,4,6,4,4,3,5,3,,,75
oe,,,11,19,39,,,,,,,,,,,75
AVERAGE,,4,6,190,17,4,3,9,6 3,1,6 3,6 1,7 3,,,75
,,3,3,5,5,2,,2,,,,,,,,75
,54,,,,,,,,,,,,,,,75
,,2,3,3,2,2,2,2,2,2,3,2,3,,,75
AVERAGE,,5,2,2,4,2,2,2,8,4,2,3,3,,,75
,,3,2,,2,2,2,2,6,4,1,2,1,,,75
om,,,,,,,,,,,,,,,,75
ca,,,,,,,,,,,,,,,,75
,gle,,,,,,,,,,,,,,,75
oa,,,,,,,,,,,,,,,,75
