Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,,56,39,44,93,18,62,29,130,30,,19,,,220
,AVERAGE,,,40,39,35,67 67,11,62,29,86,i5,40,17,,,220
,,,,19,39,27,30,5,62,29,58,,21,16,,,220
,,55 56,,,,,,,,,,,,,,,220
,,,1,2,,1,3,2,1,3,2,1,1,,,,220
,AVERAGE,,40,50,,50,33,50,40,36,8s,50,10,,,,220
,,54 55,,,,,,,,,,,,,,,220
,,,2,3,1,1,1,3,13,13,12,6,1,6,,,220
,,,,100,170,120,54,160,110,140,150,130,30,,,,220
,AVERAGE,,21,63,170,120,54,60,21,41,48,,,20,,,220
,,57,,,,,,,,,,,,,,,220
,,,1,2,2,3,1,3,2,3,1,,,,,,220
,,,86,25,90,125,,48,48,38,55,,,,,,220
,AVERAGE,,,,85,65,,43,43,,,,,,,,220
,,55,,,,,,,,,,,,,,,220
,,,,1,1,,2,2,2,1,1,3,2,,,,220
,AVERAGE,,,,30,,,14,7,10,10,23,13,20,,,220
,,55,,,,3,,1,2,2,3,1,2,1,,,220
,,,2,,1,,2,,6,30,70,70,,,,,220
,,,13,20,,10,7,20,,,,,,10 10,,,220
,AVERAGE,,,20,,9,3,20,3,30,36,70,,,,,220
,,,9,20,,7,,20,,30,20,70,,10,,,220
,,55 56,,,,,,,,,,,,,,,220
,,,1,1,3,2,1,1,3,1,,1,1,1,,,220
,,,3200,80,610,980,400,40,60,70,,190,160,20,,,220
,AVERAGE,,3200,80,240,492,400,40,42,70,,190,160,20,,,220
,,,,,,,,40,7,70,,190,160,20,,,220
,,,3200,80,40,4,400,,,,,,,,,,220
,CHATTANOOGA TENN,55 56,,,,,,,,,,,,,,,220
,,,1,5,3,2,2,,1,4,4,5,3,2,,,220
,AVERAGE,,4,32,36,4,104,,10,22,32,71,30,89,,,220
,CHICAGO,,,,,,,,,,,10,10,5,,,220
,,,2,3,2000 6,3,8,11,9,6,3900 4,4700,3000,170,,,220
,,,20,1200,,,4900,3400,770,1500,,,,,,,220
,AVERAGE,,20,446,468,363,993,605,141,371,1467,901,404,132,,,220
,,55 56,,,,,,,,,,,,,,,220
,,,4,2,2,2,2,3,1,4,3,1,2,3,,,220
,AVERAGE,,97,80,1255,230,370,163,3500,355,730,30,125,103,,,220
,,,,30,110,170,30,20,3500,70,60,30,110,80,,,220
,,,80,,,,,,,,,,,,,,220
,,,4300,360,5000,250,180,290,,730,1470,600,,3000,,,220
,AVERAGE,,984,120,722,144,92,127,,197,291,259,147,429,,,220
,,,2,,2,2,2,2,2,3,2,1,1300 2,2,,,220
,,,75,,2400,665,235,200,370,416,487,180,653,,,,220
,AVERAGE,,,,2400,360,71,150,300,30,14,180,6,400,,,220
,,57,,,,,,,,,,,,,,,220
,AVERAGE,,,,57,1053,140,53,110,210,61,190,,,,,220
,,,,,57,86,140,53,110,100,61,190,,,,,220
,,57,,,,,,,,,,,,,,,220
,,,,140,72,120,140,,62,60,77,,,,,,220
,AVERAGE,,67,70,36,40,,,,,,,,,,,220
,,,58,,,,53,,,,,,,,,,220
,,,1,1,1,1,,2,,,4,3,2,1,,,220
,AVERAGE,,30,30,90,20,,10,,26,22,33,39,50,,,220
,M,55 56,,,,,,,,,,,1,,,,220
,,,80,290,50,100,100,40,70,,140,,,,,,220
,AVERAGE,,33,180,42,36,36,35,40,90,140,40,80,2900,,,220
