Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,,101,,85
,MIODLESEX CNTY MASS,,55,23,1,16,5,1,3,3,4,5,5,6,8,10,,85
,,,,ig,2,,11,2,3,5,6,7,7,8,8,10,,85
,LAKEHURST N J,,56,,,,,,,,,,,,,,,85
,KANAWHA VA,,55,17,1,14,6,1,2,4,5,6,8,9,11,,,85
,HAMILTON,,54 55,22,,52,io,3,4,5,6,6,7,8,10,13,,85
,DENVER COUNTY COLO,,54 55,10,1,,,1,1,2,2,4,5,7,8,9,,85
,,,,10,21,61,44,,27,28,41,46,S52,56,,63,,85
,ORE,,54,,,,,,,,,,,,,,,85
,,,,,,,,,,,,6,8,9,,41,,85
,GRAND TOTAL,,54 56,101,,61,,1,3,4,5,,,,,,,85
,PT WORONZOF ALASKA,,55 56,12,,3,1,,,,,1,1,1,2,2,,85
oe,,,,,,,,,,,,,,,,,,85
an,,,,,,,,,,,,,,,,,,85
oe,,,,,,,,,,,,,,,,,,85
om,,,,,,,,,,,,,,,,,,85
am,,,,,,,,,,,,,,,,,,85
,Google,,,,,,,,,,,,,,,,,85
oa,,,,,,,,,,,,,,,,,,85
