Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,WATERBURY CONN,1755,,14,,20,,1,2,2,5,6,6,7,7,9,,121
,,,,22,,40,6,,1,1,1,2,2,7,10,10,,121
,,,55 56,36,,40,6,1,1,1,2,3,6,7,9,10,,121
,BOSTON MASS,1755,55,23,,6,,,,,,1,1,1,1,3,,121
,EVERETT MASS,1755,55,26,,10,1,,,1,1,1,2,2,3,4,,121
,N J,,55 56,20,,4,,,,,1,1,1,1,1,2,,121
,J,,55 56,23,,4,,,,,1,1,1,1,1,2,,121
,,,55 56,19,,8,,,,,1,1,1,1,1,3,,121
,PERTH AMBOY,,55 56,21,,5,,,,,,1,1,1,1,1,,121
,J,,55 56,16,,4,,,,1,1,1,1,1,2,2,,121
,JERSEY city,,55 56,,,70,12,1,2,3,4,6,11,13,14,23,,121
,NEW YORK N Y,,55 56,21,,30,4,,1,1,2,2,4,5,7,10,,121
,,,,138,,,,,,,,,,,,,,121
,,,54 55,18,,30,6,1,1,1,2,2,5,7,10,17,,121
,,,54 56,39,,30,5,,1,1,2,2,4,5,9,13,,121
,PHILADELPHIA PA,1755,55,94,,12,2,,,1,1,1,1,2,3,6,,121
,,,56,11,,7,3,,1,1,2,3,3,4,5,6,,121
,,,55 56,105,,,2,,,1,1,1,1,2,3,6,,121
,,,56,11,,49,7,,1,1,1,2,3,6,7,7,,121
,,,56,9,,7,1,,,,1,1,1,1,1,5,,121
,,,56,11,,8,2,,,1,1,1,2,3,4,7,,121
,,7156,56,11,,31,4,,,,1,1,1,3,7,7,,121
,,,,94,,12,2,,,,,1,1,2,3,6,,121
,,,56,,,49,3,,,,1,1,2,3,6,7,,121
,,,55 56,147 47,,49,,,,,,,,,,,,121
,,,,,,,2,,,1,1,1,1,2,4,6,,121
,ALTOONA PA,1156,56,13,,6,1,,1,1,1,1,1,2,2,4,,121
,BRESTOL PA,,55 56,18,,4,,,,,,1,1,1,1,1,,121
,,,55 56,18,,8,1,,,1,1,1,2,2,3,5,,121
,,,56,25,,5,,,,,1,,1,1,1,2,,121
,,,,,,,,,,,,1,,,,,,121
,PITTSBURGH,,,,,,,,,,,,,,,,,121
,PA,,56,21,,200,28,1,4,5,8,10,20,,40,60,,121
,PA,,55 56,23,,9,4,1,1,2,2,3,5,6,6,7,,121
,,,55 56,17,,10,4,1,1,2,2,3,3,6,8,8,,121
,LOUISVILLE KY,1754,54,i7,,20,6,1,1,2,3,6,7,9,10,10,,121
,,,,20,,150,13,1,2,2,3,3,3,5,10,21,,121
,,,54 55,37,,150,10,1,1,2,3,3,,9,10,10,,121
,,,54,13,,10,2,,1,1,2,2,3,3,3,5,,121
,,2455,55,190,,20,4,,1,1,2,2,3,4,7,10,,121
,,,54 55,23,,20,3,,1,1,2,2,3,3,5,10,,121
,,,54,31,,20,4,,1,1,2,3,3,6,9,10,,121
,,,55,30,,150,10,1,1,2,2,3,3,5,10,20,,121
,,,54 55,61,,150,7,,1,2,2,3,3,6,9,10,,121
,,,57,18,23,290,71,25,28,29,35,40,44,60,112,146,,121
,CHARLESTON,,,,,,,,,,,,,,,,,121
,VA,,55,16,,40,8,,,1,1,4,9,9,10,20,,121
,TAMPA FLA,1755,55,21,,10,1,,,,1,1,1,2,4,6,,121
,ATLANTA GA,,56,16,,20,,1,1,2,2,3,5,6,9,10,,121
,CHATTANOOGA TENN,3155,,14,,2,,,,1,1,1,1,1,2,2,,121
,,,55 56,18,,30,5,1,1,1,2,2,3,,,10,,121
,,,,,,,,,,,,,,4,8,,,121
,,,56,32,,30,3,,1,1,1,1,2,2,3,9,,121
,CHICAGO,1755,55,28,,20,4,,1,1,2,3,3,5,6,9,,121
,,,,20,,40,6,1,1,2,3,4,6,7,8,10,,121
,,4155,55,29,,100,16,,1,1,2,3,4,7,21,60,,121
,,,55,77,,100,9,,1,1,2,3,4,6,9,21,,121
,,,,,,,,,,,,,,,,90,,122
,EAST LOUIS PLL,,56,15,3,50,9,3,4,4,5,6,6,9,9,10,,122
,,,55 56,14,,20,4,,1,,2,4,5,6,6,7,,122
,,,55 56,29,,50,7,1,2,3,4,5,,6,7,10,,122
,EAST CHICAGO,,55 56,19,,50,15,1,3,5,8,10,19,20,21,32,,122
