Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,NUMBER,,10,,,,20,7,,5,,,3,21,,,68
,AVERAGE,,5,,,,,7,,5,,,3,15,,,68
,,,,,,,11,7,,5,,,3,4,,,68
,ACADIA NATAL PARK ME,,,,,,,,,,,,,,,,68
,AVERAGE,,,,,,25,32,5,,19,24,17,6,,,68
,,,,,,,23,32,,,17,24,7,2,,,68
,FRST VT,57,,,,,,,,,,,,,,,68
,AVERAGE,,,,,,,,,35,111,102,14,,,,68
,WORCESTER,57,,,,,,,,,,,,,,,68
,,,,,,,,,5,4,4,3,5,3,,,68
,AVERAGE,,,,,,,,22,28,109,24,16,,,,68
,CAPE HATTERAS NC,57,,,,,,,,,,,,,,,68
,AVERAGE,,,,,,,,13,17,,32,14,18,,,68
,VA,57,,,,,,,,,,,,,,,68
,,,,,,,42,338,65,654,150,48 48,53,13,,,68
,AVERAGE,,,,,,24,100,36,245,a9,33,29,11,,,68
,HOLLY RIVER PK VA,57,,,,,,,,,,,,,,,68
,,,,,,,14,40,40,201,42,43,13,14,,,68
,AVERAGE,,,,,,,,,,,10,,,,,68
,GU LF SHORES PARK AL,57,,,,,,,,,,,,,,,68
,,,,,,,,,,,,126,17,22,,,68
,AVERAGE,,,,,,,,,,,76,14,16,,,68
,FL ORIDA KEYS FLORID,57,,,,,,,,,,,,,,,68
,AVERAGE,,,,,,,,,81,53,130,13,is,,,68
,OA TLAND GA,57,,,,,,,,,,,,,,,68
,,,,,,,28,40,54,22,28,43,7,,,,68
,AVERAGE,,,,,,19,28,36,16,28,28,6,14,,,68
,JA CKSON,57,,,,,,,,,,,,,,,68
,,,,,,,,,,40,1129,,15,26,,,68
,AVERAGE,,,,,,,,,23,386,267,11,18,,,68
,FT DONELSON TENN,57,,,,,,,,,,,,,,,68
,,,,,,,47,17,353,43,289,62,,10 10,,,68
,,,,,,,29,13,182,33,158,60,16,10,,,68
,AVERAGE,,,,,,,,,,,,,,,,68
,SA,57,,,,,,,,,,,,,,,68
,NUMBER OF ES,,,,,,1,2,2,2,2,1,2,1,,,68
,AVERAGE,,,,,,23,23,18,16,62,24,19,25,,,68
,,,,,,,23,22,14,14,37,24,13,25,,,68
,HU RON COUNTY MICH,57,,,,,,,,,,,,,,,68
,,,,,,,,,4,4,4,5,4,4,,,68
,AVERAGE,,,,,,17,15,74,,82,52,13,8,,,68
,PE RRYS MEMORIAL OHI,57,,,,,,,,,,,,,,,68
,AVERAGE,,,,,,,,,,,55,it,12,,,68
,,,,,,,,,,,,47,11,,,,68
,EL COUNTY KANSAS,57,,,,,,,,,,,,,,,68
,AVERAGE,,,,,,,,59,670,83,28,,,,,68
,AVERAGE,,,,,,20,15,122,13,30,,14,,,,68
