Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,2,3,4,2,4,3,3,1,4,3,3,2,,,158
,AVERAGE,,,590 590,55,,25,,,,,,,,,,158
,,,,,1,,,,,,,,,,,,158
,,54,,,,,,,,,,,,,,,158
,,,,3,,4,3,4,3,4,4,2,,,,,158
,AVERAGE,,,,,25,1,13,,,,,,,,,158
,CHICAGO,54 55,,,,,,,,,,,,,,,158
,,,2,4,,,2,9,5,3,4,6,3,3,,,158
,AVERAGE,,,6,,,36,13,,,,,,,,,158
,,,,,,,29,,,,,,,,,,158
,,53 54,,,,,,,,,,,,,,,158
,,,,2,3,4,1,1,,,,,12,,,,158
,AVERAGE,,,46,107,42,25,26,,,,,60,,,,158
,,,,33,77,7,25,26,,,,,21,,,,158
,OHIO,54 55,,,,,,,,,,,,,,,158
,,,1,4,38,11,12,17,6,6,10,5,1,4,,,158
,AVERAGE,,,10,43,30,36,1,,,,,,22,,,158
,,54,,,,,,,,,,,,,,,158
,,,1,2,3,1,3,8,,,,,,,,,158
,AVERAGE,,59,47,,26,,,,,,,,,,,158
,,,59,45,22,26,,,,,,,,,,,158
,,54 55,,,,,,,,,,,,,,,158
,,,1,1,,,,,,,,,,,,,158
,,,,,2,1,3,3,1,2,3,2,,2,,,158
,AVERAGE,,,,30,448,6,,,,,,,,,,158
,,54,,,,,,,,,,,,,,,158
,,,,1,4,3,6,2,2,,,,,,,,158
,AVERAGE,,,18,67,32,,,,,,,,,,,158
,,,,18,47,10,,,,,,,,,,,158
,,54,,,,,,,,,,,,,,,158
,,,2,4,2,3,,3,4,2,2,4,,,,,158
,AVERAGE,,,2,39,29,10,,,,,,,,,,158
,,,,,16,1,,,,,,,,,,,158
,,54 55,,,,,,,,,,,,,,,158
,,,3,5,,1,2,2,3,2,3,4,5,,,,158
,,,,,,60,,,,,,,,,,,158
,AVERAGE,,,,,,38,,,,,,,,,,158
,,,,,,60,,,,,,,,,,,158
,,54 55,,,,,,,,,,,,,,,158
,,,3,4,2,2,2,2,2,2,4,3,,3,,,158
,AVERAGE,,,,28,43,5,,,,,,,33,,,158
,,54,,,,,,,,,,,,,,,158
,,,,1,,,,,,,,,,,,,158
,,,,,71,114,,,,,,,,,,,158
,AVERAGE,,,76,27,76,,,,,,,,,,,158
,,,,76,,46,,,,,,,,,,,158
,HAMILTON COUNTY,54 55,,,,,,,,,,,,,,,158
,,,,,72,57,100,15,14,,,,,,,,158
,AVERAGE,,,,72,57,65,5,3,,,,,,,,158
