Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Page
PA,56,,,,,,,,,,,,,,97
AVERAGE,,88,82,96,55,108,93,65,,118,71,82,60,,97
,,53,82,63,38,73,93,65,,,53,61,50,,97
TTSBURGH,56,,,,,,,,,,,2,,,97
,,3,3,3,,,3,2,,2,2,,1,,97
AVERAGE,,73,69,213,,,192,226,,173,144,248,120,,97
,,44,29,164,,,77,198,,115,104,108,120,,97
wi,55 56,,,,,,,,,,,,,,97
,,,3,1,2,3,2,1,1,3,2,3,2,,97
,,,,,,,,,,200,193,169,151,,97
AVERAGE,,,184,143,162,193,206,161,143,,,,102,,97
,,,134,143,128,1861,129,161,143,161,121,125,,,97
,54 56,,,,,,,,,,,,,,97
,,1,6,1,5,6,6,4,7,6,3,1,,,97
,,241,252,93,140,226,206,261,245,i79,274,183,,,97
AVERAGE,,241,153,93,47,101,62,126,,97,130,183,,,97
,,241,27,93,5,5,1,,13,8,3,183,,,97
,54,,,,,,,,,,,,,,97
,,2,3,2,7,,4,13,13,12,6,1,6,,97
,,105,155,180,157,32,300,335,283,415,340,159,300,,97
AVERAGE,,101,115,155,41,15,127,208,172,155,163,159,168,,97
,,97,65,130,2,5,,,73,9,39,159,69,,97
,57,,,,,,,,,,,,,,97
,,2,2,2,3,1,3,2,3,1,,,,,97
AVERAGE,,174,145,168,156,65,108,63,74,106,,,,,97
,,94,136,140,10,65,90,32,31,106,,,,,97
,57,,,,,,,,,,,,,,97
,,2,2,2,2,2,3,2,2,2,1,2,3,,97
,,99,89,141,106,82,69,,115,67,113,86,94,,97
AVERAGE,,93,79,109,101,70,47,45,102,48,113,72,68,,97
,,67,70,77,97,58,29,40,89,29,113,58,29,,97
,,,2,,,,,,,,,,,,97
,,2,,3,1,2,2,3,1,1,1,3,2,,97
AVERAGE,,155,173,168,105,190,99,103,121,112,102,112,,,97
,54 57,,,,,,,,,,,,,,97
,,,1,4,,5,3,2,,1,3,2,1,,97
,,,371,168,58,1532,120,225,234,305,207,63,461,,97
AVERAGE,,,371,,,5,2,167,234,305,72,41,,,97
,,,,,,,,,,,,,461,,97
,54,,,,,,,,,,,,,,97
AVERAGE,,66,73,49,61,51,48,74,73,68,108,104,173,,97
,,24,3,5,5,,1,67,64,69,108,96,173,,97
,54 56,1,3,6,5,3,1,3,1,,1,1,1,,97
,,332,133,110,84,66,126,101,94,,119,,146,,97
AVERAGE,,332,46,50,34,37,126,61,94,,119,70,146,,97
,,332,1,5,3,6,126,36,94,,119,70,148,,97
CHATTANOOGA TENN,55 57,,,,,,,,,,,,,,97
,,321,153,138,114,137,,146,145,167,220,91,275,,97
AVERAGE,,195,102,113,96,117,,146,123,141,139,85,209,,97
,,,52,,79,,,146,104,112,108,76,144,,97
,,90,,91,,98,,,,,,,,,97
,57,,,,,,,,,,,,,,97
,,4,2,2,2,3,2,2,2,3,1,,,,97
,,154,128,180,68,31,34,76,97,77,76,,,,97
AVERAGE,,111,83,113,51,18,34,44,63,,76,,,,97
CHICAGO,,,,,,,,,,,,,,,97
,,5,7,7,3,12,20,14,9,8,16,i3,8,,97
,,254,435,252,248,410,358,3286 326,318,318,486,540,417,,97
AVERAGE,,210,301,186,202,121,137,190,154,10608 218,209,245,284,,97
,,168,142,128,144,,2,92,67,108,88,76,93,,97
,,4,2,2,2,2,3,1,4,3,1,2,3,,97
AVERAGE,,243,166,210,216,63,147,292,178,168 168,77,,,,97
,,199,147,105,163,74,119,292,126,136,77,137,131,,97
,,,5,14,7,,6,10,5,7,6,8,8,,97
,,,,456,,267 4,,266,,208,,293,316,,97
AVERAGE,,286,208,296,313,193,195,172,128,1390,168,172,178,,97
,,134,130,130,64,93,114,78,87,32,98,79,78,,97
