Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,36,,40,10,,,1,1,9,10,,,23,,103
,MASSACHUSETS TOTAL,55,49,,100,13,,,1,1,1,,il,23,42,,103
,NEW,55 56,120,,52,2,,,,,1,1,1,1,7,,103
,,54 56,39,,140,10,,,1,1,1,1,,17,29,,103
,TOTAL,,,,,,,,,,,,,,,,103
,PENNSYLVANIA TOTAL,35 56,265,,100,9,,,1,,1,1,,18,29,,103
,TOTAL,55 56,17,,40,14,1,1,,10,20,20,21,22,23,,103
,KENTUCKY TOTAL,54 55,62,,95,16,,1,1,2,3,,12,38,,,103
,WEST VIRGINA TOTAL,55,16,,100,31,,1,,10,11,39,42,66,77,,103
,FLORIDA TOTAL,55,21,,,18,,1,1,,21,28,29,31,42,,103
,GEORGIA TOTAL,55 56,16,,200,45,1,,,21,23,42,53,66,89,,103
,TENNESSEE TOTAL,55 56,32,,100,23,,1,,10,23,28,30,39,57,,103
,,55 56,106,,300,34,,1,,10,21,30,41,55,77,,103
,,,,,,20,,,,,10,20,,29,39,,103
,,55 56,86,,220,,,1,1,,,,22,,,,103
,OHIO TOTAL,55,23,,100,31,,12,20,22,29,30,38,42,63,,103
,MISSOURI TOTAL,55 56,50,,200,22,1,5,8,,20,21,23,29,39,,103
,LOUISIANA TOTAL,54 55,46,,300,38,1,4,9,10,11,21,23,42,98,,103
,TEXAS,,,,,,,,,,,,,,,,103
,TOTAL,54 55,119,,,89,,1,3,,10,20,22,38,73,,103
,,54 55,23,,100,29,,10,11,20,22,23,39,42,,,103
,UTAH TOTAL,54 55,26,,70,16,1,3,4,,10,11,22,29,31,,103
,ALASKA TOTAL,54 55,13,,700,111,,,1,1,,11,21,23,528,,103
,TOTAL,55 56,107,,300,16,,1,1,4,,10,20,22,31,,103
,OREGON TOTAL,54,20,,50,20,1,,10,11,21,23,28,30,31,,103
,NEW TOT AL,55 56,,,100,12,,,1,,,10,19,22,38,,103
,,54 56,424,,140,7,,,,1,1,1,,12,27,,103
,TOTAL,54 56,95,,100,18,,1,1,2,,,22,38,,,103
,SOUTH TOT,56,,,,,,,,,,,,,,,103
,EAST AL,55,69,,200,27,,1,7,ii,253,28,30,41,57,,103
,WEST TOTAL,55 56,215,,200,28,,1,2,,20,22,30,41,64,,103
,GRT PLAINS TOT AL,54 56,71,,200,21,1,1,,10,20,21,23,29,51,,103
,GULF TOT AL,54 55,165,,1500,75,1,1,4,,10,20,23,39,98,,103
,TOT AL,54 55,49,,100,22,2,3,,10,19,21,28,38,53,,103
,,,,,,,,,,,,,,,36,,103
,,54 56,140,,700,26,,1,1,5,,11,ai,23,,,103
,GRAND TOTAL,54 56,1313,,1500,25,,,1,1,,11,21,29,,,103
