Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,CONNECTICUT TOTAL,,36,,40,6,1,1,1,2,3,6,7 9,10,,123
,MASSACHUSETS TOTAL,,49,,10,1,,,,1,,1,1 2,4,,123
,,55 56,120,,70,2,,,,4,1,1,1,5,,123
,,,39,,,,,,,,,,,,,123
,TOTAL,54 56,,,30,5,,1,1,2,2,4,5 9,13,,123
,PENNSYLVANIA TOTAL,55 56,265,,200,4,,,1,1,1,2,3 5,7,,123
,TOTAL,55 56,17,,10,4,1,1,2,2,3,3,6 8,8,,123
,,54 55,61,,150,7,,1,2,2,3,3,6 9,10,,123
,,57,18,23,290,71,25,28,29,35,40,44,60 112,146,,123
,WEST TOTAL,55,16,,40,8,,1,1,1,4,9,9 10,20,,123
,,55,21,,10,1,,,,1,1,,2 4,6,,123
,GEORGIA TOTAL,55 56,16,,20,5,1,1,2,,3,,6 9,10,,123
,,55 56,32,,30,,,1,1,1,1,2,2 3,9,,123
,TOTAL,55 56,106,,100,8,1,,2,3,4,5,6 9,20,,123
,TOTAL,55,86,,120,13,1,2,4,5,7,9,19 20,30,,123
,OHIO TOTAL,55 57,35,,75,22,2,4,8,9,10,20,35 40,,,123
,,57,19,,88,29,1,17,19,23,26,28,36 40,44,,123
,TOTAL,55 56,50,,21,3,,1,1,2,2,3,4 5,8,,123
,TOTAL,54 55,46,,9,1,,,,1,1,1,1 2,4,,123
,,55,119,,30,3,,1,1,,2,2,3 5,9,,123
,COLORADO TOTAL,54 55,23,,10,2,,1,1,2,2,2,3 3,9,,123
,UTAH TOTAL,54 55,26,,100,21,3,6,9,9,10,10,20,32,,123
,ALASKA TOTAL,54,13,,,,,1,1,1,,3,7,10,,123
,,,,,20,4,,,,,2,,4,,,123
,CALIFORNIA TOTAL,55 56,107,,20,2,,,1,1,1,2,3 4,6,,123
,OREGON TOTAL,54 55,20,,20,8,1,2,4,5,6,8,10 10,20,,123
,WASHINGTON TOTAL,,20,17,59,33,19,22,25,28,30,32,40 49,52,,123
,NEW TOT AL,56,85,,40,3,,,1,,1,2,3 6,9,,123
,MID ATLNTC TOT AL,34 56,424,,200,4,,,1,1,1,1,2 5,8,,123
,MID EAST TOTAL,54 57,112,,290,17,,1,2,3,4,7,9 21,38,,123
,SOUTH EAST TOT AL,55 56,69,,30,3,,,1,1,1,2,3,9,,123
,,57,246,,i120,13,1,2,3,4,6,9,10 21,38,,123
,TOT AL,54 56,71,,21,3,,,1,1,2,2,3 5,7,,123
,GULF AL,54 55,165,,30,2,,,1,1,1,2,3 4,9,,123
,AL,54 55,49,,100,12,1,2,2,3,6,9,10 10,21,,123
,PAC OAST TOTAL,54 57,160,,,7,,1,1,1,2,3,5 9,22,,123
,,,1381,,290,7,,1,1,1,2,3,5 8,20,,123
