Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,36,,10,4,1,2,2,3,3,4,5,7,9,,116
,MASSACHUSETS TOTAL,55,49,,70 70,4,,1,1,1,2,2,2,3,5,,116
,,55 56,120,,12,2,1,1,1,2,2,2,3,4,5,,116
,,54 56,39,,43,6,1,2,2,3,3,4,5,6,14,,116
,PENNSYLVANIA TOTAL,55 56,265,,140,3,1,1,1,2,2,2,3,4,6,,116
,COLUMBIA TOTAL,55 56,17,,5,2,1,1,1,1,2,2,2,3,3,,116
,,54 55,62,,38,6,1,1,2,3,3,4,5,7,17,,116
,,57,18,,34,3,,,,,1,1,1,1,1,,116
,WEST VIRGINA FOTAL,55,16,,3,1,1,1,1,1,2,2,2,2,3,,116
,,,21,,6,2,1,,,1,2,2,2,2,3,,116
,GEORGIA TOTAL,55 56,16,,30,6,1,1,2,2,3,5,6,8,21,,116
,,56,32,,7,2,1,1,1,1,2,2,,3,5,,116
,,55 56,106,,199,12,1,2,3,4,5,7,9,10,22,,116
,,56,86,,30,6,1,2,2,3,4,5,7,10,20,,116
,TOTAL,55 57,35,,140,13,1,2,3,3,4,7,10,20,28,,116
,WISCONSIN TOTAL,57,19,,43,4,,,,1,1,1,1,1,22,,116
,,54,,,,,,,,,,,,,,,116
,MISSOURI TOTAL,55 56,50,,30,5,1,1,2,2,3,4,,6,9,,116
,LOUISIANA TOTAL,54 55,46,,10,1,,,,1,1,1,1,1,2,,116
,TEXAS TOTAL,54 55,119,,599,7,,1,1,1,1,2,2,3,4,,116
,,54 55,23,,70,11,,1,3,3,6,8,10,10,30,,116
,UTAH TOTAL,54 55,26,,20,3,,,1,1,1,3,4,5,5,,116
,ALASKA TOTAL,54 55,13,,,,,,,,1,1,1,1,1,,116
,,,107,,,,,1,1,1,,2,,3,,,116
,TOTAL,55 56,,,7,1,,,,,2,,2,,4,,116
,OREGON TOTAL,54 55,20,1,20,6,1,2,3,4,4,5,7,8,10,,116
,WASHINGTON TOTAL,57,20,,10,,,,,,1,1,1,1,1,,116
,TOT AL,55 56,,,70,4,1,1,1,2,2,3,4,5,8,,116
,,,424,,140,3,1,1,2,2,2,3,3,4,6,,116
,MIO ATLNTC TOT AL,54 56,,,,,,,,,,,,,,,116
,,,,,,,,,,,,,,5,,,116
,TOTAL,54,113,,38,4,,1,1,2,2,3,4,,8,,116
,SOUTH EAST AL,55 56,69,,30,3,,1,1,1,2,2,2,4,6,,116
,TOTAL,55 57,246,,199,9,1,2,2,3,4,6,9,10,21,,116
,TOT AL,54 56,71,,30,4,1,1,1,2,2,,4,5,8,,116
,SOUTH TOT AL,54 55,165,,599,5,,,1,1,1,,,2,,,116
,GULF,,,,,,,,,,,,,,,,116
,TOT AL,54 55,49,,70,6,,1,1,2,3,4,5,9,20,,116
,PAC COAST TOTAL,54 57,160,,20,2,,,1,1,1,2,2,3,5,,116
,,54 57,1382,,599,5,,1,1,2,2,3,3,5,9,,116
