Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,235,,,219
,,,,2,2,3100 4,3700 5,3,3,3,4,3600,3800 4,3900 3,2,,,219
,,AVERAGE,,60,1765,,,,,,5327,,,,3700,,,219
,,,,50,430,60,40,160,120,400,300,3600,220,670,3000,,,219
,,,,1,2,4,1,1,2,2,4,1,2,2,1,,,219
,,,,46,13,5,,6,30,20,30,40,20,40,30,,,219
,,AVERAGE,,46,9,,,6,19,13,15,40,20,35,30,,,219
,,,55,,,,,,,,,,,,,,,219
,,,,3,3,3,1,2,3,3,2,2,1,1,2,,,219
,,,,120,1100,110,20,210,290,110,20,110,10,6990,100,,,219
,,AVERAGE,,56,382,41,20,155,133,,,,,690,,,,219
,,,,,,,,,,46,10,65,10,690,90,,,219
,,,55 56,,,,,,,,,,,,,,,219
,,AVERAGE,,86,10,77,73,20,,7,80,290,,690,58,,,219
,,,,10,10,55,18,20,,7,10,290,,60,30,,,219
,,,56,,,,,,,,,,,,,,,219
,,AVERAGE,,160,73,90,36,16,23,13,16,,70,,,,,219
,,,56,,,,,,,,,,,,,,,219
,,AVERAGE,,65,85,90,17,,23,100,290,,,,47,,,219
,,,,11,47,,,,,,,37,17,,42,,,219
,,,,,,41,17,,23,100,230,20,11,,37,,,219
,,PERTH AMBOY N,55 56,,,,,,,,,,,,,,,219
,,AVERAGE,,31,28,761,74,,,6,38,,42,110,33,,,219
,,,,,28,43,14,,,6,38,,24,,21,,,219
,,,56,,,,,,,,,,,,,,,219
,,,,,2,1,,4,1,2,1,,1,1,3,,,219
,,,,38,180,130,,5,44,38,,,70,17,380,,,219
,,AVERAGE,,24,98,130,,5,44,36,,,70,17,196,,,219
,,,55 56,,,,,,,,,,,,,,,219
,,AVERAGE,,19,122,50,199,,,10,90,19,,,,,,219
,,,,,,,,,40,3,88,19,,16,18,,,219
,,,54 56,,,,,,,,,,,,,,,219
,,,,,3,1,4,1,4600 7,4,3600 4,4500 2,3,4,5,,,219
,,AVERAGE,,,697,140,1210,170,861,133,981,2289,470,,116,,,219
,,,,,21,140,93,170,27,39,16,79,200,37,6,,,219
co,,,,,,,,,,,,,,,,,,219
,,,55 56,,,,,,,,,,,,,,,219
,,,,17,13,13,13,,,,,,,,,,,219
,,AVERAGE,,,,,120,2800,310,37,130,800,58,85,,,,219
,,,,80,46,62,53,217,139,19,60,115,31,37,623,,,219
,,,,3,,7,14,,9,,9,,12,16,,,,219
oe,,,,,,,,,,,,,,,,,,219
,,,56,,,,,,,,,,,,,,,219
,,,,,40,40,30,60,,,70,20,110,20,,,,219
,,AVERAGE,,,40,40,25,36,,,70,20,,20,,,,219
,,,,,40,40,20,20,,,70,20,,20,,,,219
,,,55 56,,,,,,,,,,,,,,,219
,,AVERAGE,,,28,63,47,6,,42,13,165,15,134,153,,,219
,,,,,28,63,47,,,18,13,7,13,58,7,,,219
,,,55 56,,,,,,,,,,,,,,,219
,,AVERAGE,,,58,,380,68,250,,310,390,12,,33,,,219
,,,,,58,,210,34,128,35,128,147,12,,33,,,219
,,,,,58,,40,,6,18,17,22,,,33,,,219
,,ERIE A,56,,,,,,,,,,,,,,,219
oa oe,,AVERAGE,,21,20,65,,,40,10,,40,17,,33,,,219
,,,,5,20,30,,,40,10,,10,,,9,,,219
,,,,3,3,,,,,,,,,,,,,219
,,,,,,3,,,3,2,,2,2,2,1,,,219
,,AVERAGE,,110,80,550,,,310,20,,410,240,30,140,,,219
,,,,70,46,306,,,146,,,300,165,30,140,,,219
,,,,40,30,60,,,60,,,190,90,30,140,,,219
wn,,,,,,,,,,,,,,,,,,219
,,16,,,,,,,,,,,,,,,,219
,,G ogle,,,,,,,,,,,,,,,,219
,,O,,,,,,,,,,,,,,,,219
