Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,45,,,29
,,,,,,,,,,,,,6,9,7,,,29
,,,,494,285,343,350,248,210,171,135,279,675,376,296,,,29
,,AVERAGE,,231,209,173,125,154,102,124,100,140,270,166,160,,,29
,,KA MO,53 55,,,,,,,,,,,,,,,29
,,,,458,187,430,132,264,292,164,,285,323,189,424,,,29
,,,,,143,,91,119,110,118,118,184,175,138,179,,,29
,,AVERAGE,,208,,,38,16,24,66,49,84,101,77,59,,,29
,,,,44,119,44,,,,,,,,,,,,29
,,NE ORLEANS LA,o4 55,,,,,,,,,,,,,,,29
,,AVERAGE,,217,152,,137,133,134,161,170,107,,128,206,,,29
,,FT TEXAS,53,,,,,,,,,,,,,,,29
,,,,3,7,11,5,7,10,4,4,6,4,7,5,,,29
,,AVERAGE,,171,201,145,,,,,,32,86,1353,110,,,29
,,,,152,126,16,75,,58,58,47,,,,,,,29
,,LA KEWORTH TEXAS,,,,,,,,,,,,,,,,29
,,AVERAGE,,74,95,65,138,103,68,49,97,93,78,129,139,,,29
,,TEXAS,,,,,,8,14,6,6,4,7,10,12,,,29
,,AVERAGE,,159,179,,119,170,114,70,154,177,298,269,305,,,29
,,BELLAIRE TEX AS,,,,,,,,,,,,,,,,29
,,AVERAGE,,115,72,160,91,135,146,90,117,123,125,195,144,,,29
,,,,74,44,126,88,67,65,76,100,36,87,101,62,,,29
,,DE NVER COL,54 95,,,,,,,,,,,,,,,29
,,,,238,181,440,207,218,240,224,227,127,374,339,,,,29
,,AVERAGE,,191,155,260,ive,127,118,150,188,115,273,282,,,,29
4,,,,153,144,,i120,86,65,69,174,101,172,243,,,,29
2,,LT LAKE TY UTAH,55,,,,,,,,,,,,,,,29
,,SA,,6,5,4,3,4,8,4,4,4,2,4,5,,,29
,,,,929,,,,,,,,,,378,350,,,29
,,AVERAGE,,537,488,,203,120,145,126,126,147,245,,,,,29
2,,ANCHORAGE AL ASKA,53 55,,,,,,,,,,,,,,,29
,,,,,637,466,930,365,230,181,227,239,670,454,,,,29
,,AVERAGE,,386,340,208,247,169,167,165,154,173,332,297,286,,,29
,,,,124 124,84,,39,40,,150,,113,162,139,114,,,29
am,,,,,,,,,,,,,,,,,,29
,,LO ANGELES CALIF,o4,,,,,,,,,,,,,,,29
,,,,,1433,985,666,810,494,421,,,,,,,,29
,,AVERAGE,,,1433,667,431,452,472,347,,,,,,,,29
,,,,,1433,434,181,228,450,274,,,,,,,,29
oe,,,,,,,,,,,,,,,,,,29
,,PA SADENA CAL,53 55,,,,,,,,,,,,,,,29
,,AVERAGE,,343,497,320,503,411,335,,334,724,1022,623,039,,,29
,,,,,,,,,,,,,,390,361,,,29
,,,,178,210,174,297,166,,426,309,355,395,,,,,29
,,BE,54 55,,,,,,,,,,,,,,,29
,,,,454,746,309,259,351,188,217,294,215,344,1030,870,,,29
,,AVERAGE,,2u0,,166,149,201,114,193,228,187,226,310,441,,,29
,,,,140,339,76,76,105,41,150,162,159,143,104,146,,,29
,,SA,54 55,,,,,,,,,,,,,,,29
,,,,,,,,6,6,,2,,3,5,3,,,29
,,AVERAGE,,S64,128,141,172,120,99,165,136,165,198,217,443,,,29
,,,,409,55,57,32,47,48,103,129,,164,89,203,,,29
,,,53 55,,,,,,,,,,,,,,,29
,,,,456,300,664,338,280,275,226,230,240,1935,2356,040,,,29
,,AVERAGE,,214,166,220,162,154,170,191,166,194,507,932,382,,,29
ca,,CG,ogle,,,,,,,,,,,,,,,29
oa,,O,,,,,,,,,,,,,,,,29
