Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,MIDDLESEX CNTY MASS,,,,,,,,,,,,,,,,214
,,,90,9,70,,10,50,,7,50,20,40,20,,,214
,AVERAGE,,49,9,39,,10,24,30,5,21,20,24 24,,,,214
,LA KEHURST N J,55 56,,,,,,,,,,,,,,,214
,,,40,1,538,180,8,10,3,,5,2,,15,,,214
,AVERAGE,,37,1,21,64,4,,,,4,,,,,,214
,,,34,1,,6,,10,3,,3,2,9,15,,,214
,KA NAWHA co VA,55,,,,,,,,,,,,,,,214
,,,,3,2,2,9,,2,3,,4,,,,,214
,AVERAGE,,,1,1,2,3,,,3,,2,,,,,214
,,55,,,,,,,,,,,,,,,214
,HA MILTON COUNTY OHIO,54,,,,,,,,,,,,,,,214
,AVERAGE,,,,8,,,,,1,2,,,60,,,214
,,,,,6,,,,,,,,,40,,,214
,WORONZOF,,,,,,,,,,,,,,,,214
,PT ALASKA,55,,,,,,,,,,,,,,,214
,AVERAGE,,10,,1,5,8,,,2,2,3,8,,,,214
