Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
YOUNGSTOWN,57,,,,,,,,,,,,,,,,63
AVER AGE,,,,,,,16,15,18,15,,77,18,6,,,63
,,,,,,,3,15,i1,14,427,35,9,5,,,63
MUM,,,,,,,,,,,,,,,,,63
CANTON OHIO,57,,,,,,,,,,,,,,,,63
AVER AGE,,,,,,,48,48,,31,23,24,18,,,,63
MUM,,,,,,,6,48,14,1i,23,24,13,38,,,63
CLEVEL AND,,,,,,,,,,,,,,,,,63
,,,,,,,,2,2,2,2,2,3,2,,,63
AVER AGE,,,,,,,41,i8,26,,,47,,20,,,63
MIEN MUM,,,,,,,37,16,23,14,31,45,12,19,,,63
,57,,,,,,,,,,,,,,,,63
AVERAGE,,,,,,,40,24,120,52,120,54,19,24,,,63
,,,,,,,28,,106,40,47,41,4,17,,,63
MUM,,,,,,,,,,,,,,,,,63
TO LEDO OHIO,57,,,,,,,,,,,,,,,,63
AVERAGE,,,,,,,38,,32,256,35,44,13,,,,63
Lo RAIN OHIO,,,,,,,,,,,,,,,,,63
AVERAGE,,,,,,,61,38,16,15,597,,15,19,,,63
LWAUKEE wis,57,,,,,,,,,,,,,,,,63
AVERAGE,,,,,,85,27,10,110,252,31,27,7,9,,,63
,,,,,,,17,10,91,,25,,3,,,,63
MUM,,,,,,45,,,,12,,18,,5,,,63
RA CiNE Wis,57,,,,,,,,,,,,,,,,63
AVERAGE,,,,,,,24,18,20,20,215,125,10,16,,,63
,57,,,,,,,,,,,,,,,,63
AVERAGE,,,,,,,47,363,80,24,197,78,22,12,,,63
MUM,,,,,,,16,21,18,,20,41,18,,,,63
KA NSAS KANSAS,55 57,,,,,,,,,,,,,,,,63
AVERAGE,,,,12,io,,42,158,,,,,,,,,63
,,,,12,10,,20,158 158,,5,,,,,,,63
t,,,,,,,,,,,,,,,,,63
CHITA KANSAS,57,,,,,,,,,,,,,,,,63
AVERAGE,,,,,,,40,a7,1146,69,ii,231,7,is,,,63
NNEA POLIS,57,,,,,,,,,,,,,,,,63
AVERAGE,,,,7,13,9,19,13,43,18,20,15,6,10,,,63
MUM,,,1,,1,,1,3,2,2,,1,1,,,,63
DULUTH MIWN,,,,,,,,,,,,,,,,,63
AVERAGE,,,,13,23,,58,16,21,111,96,101,3,,,,63
MUM,,,5,10,16,,13,13,17,24,41,88,2,8,,,63
,,,,,,,,,,,,,,6,,,63
KA NSAS CITY MO,57,,,,,,,,,,,,,,,,63
AVERAGE,,,21,,10,23,20,16,21,75,37,27,7,7,,,63
MUM,,,,1,,1,,1,2,2,2,1,3,,,,63
LOU is MO,,,,,,,,,,,,,,,,,63
,,,,,,,,,,1201,,,,,,,63
AVERAGE,,,,,,60,19,25,103,613,291,143,11,11,,,63
OM AHA NEB,,,,,,,,,,,,,,,,,63
AVERAGE,,,,,,,11,81,47,170,107,32,16,9,,,63
MUM,,,,,,,3,20,20,63,45,32,12,7,,,63
