Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,,36,74,383,,,119,146,162,,,235,278,302,,94
,MASSACHUSETS TOTAL,55,51,32,225,93,39,52,63,74,B6,95,119,131,151,,94
,NEW HAMPSHRE TOTAL,57,17,22,273,103,34,60,79,91,96,99,104,128,136,,94
,NEW JERSEY TOTAL,55 56,130,5,434,169,80,97,,134,161,178,200,239,238,,94
,NEW YORK TOTAL,57,99,5,510,228,85,40,,205,241,260,283,310,363,,94
,PENNSYLVANIA TOTAL,54 57,548,,878,224,88,17,147,173,200,232,259,298,394,,94
,COLUMBIA TOTAL,54,46,1,274,107,4,8,26,74,108,136,156,196,235,,94
,KENTUCKY TOTAL,54 57,72,2,415,148,9,69,,122,142,164,190,229,280,,94
,,,19,,,120,,52,91,104,,,,,,,94
,TOTAL,57,,10,,,32,,,,119,136,146,156,235,,94
,NO CAROLINA TOTAL,57,25,29,141,76,30,45,60,69,81,85,91,100,114,,94
,VIRGINIA TOTAL,57,23,62,234,132,91,,108,115,125,130,136,156,205,,94
,WEST VIRGINA TOTAL,54 57,28,,461,166,4,5,60,91,136,205,270,297,356,,94
,FLORIDA TOTAL,54 57,35,,173,69,3,6,26,64,74,85,104,115,136,,94
,GEORGIA TOTAL,54 56,26,,332,69,3,,8,39,69,83,91,112,128,,94
,TENNESSEE TOTAL,55 57,57,,321,104,31,49,74,86,104,113,129,145,156,,94
,TOTAL,54 57,151 151,,540,193,79,,,149,177,205,241,285,333,,94
,INDIANA TOTAL,55 57,111,32,492,193,88,,124,144,172,194,228,261,338,,94
,MICHI AN TOTAL,53 54,33,,462,,1,4,9,i2,63,104,123,136,192,,94
,OHIO TOTAL,54 57,221,1,395,98,5,8,16,38,79,114,145,179,229,,94
,WISCONSIN TOTAL,57,19,22,274,116,45,79,91,96,101,104,119,146,220,,94
,,37,26,35,425,123,52,60,81,86,98,119,136,168,205,,94
,KANSAS TOTAL,57,25,27,167,63,30,41,45,52,60,63,68,79,119,,94
,TOTAL,54 56,65,2,439,140,6,30,69,96,,151,210,240,290,,94
,NORTH DAKOTA TOTAL,57,23,18,142,48,19,28,34,37,43,52,56,60,79,,94
,,,,,,60,,,,,,,,,,,94
,LOUISIANA TOTAL,54 57,54,1,136,60,9,27,41,,59,66,79,91,112,,94
,OKLAHOMA TOTAL,,19,8,126,56,20,34,40,43,45,52,69,79,98,,94
,,54 57,173,,336,71,2,13,36,43,61,73,89,109,146,,94
,COLORADO TOTAL,54 35,26,2,273,61,4,23,45,47,,65,72,,88,,94
,TOTAL,57,1,14,14,14,,,,,14,14,14,14,14,,94
,,57,1,9,9,9,,,,,9,9,9,9,9,,94
,UTAH TOTAL,54 55,31,,374,123,1,60,85,98,114,130,146,,247,,94
,ALASKA TOTAL,54 55,41,,199,42,1,2,6,22,34,42,56,74,98,,94
,CALIFORNIA TOTAL,54 57,261,,565,96,3,6,26,53,71,94,,172,,,94
,TOTAL,57,26,25,184,50,28,30,36,38,42,47,50,60,69,,94
,OREGON TOTAL,54 55,74,1,388,110,7,10,55,84,i100,119,146,,235,,94
,,,,,,,,,,,,,30,,,,94
,WASHINGTON TOTAL,57,20,,76,23,1,1,2,8,15,18,,45,69,,94
,NEW ENGLWO TOT AL,55 57,104,22,383,130,49,66,,95,112,,151,189,258,,94
,ATLNTC TOT AL,54 57,,,878,215,,15,143,169,,,256,293,365,,94
,EAST TOTAL,54 57,213,,461,129,8,50,79,98,116,137,164,203,2 8,,94
,SOUTH EAST TOT AL,54 57,118,,332,86,5,26,50,72,84,99,114,129,149,,94
,MID WEST TOTAL,53 57,535,,540,144,7,30,,110,131,156,189,229,292,,94
,GRT PLAINS TOT AL,54 57,174,2,439,,io,29,44,59,73,95,124,156,235,,94
,GULF SOUTH TOT AL,54 57,246,,336,67,4,,38,47,59,70,85,102,128,,94
,TOT AL,57,845,,374,80,9,37,48,52,60,75,,119,156,,94
,PAC COAST TOTAL,54 57,422,,565,86,2,7,24,45,61,79,107,149,204,,94
,GRAND TOTAL,53 57,2674,,878,139,8,43,67,91,116,143,i179,225,288,,94
