Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,NEB,57,,,,,,,,,,,,,,,64
,,,,,,,2,2,2,2,2,3,1,3,,,64
,,,,,,,19,54,110,29,223,38,8,35,,,64
,AVERAGE,,,,,,10,,,,,,,10,,,64
,SMARCK NU,,,,,,,,,,,,,,,,64
,AVERAGE,,,,,,41,27,267,38,61,50,,13,,,64
,,,,,,,41,19,203,17,61,16,,13,,,64
,FALLS,57,,,,,,,,,,,,,,,64
,AVERAGE,,,,,,23,il,52,323,52,105,14,16,,,64
,,,,,,,14,10,31,97,15,10,14,14,,,64
,ARK,,,,,,,,,,,,,,,,64
,,,,,,,2,2,2,3,2,2,2,2,,,64
,AVERAGE,,,,,,24,,,,,,,11,,,64
,NE W ORLEANS LA,54 57,,,,,,,,,,,,,,,64
,AVERAGE,,10,27,24,29,48,13,9,5,156,36,29,,,,64
,,,2,,6,8,6,5,1,1,1,,1,4,,,64
,BA A,57,,,,,,,,,,,,,,,64
,AVERAGE,,,,,23,34,34,39,55,87,103,18,21,,,64
,AL BUQUERQUE NM,57 37,,,,,,,,,,,,,,,64
,,,,,,,70,,,18,539,148,21,19,,,64
,AVERAGE,,,,,,,,,,,,,13,,,64
,Tu LSA OKLA,57,,,,,,,,,,,,,,,64
,AVERAGE,,,,,,42,11,,115,39,287,16,15,,,64
,,,,,,,10,11,,103,39,40,10,11,,,64
,FT,56,,,,,,,,,,,,,,,64
,AVERAGE,,12,32,27,13,33,15,12,14,25,15,14,igs,,,64
,LAKEWORTH TEXAS,53 55,,,,,,,,,,,,,,,64
,,,5,13,47,,126,20,8,8,32,13,37,31,,,64
,,,,,,,,12,5,,13,10,23,13,,,64
,AVERAGE,,3,5,26,22,,3,3,1,4,6,16,2,,,64
,,,2,,,4,2,,,,,,,,,,64
,HOUSTON TEXAS,57,,,,,,,,,,,,,,,64
,AVERAGE,,6,52,11,23,25,14,23,17,110,28,20,13,,,64
,BELLAIRE TEXAS,56,,,,,,,,,,,,,,,64
,,,6,3,3,1,1,2,3,7,5,4,4,4,,,64
,AVERAGE,,20,3,7,61,4,6,4,,,,,,,,64
,DA LLAS TEXAS,57,,,,,,,,,,,,,,,64
,AVERAGE,,15,7,33,,22,618,147,345,142,298,18,31,,,64
,,57,,,,,,,,,,,,,,,64
,SA N ANTONIO TEXAS,,,,,,,,,,,,,,,,64
,,,,24,41,15,21,95,85,347,,140,16,15,,,64
,AVERAGE,,,24 24,41,15,19,56,66,1865,816,78,14,11,,,64
,,,,24,,15,18,18,48,23,14,17,13,8,,,64
,EL PASO TEXAS,57,,,,,,,,,,,,,,,64
,AVERAGE,,,,,,50,60,201,21 2111662,1662,127,16,25,,,64
,,,,,,,36,37,168,14,1276,14,9,19,,,64
,co RPUS CHRISTI TEXA,,,,,,,,,,,,,,,,64
,,,13,15,,3,17,17,44,23411494 234,1494,66,24,21,,,64
,AVERAGE,,13,15,,3,14,12,29,132,592,66,18,,,,64
