Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,1,2,37 2,27 2,5,36 7,6,6,,5,4,6,3,,,66
,,,6,30,37,27,47,36,,38,,48,38,25,24,,,66
,AVERAGE,,6,17,30,17,24,13,30,14,,21,19,9,11,,,66
,,,6,4,,,,,,,,,,,,,,66
,LAS,,,,,,,,,,,,,,,,,66
,,,,,,,2,3,2,2,,3,2,2,2,,,66
,AVERAGE,,,,,,40,2082,152,27,,334,36,25,22,,,66
,,,,,,,38,18,55,25,,98,28,15,17,,,66
,,,13,,17,9,10,10,13,11,,,35,23,16,,,66
,,,,,,,,,,,,57,43,,19,,,66
,AVERAGE,,4,2,1s,7,8,4,,3,,25,12,37,4,,,66
,,,,,,,1,,,1,,1,,,,,,66
,,57,,,,,,,,,,,,,,,,66
,AVERAGE,,,16,4,6,19,10,5,5,,31,23,8,9,,,66
,,,2,16,4,3,9,4,3,4,,2,,8,6,,,66
