Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,,,,,,,JULY,,,,,,,,19
,,57,,,,,,,,,,,,,,,19
,,,2,2,2,3,2,2,2,3,2,2,2,2,,,19
,,,,,139,,,87,136,170,126,135,,76,,,19
,AVERAGE,,76,38,99,79,,75,120,114,94,109,76,,,,19
,,,45,34,59,63,46,63,105,63,63,83,67,39,,,19
,,,159,204,249,214,775,135,109,103,164,239,137,167,,,19
,AVERAGE,,80,95,89,98,118,73,73,76,77,99,66,,,,19
,,,34,44,39,46,36,32,39,39,26,47,16,26,,,19
,,57,,,,,,,,,,,,,,,19
,,,,163,280,162,153,151,218,192,161,316,,265,,,19
,AVERAGE,,,130,214,116,140,149,,161,181,251,196,158,,,19
,,,,,148,70,128,148,100,130,181,130,1060,72,,,19
,ALBUQUERQUE,57,,,,,,,,,,,,,,,19
,AVERAGE,,235,215,173,,118,175,172,168,206,192,266,287,,,19
,,,212,149,145,,114,167,126,168,148,186,192,199,,,19
,OK,57,,,,,,,,,,,,,,,19
,,,53,,268,80,74,,,148,,138,113,76,,,19
,AVERAGE,,44,,184,80,48,,,125,80,95,72,71,,,19
,,,40,,,80,22,53,,100,80,53,52,67,,,19
,,53 56,,,,,,,,,,,,,,,19
,,,8,12,15,10,12,14,12,13,14,14,,9,,,19
,AVERAGE,,155 155,167,318,323,8s,99,94,98,125,116,136,134,,,19
,,,75,76,81,90,55,67,69,69,46,35,71,,,,19
,,,4,5,,6,7,8,8,7,5,3,5,5,,,19
,AVERAGE,,,,,,,2119,,,,,,,,,19
,,,50,173,192,267,144,119,129,129,,94,,100,,,19
,,,32,55,46,125,54,44,90,83,,44,63,10,,,19
,,53,,,,,,,,,,,,,,,19
,,,12,13,16,12,11,18,17,14,15,18,21,23,,,19
,AVERAGE,,123,,149,163,113,91,953 93,128,165,147,125,178,,,19
,,,38,75,62,85,75,57,59,45,68,93,14,38,,,19
,,53 56,,,,,,,,,,,,,,,19
,,,7,4,8,3,4,4,4,7,,7,,,,,19
,,,508,120,341,187,154,167,167,265,213,196,336,2906,,,19
,AVERAGE,,218,91,184,144,127,129,107,139,134,122,182,144,,,19
,,,82,,69,91,110,104,S6,91,108,36,89,74,,,19
,TEXA,57,,,,,,,,,,,,,,,19
,BER,,2,2,3,1,3,2,2,2,2,2,3,1,,,19
,,,92,95,243,127,164,152,196,117,116,45,135,182,,,19
,AVERAGE,,69,83,213,127,100,137,177,1032,109,,,,,,19
,,,,,,,,,,,1032,,,,,,19
,,,46,71,161,127,38,125,158,87,,18,76,188,,,19
,,,2,3,1,3,2,2,2,2,2,3,,2,,,19
,,,67,181,247,204,135,174,1268,110,105,1290,116,6390,,,19
,AVERAGE,,62,163,247,164,111,115,102,91,,101,78,341,,,19
,,,57,154,247,125,88,56,76,73,92,68,28,,,,19
,,57,,,,,,,,,,,,,,,19
,,,3,2,2,2,2,2,4,2,3,2,2,3,,,19
,,,369,266,302,325,613,153,229,107,198,3132,348,305,,,19
,AVERAGE,,257,174,251,272,358,134,172,101,154,209,,303,,,19
,,,155,82,200,219,104,116,,95,108,106,168,301,,,19
,TEXAS,,,,,,,,,,,,,,,,19
,,,2,2,2,3,2,2,2,2,3,1,2,3,,,19
,,,111,48,173,70,64,,74,87,78,114,67,86,,,19
,AVERAGE,,93,41,126,57,,47,73,72,64,114,,64,,,19
,,,73,35,80,45,42,36,73,58,532 52,114,43,50,,,19
,,54 57,,,,,,,,,,,,,,,19
,,,10,10,11,11,,19,17,13,13,10,10,8,,,19
,,,344,235,351,362,218,228,593,1380,248,235,,339,,,19
,AVERAGE,,179,110,206,162,115,1329,159,128,144,,150,,,,19
,,,75,37,54,65,15 15,64,,92,78,932,,134,,,19
,,57,,,,,,,,,,,,,,,19
,,,7,4,4,,3,,,,,,,,,,19
,,,,,,2,,2,,3,2,2,2,1,,,19
,,,181,102,188,93,94,83,178,120,127,1321,207,79,,,19
,AVERAGE,,137,88,166,84,78,65,125,114,106,118,200,79,,,19
,,,108,74,144,75,52,48,72,105,8s,116,193,79,,,19
,,,2,2,1,2,3,2,2,2,,3,1,3,,,19
,,,205,39,2s,78,134,109,197,126,466,os,143,86,,,19
,AVERAGE,,117 117,33,25,56,97,63,,126,410,690 690,1453 143,33,,,19
,,,408 12,461,428 6,7,14,204 14,1070 14,152 16,254 10,210 6,332 8,11,,,20
,,,405,461,425,181,264,20111070,,192,291,210,332,411,,,20
,AVERAGE,,243,273,205,137,129,124,,130,154,1553,196,239,,,20
,,,68,125,86,98,74,54,93,67,58,,72,99,,,20
,,S7,,,,,,,,,,,,,,,20
,,,2,2,2,3,1,3,3,2,2,2,2,3,,,20
,,,72,47,52,62,28,62,83,94,130,76,61,,,,20
,AVERAGE,,60,39,42,44,28,56,72,80,95,64,42,46,,,20
,,,49,31,32,22,28,45,64,67,60,52,23,34,,,20
,,53 57,,,,,,,,,,,,,,,20
,,,8,11,9,14,11,12,9,,,8,14,12,,,20
,AVERAGE,,118,97,88,589,430,387 387,235,2232,257,442,164,98,,,20
,,,65,24,22,62,207,173,59,78,62,92,45,38,,,20
,,57,,,,,,,,,,,,,,,20
,,,2,2,2,2,3,2,2,2,2,3,2,2,,,20
,AVERAGE,,327,214,176,322,178,139 159,282,135,239,215,,483,,,20
,,,297,170,147,,140,119,,,225,128,266,478,,,20
,,54 57,,,,,,,,,,,,,,,20
,,,142,371,372,350,309,255,279,214,242,,361,,,,20
,AVERAGE,,136,320,272,241,204,212,233,212,242,279,258,265,,,20
,,,131 131,257,102,109,94,186,153,211,242,,89,,,,20
,,55 57,,,,,,,,,,,,,,,20
,,,6,5,6,5,9,8,10,8,8,5,6,4,,,20
,AVERAGE,,,,56,,,,,,,,,,,,20
,,,104,690,,105,53,85,56,,,91,102,108,,,20
,,,45,45,46,43,11,54,19,19,28,,47,59,,,20
,,53 57,,,,,,,,,,,,,,,20
,,,9,13,17,18,19,12,12,10,9,11,8,7,,,20
,AVERAGE,,213,167,176,128,162,174,197,160,196,252,181,368,,,20
,,,65,84,56,42,64,119,130,41,1323,79,69,83,,,20
,,,4,6,5,8,7,15,4,7,9,,,4,,,20
,AVERAGE,,80,171,69,85,100,68,99,79,95,92,96,231,,,20
,,,44,86,42,36,60,44,78,,60,31,38,453,,,20
,,54 57,,,,,,,,,,,,,,,20
,,,11,11,14,12,13,13,11,14,14,13,13,9,,,20
,AVERAGE,,142,120,106,83,100,,,,,,299,,,,20
,,,,,,,,,129,175 1032,164,147,124,120,,,20
,,,31,21,41,27,27,45,,102,,83,37,2s,,,20
,,56,,,,,,,,,,,,,,,20
,,,5,3,4,4,5,13,12,232 22,17,13,13,4,,,20
,,,286,112,174,155,204,224,244,298,,320,321,96,,,20
,AVERAGE,,122,85,118,103,142,147,156,167,201,154,176,,,,20
,,,46,39,63,34,99,1112 111,89,98,69,68,72,82,,,20
,,57,,,,,,,,,,,,,,,20
,,,2,2,2,2,3,1,3,3,1,2,3,2,,,20
,AVERAGE,,106,100,72,60,64,,127,92,101,86,133,176,,,20
,,,67,58,50,32,54,,86,78,101,76,89,112,,,20
,,57,,,,,,,,,,,,,,,20
,,,2,2,3,2,2,2,2,3,1,2,4,1,,,20
,AVERAGE,,169,132,126,152,,111,146,236,165,174,286,391,,,20
,,,41,79,91,126,48,103,144,185,165,165,163,391,,,20
,,57,,,,,,,,,,,,,,,20
,,,1,2,2,2,2,3,5,1,1,1,2,1,,,20
,,,35,317,108,182,183,336,306,289,470,336,,180,,,20
,AVERAGE,,35,214,94,157,,287,248,289,470,336,386,180,,,20
,,,35,112,81,133,124,260,161,289,470,336,320,180,,,20
,,56 57,,,,,,,,,,,,,,,20
,,,2,2,2,3,8,11,7,8,5,4,6,4,,,20
,AVERAGE,,55,68,72,51,,,,,,,,,,,20
,,,,,,,35,31,30,33,33,38,,47,,,20
,,,34,54,58,38,20,a7,23,24,29,29,35,29,,,20
,,57,,,,,,,,,,,,,,,20
,,,1,2,2,4,2,3,2,2,3,2,2,2,,,20
,AVERAGE,,163,183,154,235,,132,144,137,,121,150,213,,,20
,,,163,129,125,128,132,117,131,,135,120,54,,,,20
,,53 57,,,,,,,,,,,,,,,20
,,,18,14,31,13,11,12,17,50,28,37,26,21,,,20
,,,200,,,243,384,205,222,186,,4853 2232,632,250,,,20
,AVERAGE,,110,99,92,123,135,115,120,99,125,222,284,,,,20
,,57,,,,,,,,,,,,,,,20
,AVERAGE,,165,253,120,50,144,94,126,102,117,131,,76,,,20
,,,115,60,120,46,95,62,117,80,77,115,51,41,,,20
