Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Page
,,,,,,,,,,,,,,,,169,,,153
,,,AVERAGE,,6,14,,4,5,13,6,17,7,6,10,9,,,153
,,,,,,5,,,,8,5,15,7,6,8,7,,,153
,,,,,5,,,4,4,,,,,,,,,,153
,,,LA,54,,,,,,,,,,,,,,,153
,,,AVERAGE,,2,6,2,2,6,6,2,2,2,4,2,11,,,153
,,,,,2,3,2,2,1,2,1,1,1,3,1,4,,,153
,,,,54 55,,,,,,,,,,,,,,,153
,,,,,4,5,i9,9,20,7,3,3,4,3,12,23,,,153
,,,AVERAGE,,4,3,7,5,7,7,2,3,2,3,8,13,,,153
,,,,,4,2,2,2,1,7,2,3,1,3,5,3,,,153
,,,,54,,,,,,,,,,,,,,,153
,,,,,1,7,9,5,8,14,7,3,6,6,9,7,,,153
,,,,,13,57,69,16,,130,130,100,170,52,14,69,,,153
,,,AVERAGE,,13,,31,14,38,31,39,48,109,19,7,21,,,153
,,,,54,,,,,,,,,,,,,,,153
,,,,,3,3,4,2,3,3,2,3,3,4,2,3,,,153
,,,AVERAGE,,16,6,7,1,4,4,9,12,13,13,20,36,,,153
,,,,,9,1,4,1,2,3,8,11,9,5,13,11,,,153
,,,,54 55,,,,,,,,,,,,,,,153
,,,,,,,,,,,,,,2,1,,,,153
,,,,,2,2,39 2,2,2,5,18 2,2,2,31,,27 2,,,153
,,,AVERAGE,,7,6,29,9,16,6,18,20,16,21,34,24,,,153
,,,,,4,5,20,9,16,3,18,16,10,12,34,22,,,153
,,,,54,,,,,,,,,,,,,,,153
,,,,,3,3,2,2,2,6,2,2,2,2,2,3,,,153
,,,,,21,42,43,33,14,19,16,14,14,15,47,37,,,153
5,,,AVERAGE,,15,33,26,19,12,9,13,13,13,12,39,24,,,153
,,,,,i1,18,10,5,11,1,10,13,13,10,14,17,,,153
9,,,,,,,,,,,,,,,,,,,153
,,,,54 55,,,,,,,,,,,,,,,153
,,,,,1,4,4,8,4,7,1,3,3,3,1,3,,,153
,,,AVERAGE,,21,29,8,13,5,3,9,6,16,21,,10,,,153
2,,,,,,6,,1,1,1,9,3,10,3,1,2,,,153
,,,,54,,,,,,,,,,,,,,,153
,,,,,,1,4,4,6,2,2,,,,,,,,153
,,,,,,32,58,141,25,32,46,,,,,,,,153
2,,,AVERAGE,,,32,45,70,13,23,36,,,,,,,,153
,,,,55 56,,,,,,,,,,,,,,,153
,,,,,3,2,2,1,3,2,5,2,3,3,5,1,,,153
,,,AVERAGE,,2,2,,2,1,1,,,,1,1,2,,,153
,,,,,1,1,,2,,,,,,1,,2,,,153
,,,,54 56,,,,,,,,,,,,,,,153
,,,,,4,6,3,6,5,5,7,2,4,6,,,,,153
,,,,,16,32,42,28,27,40,90,66,132,266,,,,,153
oe,,,AVERAGE,,10,19,29,16,9,20,35,,52,83,,,,,153
,,,,,6,2,10,4,1,1,8,49,5,3,,,,,153
an,,,,,,,,,,,,,,,,,,,153
,,,,54,,,,,,,,,,,,,,,153
2,,,,,3,5,,2,2,2,3,2,3,4,5,4,,,153
,,,AVERAGE,,2i,33,,,10,13,10,6,37,25,39,80,,,153
,,,,54,,,,,,,,,,,,,,,153
,,,,,4,6,4,2,5,,5,5,6,4,7,6,,,153
,,,,,32,18,9,6,6,9,12,7,16,18,43,44,,,153
,,,AVERAGE,,16,20,5,5,4,3,5,5,10,12,12,18,,,153
,,,,,8,,1,5,3,1,2,4,6,7,3,4,,,153
Nw,,,,,,,,,,,,,,,,,,,153
,,,,56,,,,,,,,,,,,,,,153
,,,,,3,1,2,1,1,2,4,4,1,3,7,1,,,153
,,,,,17,6,17,5,13,a4,14,19,14,15,21,6,,,153
,,,AVERAGE,,12,6,il,5,13,18,il,16,14,i2,14,6,,,153
,,,,,7,6,6,5,13,13 13,7,12,14,9,6,6,,,153
,,,,54 55,,,,,,,,,,,,,,,153
oo,,,,,1,2,9,4,3,,2,7,5,21,20,,,,153
,,,,,22,,19,14,,,11,16,16,71,65,,,,153
,,,AVERAGE,,22,,9,6,13,,9,10,10,23,33,,,,153
,,,,,,,1,2,4,,,6,4,,,,,,153
,,,,57,,,,,,,,,,,,,,,153
,,,,,2,2,1,2,3,2,2,2,3,1,,,,,153
,,,,,10,5,8,4,12,5,8,5,16,12,,,,,153
,,,AVERAGE,,9,4,8,2,7,3,6,3,8,12,,,,,153
,,,MENIMUM,,8,3,8,1,4,2,4,2,4,12,,,,,153
am,,,,,,,,,,,,,,,,,,,153
va,,,,,,,,,,,,,,,,,,,153
53,,,,,,,,,,,,,,,,,,,153
,,,Goosle,,,,,,,,,,,,,,,,153
