Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,4,3,8,7,5,3,2,4,1,1,1,1,,,195
,AVERAGE,,,1,1,,,,,3,,,,60,,,195
,,55 56,,,,,,,,,,,,,,,195
,AVERAGE,,25,7,,20,15,24,4,36,10,7,8,3,,,195
,,,10,4,,10,6,9,,8,10,7,7,,,,195
,,54 55,,,,,,,,,,,,,,,195
,,,3,4,3,,,,3,4,8,5,5,10,,,195
,AVERAGE,,1,1,1,,,,2,1,2,1,4,5,,,195
,,,,,,,,,,,,,,3,,,195
,,,2,3,4,4,5,2,2,2,2,2,2,2,,,195
,AVERAGE,,2,1,,,,2,,,,,5,2,,,195
,,54 55,,,,,,,,,,,,,,,195
,,,1,7,9,5,8,14,7,3,6,6,9,7,,,195
,AVERAGE,,,10,9,1,6,4,10,11,39,18,2,,,,195
,,54 55,,,,,,,,,,,,,,,195
,,,10,,3,,3,,5,10,20,10,10,9,,,195
,AVERAGE,,6,,,,1,,5,6,9,6,5,6,,,195
,,54 55,,,,,,,,,,,,,,,195
,,,2,2,2,2,2,5,2,2,2,2,1,2,,,195
,AVERAGE,,15,9,35,4,15,2,10,15,14,20,20,25,,,195
,,,10,9,20,,,,,,9,,,,,,195
,,54 55,,,,,,,,,,,,,,,195
,,,3,3,2,2,2,6,2,2,2,2,2,3,,,195
,AVERAGE,,11,14,13,35,3,,3,7,9,,13,15,,,195
,,54 55,,,,,,,,,,,,,,,195
,,,,,,2,,4,2,2,5,5,5,7,,,195
,AVERAGE,,5,,,,,,2,1,3,2,5,4,,,195
,,,5,,,,,,2,,2,,5,1,,,195
,CALIF,54,,,,,,,,,,,,,,,195
,AVERAGE,,,8,6,3,,,,,,,,,,,195
,,55 56,,,,,,,,,,,,,,,195
,,,3,2,2,1,3,2,5,2,3,3,5,1,,,195
,AVERAGE,,2,1,,60,4,2,,,,,,,,,195
,,54 56,,,,,,,,,,,,,,,195
,,,4,6,3,,5,,7,,,6,,,,,195
,,,10,6,4,4,3,2,6,4,5,14,,,,,195
,AVERAGE,,5,2,1,,1,,2,2,3,3,,,,,195
,,54,,,,,,,,,,,,,,,195
,AVERAGE,,1,2,,2,2,3,1,1,3,2,1,5,,,195
,,,,,,,1,1,,,1,,,3,,,195
,,54 56,,,,,,,,,,,,,,,195
,,,4,6,4,2,5,5,5,5,6,4,7,6,,,195
,AVERAGE,,3,1,,,2,1,1,,3,,1,2,,,195
,,55 56,,,,,,,,,,,,,,,195
,,,3,1,2,1,1,2,4,4,1,3,7,1,,,195
,AVERAGE,,,,,4,,,,,,,,,,,195
,,,,,,4,,,,5,,,7,,,,195
,,54,,,,,,,,,,,,,,,195
,,,1,2,9,4,3,,2,7,5,21,20,,,,195
,AVERAGE,,10,,,,,,5,7,3,5,5,,,,195
,,57,,,,,,,,,,,,,,,195
,,,2,2,1,2,3,2,2,2,3,1,,,,,195
,AVERAGE,,,,,,,,4,,,,,,,,195
,,,6,3,4,,4,4,3,4,4,7,,,,,195
,,,6,3,4,4,4,3,3,4,,7,,,,,195
