Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
WATERBURY CONN,,,,,,,,,,,,,,,,151
AVERAGE,,1,5,5,3,3,3,6,6,8,10,11,,,,151
,55,,,,,,,,,,,,,,,151
,,1,2,4,1,1,2,2,4,1,2,2,1,,,151
AVERAGE,,8,4,2,3,5,4,6,4,8,6,7,10,,,151
EV ERETT MASS,55,,,,,,,,,,,,,,,151
AVERAGE,,,,,,,,,,,,,,,,151
,,3,5,2,3,4,3,3,1,4,3,60,4,,,151
EL of J,55 56,,,,,,,,,,,,,,,151
AVERAGE,,10,3,10,5,5,,4,10,13,,3,9,,,151
,55,,,,,,,,,,,,,,,151
,,2,4,3,5,2,1,4,1,,2,,1,,,151
AVERAGE,,9,3,4,2,1,1,1,4,,3,,4,,,151
CA MOEN,55 56,,,,,,,,,,,,,,,151
AVERAGE,,,,,,,,,121,,,,,,,151
,,5,4,8,3,,4,5,11,4,6,,7,,,151
PERTH AMBOY OF,55 56,,,,,,,,,,,,,,,151
AVERAGE,,3,,6,4,,,2,5,,4,6,3,,,151
TRENTON,55 56,,,,,,,,,,,,,,,151
,,,,,,,,,,,,1,,,,151
AVERAGE,,1,4,6,8,1,3,1,1,,10,2,5,,,151
JERSEY N J,55 56,,,,,,,,,,,,,,,151
AVERAGE,,4,9,12,,,5,2,9,5,,3,,,,151
,,,,,,,4,2,,5,,3,4,,,151
NEW Y,54 56,,,,,,,,,,,,,,,151
AVERAGE,,39,13,20,22,34,is,,12,26,29,16,20,,,151
PH A PA,54 56,,,,,,,,,,,,,,,151
AVERAGE,,,,,,,,,,,8,9,40,,,151
,,19,6,5,6,11,9,3,6,5,5,5,13,,,151
,,2,1,2,2,2,2,1,2,2,3,2,4,,,151
AL TOONA PA,56,,,,,,,,,,,,,,,151
AVERAGE,,,2,3,1,2,,,5,2,5,3,,,,151
BR,55 56,,,,,,,,,,,,,,,151
AVERAGE,,,2,4,1,,,2,1,4,2,1,2,,,151
CH ESTER PA,55 56,,,,,,,,,,,,,,,151
,,,3,,3,2,6,3,5,,,,,,,151
,,,,,2,1,,2,3,5,1,,2,,,151
ER PA,56,,,,,,,,,,,,,,,151
AVERAGE,,2,1,3,2,1,2,2,,4,3,3,2,,,151
,56,,,,,,,,,,,,,,,151
,,6,12,25,,,12,4,,15,15,27,1,,,151
AVERAGE,,3,,16,,,10,4,,13,114 13,18,19,,,151
