Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,56,36,,19,7,1,2,4,5,5,7,9,10,14,,140
,MASSACHUSETS TOTAL,55,49,,37,7,1,2,3,4,6,7,9,11,13,,140
,NEW JERSEY TO TAL,55 56,130,,,5,,,1,1,2,3,4,6,,,140
,,56,75,,,,,,,,,,,,,,140
,NEW YORK TOTA,54,,,107,33,1,3,5,8,20,44,59,69,83,,140
,PENNSYLVANIA TOTAL,54 56,275,,160,12,1,2,3,5,7,8,11,17,30,,140
,COLUMBIA TOTAL,54 56,46,2,101,39,7,9,13,34,45,,35,62,70,,140
,KENTUCKY TOTA,54 55,71,,110,20,2,4,6,7,,16,20,36,50,,140
,MARYLAND TOTA L,57,,12,130,30,13,18,20,22,24,26,27,28,32,,140
,WEST TOTAL,54 55,27,,,28,2,3,4,13,15,24,43,63,77,,140
,FLORIDA TOTAL,54,30,,54,13,1,1,2,4,6,8,15,24,35,,140
,GEORGIA TOTAL,54 56,26,,73,26,4,5,,13,18,32,37,47,,,140
,TENNESSEE TOT AL,55 56,32,,33,9,1,2,3,5,7,8,,13,28,,140
,TOTA L,54,149,,155,38,4,9,14,22,27,38,49,63,91,,140
,TOTAL,55 56,86,3,300,36,6,10,16,,26,33,,,,,140
,,,,,,,,,,,,,45,53,66,,140
,MICHIGAN TOTA L,54,31,1,142,76,8,24,43,55,86,103,110,117,128,,140
,TOTAL,54 57,172,,500,54,9,20,28,43,,54,61,69,93,,140
,WISCONSIN TOT AL,57,19,9,140,32,9,13,18,21,23,24,28,37,590,,140
,MISSOURI TOTA L,54 56,62,,68,20,3,7,9,,14,20,26,33,41,,140
,TOT AL,54 55,50,,40,6,1,1,2,2,3,4,5,6,13,,140
,TEXAS TOTAL,54 55,154,,105,15,2,3,4,6,8,ii,,26,40,,140
,COLORADO TOTA,54 55,26,,53,,2,3,7,10,13,14,15,37,47,,140
,UTAH TOTAL,54 55,31,2,,,4,9,,15,17,20,24,31,50,,140
,TOTAL,54 55,,,,,,,,,,,,03,,,140
,ALASKA,,40,,998,8s,2,13,21,47,58,67,92,,158,,140
,CALIFORNIA TOTAL,54 56,220,,114,20,1,4,6,9,12,19,26,38,52,,140
,OREGON TOTAL,54 55,74,,98,37,7,16,21,26,32,40,49,,,,140
,WASHINGTON TOTAL,57,20,,100,38,11,15,24,33,35,37,47,54,67,,140
,NEW TOTAL,55 56,85,,37,7,1,2,3,4,6,7,9,,14,,140
,M1OD ATLNTC TOTAL,54,480,,160,14,1,,2,3,5,7,11,19,43,,140
,EAST TOTAL,54 57,162,,130,23,3,5,9,13,i8,26,38,,66,,140
,SOUTH EAST TOT AL,54 56,88,,73,15,1,2,4,6,10,12,19,30,40,,140
,MID WEST TOTAL,53 57,457,,,46,6,13,20,26,38,47,56,67,97,,140
,GRT PLAINS TOT AL,56,97,,89,,3,6,9,10,13,19,28,36,52,,140
,GULF SOUTH TOT AL,34 55,204,,105,,1,2,3,5,6,8,13,22,36,,140
,ROCKY MNTN TOT AL,54 55,57,,59,20,3,6,10,13,15,17,,32,48,,140
,PAC COAST TOTAL,54 57,354,,998,32,2,5,9,14,20,28,39,,66,,140
,GRAND TOTAL,53 37,1985,,998,26,2,4,7,il,16,22,33,45,65,,140
