Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,14,,6,1,,,1,1,1,1,2,3,5,,159
,,,56,22,,7,1,,,1,1,1,1,2,4,5,,159
,,,55 56,36,,7,1,,,1,1,1,1,2,3,5,,159
,,1755,,23,,3,,,,,,1,1,1,1,2,,159
,,,55,26,,8,2,,,1,1,1,2,2,4,5,,159
,,,55 56,21,,8,,,,,,1,1,1,1,1,,159
,,,55 56,25,,13,,,,,,1,1,1,1,3,,159
,CAMDEN,,55 56,21,,20,3,,,1,1,1,2,2,5,7,,159
,PERTH,,55 56,23,,,,,,,,,,,,,,159
,,,,,,8,,,,,,1,1,1,1,5,,159
,,,56,17,,10,1,,,,1,1,1,1,2,3,,159
,,,55 56,23,,20,1,,,,,1,1,1,1,6,,159
,Y,,54 56,50,,31,8,,1,1,4,8,10,12,15,21,,159
,,,54 55,23,,16,1,,,,1,1,1,1,2,5,,159
,,,54 56,73,,31,6,,,1,1,3,5,9,14,17,,159
,PHILADELPHIA PA,,54,6,,76,21,1,1,6,6,,12,12,21,,,159
,,,55,90,,18,1,,,,1,1,1,2,3,4,,159
,,,56,11,,5,2,,1,1,1,2,2,2,3,4,,159
,,,54 56,107,,76,2,,,1,1,1,1,2,3,5,,159
,,,56,11,,14,2,,,1,1,2,2,3,3,6,,159
,,,56,9,,5,1,,,1,1,1,1,1,3,5,,159
,,,,11,,7,1,,,,1,1,1,2,2,3,,159
,,7156,56,11,,8,2,,1,1,1,2,2,2,5,6,,159
,,,54,10,,386,53,1,1,6,10,,12,13,21,78,,159
,,,55,90,,,1,,,,1,1,1,2,3,4,,159
,,,56,53,,,,,,,,,,,,,,159
,,,,153,,14,2,,,1,1,1,2,2,3,,,159
,,,54 56,,,386,5,,,1,1,1,1,2,3,5,,159
,,,56,13,,3,,,,,,1,1,1,1,2,,159
,BRISTOL PA,,55 56,18,,9,,,,,,1,1,1,1,,,159
,CHESTER PA,,55 56,18,,8,2,,1,1,1,1,2,3,3,4,,159
,,,56,25,,,,,,,,,,,,,,159
,,,,,,9,3,,1,1,2,3,3,5,5,7,,159
,,,56,21,1,70,16,2,5,6,10,10,11,20,21,30,,159
,,,55 56,23,,10,4,,1,2,3,4,6,7,8,10,,159
,,,54,24,,16,5,,1,2,4,4,,,10,13,,159
,,,55 56,19,,15,4,1,1,2,2,3,4,5,6,14,,159
,,,54 56,43,,16,5,,1,2,3,4,5,6,8,13,,159
,LOUISVILLE KY,,54,22,,21,6,1,2,3,3,5,5,,10,12,,159
,,,55,21,2,12,5,2,2,3,3,4,5,5,6,9,,159
,,,54 55,43,,21,5,1,2,3,3,4,5,5,7,11,,159
,,,54,,2,9,4,1,2,2,3,4,4,4,5,8,,159
,,2155,,10,1,15,4,1,1,2,2,2,4,4,8,9,,159
,,,54 55,23,1,15,4,1,2,2,2,3,4,4,7,9,,159
,,,54,5,,14,5,1,1,2,2,2,2,9,,15,,159
,,,54,40,,,5,1,2,2,3,4,5,6,8,11,,159
,,,55,31,1,15,4,1,2,2,3,4,5,5,7,9,,159
,,,54 55,71,,21,5,1,2,2,3,4,,5,,10,,159
,,,57,,4,33,9,4,5,5,5,6,8,,,16,,159
,,,54,26,,120,32,1,1,6,8,17,29,43,69,88,,159
,,1154,,30,,,,,,,,,,,,,,159
,,,54,,,16,1,,,,1,1,1,1,2,3,,159
,,,54,25,,30,9,1,2,3,4,7,8,14,15,24,,159
,CHATTANOOGA TENN,3,s5,14,,76,13,,1,1,2,3,5,19,20,27,,159
,,,55 56,18,,300,47,2,3,8,10,11,48,58,61,88,,159
,,,55 56,32,,300,32,1,1,3,8,11,19,21,58,78,,159
,CHICAGO,,54 55,30,,20,5,,1,2,3,,5,6,7,,,159
,,,,,,,,,,,,4,,,,11,,159
,,,54,30,4,53,27,7,12,21,26,28,29,34,38,46,,159
,,,55,26,,30,13,3,4,5,7,10,19,20,21,27,,159
,,,54 55,56,,53,20,4,6,9,14,20,26,28,30,38,,159
,,,55,29,,60,14,1,1,4,5,8,,11,21,43,,159
,,,54,36,,53,23,6,,12,15,26,28,30,37,43,,159
,,,55,82,,60,11,1,2,3,4,6,8,,20,27,,159
,,,54 55,118,,60,14,1,3,4,6,,12,20,27,35,,159
,EAST ST LOUIS,,55 56,15,,20,8,4,6,7,7,8,9,10,10,11,,160
,,,55 56,14,,10,5,1,2,2,5,5,6,6,7,8,,160
,,,,,,,,,,,,,,,,10,,160
,,,55 56,29,,20,6,1,4,5,6,6,7,8,9,,,160
,EAST CHICAGO IND,,55 56,18,,70,23,1,8,8,10,20,21,39,41,43,,160
,,,55 56,26,2,120,19,3,5,8,12,14,17,20,29,30,,160
,,,55 56,21,,24,10,2,3,7,7,9,10,15,17,20,,160
,,,,20,,35,10,1,2,4,5,6,,11,20,24,,160
,,,55 56,,,,,,,,,,,,,,,160
,,,55 56,B5,,120,16,2,4,7,8,10,15,20,23,36,,160
,,,,,,264,,,,,,,,,,,,160
,,,53 54,31,8,,69,15,,30,40,46,51,78,88,179,,160
,CINCINNATI OHIO,1154,54,68,,114,17,3,5,6,8,11,16,21,27,37,,160
,,11595,,27,,929,48,1,2,4,6,7,9,18,21,58,,160
,,,54 55,95,,929,26,2,4,6,7,10,14,20,27,43,,160
,,,54,19,,129,27,2,6,11,12,16,16,29,34,69,,160
,,4454,54,20,1,183,23,1,5,6,9,12,19,21,29,30,,160
,,,54,24,3,232,35,4,8,14,23,24,25,27,36,88,,160
,,,54,,,232,23,3,5,7,10,14,20,25,29,43,,160
,,,,27,,929,48,1,2,4,6,,9,18,21,58,,160
,,,54 55,158,,929,27,2,5,6,9,12,18,24,29,46,,160
,,,57,12,9,90,42,9,13,18,19,38,48,54,69,88,,160
,,,57,19,,25,5,1,2,3,3,4,4,5,6,7,,160
,,1154,54,16,2,24,7,3,3,4,6,6,7,7,10,11,,160
,,1755,55,17,1,8,4,1,2,2,3,3,4,5,6,7,,160
,,,54 55,33,1,24,5,2,2,3,3,,6,6,7,10,,160
,,,,24,,,5,1,2,2,3,3,,,5,10,,160
,MO,,54 56,,,41,,,,,,,4,4,,,,160
,,,54,5,,32,10,1,1,1,1,6,6,13,13,34,,160
,,,55 56,9,,8,2,,,1,1,1,1,2,3,6,,160
,,,54,11,,41,9,,1,1,1,5,6,6,13,34,,160
,,,,19,,10,3,,1,2,2,3,3,4,5,8,,160
,,,56,8,,6,2,1,1,1,2,3,3,4,4,5,,160
,,,,38,,,,,1,,,,,,,10,,160
,,,54 56,,,41,5,,,1,,3,4,5,6,,,160
,,,55 56,23,,30,5,1,1,2,2,3,5,6,7,10,,160
,NEW ORLEANS LA,,54 55,26,,10,1,,,,1,1,1,1,2,3,,160
,,,54 55,24,,9,2,,1,1,1,,2,3,4,5,,160
,,,54 55,,,10,,,,1,1,,1,,3,,,160
,,,,,,,1,,,,,1,,2,,4,,160
,FT WORTH TEXAS,,,16,,283,19,,,1,1,1,2,2,4,5,,160
,,,,14,,4,,,,,,1,1,1,1,4,,160
,,,54 55,30,,283,10,,,1,1,1,1,2,3,4,,160
,LAKEWORTH TEXAS,1154,54,5,2,19,10,2,2,5,5,13,13,15,15,19,,160
,HOUSTON TEXAS,1154,54,25,,140,13,,1,1,1,2,2,5,11,30,,160
,,1755,,55,,90,12,1,2,2,3,4,5,17,20,34,,160
,,,54 55,,,140,12,,1,2,2,3,4,10,19,30,,160
