Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,14,,,10,,1,1,6,7,,,,,,188
,,,56,22,,10,3,,,1,1,1,3,4,7,9,,188
,,,55 56,36,,40,5,,,1,1,3,6,7,,10,,188
,,,55,23,,30,2,,,,1,1,1,1,,7,,188
,,,,,,,,,,,,,,,1,,,188
,,,55,26,,100,21,,1,1,1,5,,10,22,100,,188
,,,56,21,,3,,,,,1,1,1,1,1,2,,188
,J,,55 56,25,,3,,,,,,1,1,1,1,1,,188
,,,55 56,21,,11,1,,,,,1,1,1,1,2,,188
,PERTH J,,55 56,23,,,,,,,1,,,,,,,188
,,,,,,18,2,,,,,1,1,1,2,8,,188
,J,,55 56,17,,2,,,,,1,1,1,1,1,1,,188
,N J,,56,23,,22,2,,,,1,1,1,1,1,7,,188
,NEW,,54 56,50,,340,17,1,1,2,3,7,,16,21,27,,188
,,,54 55,25,,17,3,,1,1,1,2,3,4,6,8,,188
,,,,76,,340,12,1,1,,,,,,,,,188
,,,54,,,,,,,2,2,3,6,,16,24,,188
,PHILADELPHIA PA,,54,6,,,17,,,1,1,1,7,,10,10,,188
,,1455,55,94,,99,8,,1,3,4,5,6,,13,20,,188
,,,56,11,,18,,1,1,4,5,6,8,,14,15,,188
,,,54 56,111,,99,8,,1,3,4,5,6,,14,19,,188
,,3154,54,4,,48,,,,,1,1,1,1,,,,188
,,,56,11,,510,62,1,1,5,,10,10,,,,,188
,,,,,,,,,,,,,,25,59,67,,188
,,,56,9,,20,5,,1,1,1,5,5,6,6,8,,188
,,,56,11,,130,16,,1,1,1,6,7,,15,17,,188
,,7156,56,11,,67,9,,,1,1,6,6,7,9,9,,188
,,,54,10,,84,15,,,1,1,1,1,,10,52,,188
,,,55,94,,99,8,,1,3,4,5,6,,13,20,,188
,,,56,53,,510,20,,1,1,5,6,7,,14,25,,188
,,,56,157,,,,,,,,,,,,,,188
,,,54,,,,13,,1,1,4,5,6,,14,21,,188
,ALTOONA PA,,56,13,,6,,,,,,1,1,1,1,4,,188
,BRISTOL PA,,55 56,18,,23,3,,,,1,1,1,4,4,8,,188
,CHESTER PA,,55 56,18,,23,4,,,1,1,1,3,5,,12,,188
,,,56,25,,20,3,,,1,,,,,,,,188
,,,,,,,,,,,1,1,3,4,5,8,,188
,,1156,56,21,,80,13,1,1,3,4,5,,20,22,31,,188
,,,56,23,,10,2,,,1,1,1,3,4,4,7,,188
,,1154,54,26,,16,3,,,1,1,1,3,4,6,6,,188
,,,55 56,20,,30,5,,,1,1,2,5,6,,10,,188
,,,54 56,46,,30,4,,,1,1,1,3,5,6,9,,188
,LOUISVILLE KY,,54,22,,29,10,,2,,,,,,20,,,188
,,,,,,,,1,,6,6,,10,13,,21,,188
