Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,3,3,5,5,3,4,5,5,18 4,,1,5,,,50
,,AVERAGE,,16,47,28,15,9,22,23,15,16,,32,19,,,50
,,,,,,,,,,,,16,,32,,,,50
,,,,8,16,16,8,1,16,15,8,,,,8,,,50
,,ACADIA,57,,,,,,,,,,,,,,,50
,,,,,,,2,2,1,3,2,2,1,3,2,,,50
,,AVERAGE,,,,,20,14,21,19,14,19,20,26,19,,,50
,,,57,,,,,,,,,,,5,3,,,50
,,,,,,,,,,5,4,4,3,,,,,50
,,,,,,,,,,68,80,81,102,159,88,,,50
,,AVERAGE,,,,,,,,,64,,78,93,,,,50
,,VA,57,,,,,,,,,,,,,,,50
,,,,,,,,3,4,3,3,3,3,4,2,,,50
,,,,,,,,18,16,14,36,13,,12,21,,,50
,,AVERAGE,,,,,,,,,,,,,,,,50
,,,,,,,,15,16,9,9,8,8,,,,,50
,,,,,,,,2,3,4,4,4,3,3,2,,,50
,,AVERAGE,,,,,,17,22,20,21,14,10,18,19,,,50
,,,57,,,,,,,,,,,,,,,50
,,,,,,,,,,,1,4,3,3,3,,,50
,,AVERAGE,,,,,,,,,24,19,8,8,19,,,50
,,,,,,,,,,,24,16,,,i7,,,50
,,,57,,,,,,,,,,,,,,,50
,,,,,,,,2,2,2,2,1,3,2,2,,,50
,,AVERAGE,,,,,,50,48,28,26,31,67,22,,,,50
,,,,,,,,49,42,25,2i,31,17,19,10,,,50
,,,57,,,,,,,,,,,,,,,50
,,,,,,,,,,,4,3,5,3,5,,,50
,,,,,,,,,,,30,23,32,23,32,,,50
,,AVERAGE,,,,,,,,,24,18,23,17,16,,,50
,,,,,,,,,,,17,15,16,15,8,,,50
,,,,,,,1,,2,3,2,2,2,2,4,,,50
,,,,,,,,2,,,,,,,23,,,50
,,AVERAGE,,,,,24,,11,14,14,28,18,39,23,,,50
,,,,,,,24,8,8,8,7,23,15,31,23,,,50
,,,57,,,,,,,,,,,,,,,50
,,,,,,1,2,,2,2,2,2,1,2,1,,,50
,,AVERAGE,,,,16,19,24,22,17,33,25,73,38,28,,,50
,,,57,,,,,,,,,,,,,,,50
,,,,,2,1,,2,4,4,4,4,5,4,4,,,50
,,,,,15,12,,28,26,17,17,34,26,31,15,,,50
,,AVERAGE,,,15,12,,18,17,14,14,14,14 14,18,12,,,50
,,,,,15,12,,9,8,8,8,,,8,8,,,50
,,,57,,,,,,,,,,,,,,,50
,,,,,,,,1,1,2,2,1,2,,2,,,50
,,AVERAGE,,,,,,8,6,16,21,6,8,,it,,,50
,,,,,,,,8,6,8,17,6,8,,7,,,50
,,COOK,,,,,,,,,,,,,,,,50
,,,,,,2,1,3,2,1,3,2,,2,2,,,50
,,,,,,15,23,21,8,32,25,26,,19,16,,,50
,,,,,,15,23,14,8,32,16,23,,15,8,,,50
,,,,,,,,,,,1,4,4,4,5,,,50
,,AVERAGE,,,,,,,,,16,13,9,5,13,,,50
,,ALASKA,55 57,,,,,,,,,,,,,,,50
,,AVERAGE,,96,35,43,7,7,5,19,17,16,26,36,30,,,50
,,,,67,20,22,4,4,4,9,4,6,7,7,,,,50
,,,57,,,,,,,,,,,,,,,50
,,AVERAGE,,,,,,,153,7,8,27,3,6,11,,,50
,,,57,,,,,,,,,,,,,,,50
,,,,24,8,16,49,32,16,40,24,24,18,43,9,,,50
,,AVERAGE,,20,8,12,28,25,16,28,20,21,17 17,35,9,,,50
,,,,17,,9,8,19,16,16,17,18,16,28,9,,,50
