Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,MIDDLESEX CNTY,1755,55,26,17,120,61,25,28,48,55,62,67,73,93,98,,39
,MASS,,,,,,,,,,,,,,,,,39
,,,,44,9,200,48,19,26,32,37,42,46,,59,73,,39
,,,55 56,70,9,200,52,20,27,34,40,47,53,62,68,95,,39
,LAKEHURST N J,,55,17,19,116,40,21,22,25,31,33,35,38,42,44,,39
,,,56,17,24,124,45,24,25,31,32,36,38,51,59,68,,39
,,,56,34,19,124,42,22,24,30,32,33,36,42,,78,,39
,KANAWHA VA,,55,17,25,162,64,25,36,44,,55,57,82,90,104,,39
,,,,,36,187,,38,38,46,49,,,59,159,159,,39
,,,56,7,,,82,,,,,,,,,,,39
,,,55 56,24,25,187,69,25,38,45,50,53,56,82,90,159,,39
,HILLSBOROUGH,1755,,19,16,111,39,18,19 19,28,31,34,36,38,48,,,39
,,,56,25,10,80,33,13,18,22,27 27,321,32,38,44,68,,39
,,,55 56,44,10,111,36,17,19,25,29,,34,38,46,68,,39
,FULTON,1755,55,7,39,60,48,41,41,44,46,49,49,51,59,59,,39
,,,,,,,34,,,,,,,,,,,39
,DENVER COUNTY COLO,1755,55,20,,77,34,10,18,19,,29,36,41,59,,,39
,,1156,36,30,13,158,53,23,24,35,45,47,56,62,72,82,,39
,,,95 56,50,9,158,45,18,22,24,34,39,49,57,71,77,,39
,SALT LAKE,,55,7,17,50,30,17,17,24,25,29,29,36,38,38,,39
,ORE,1755,,5,19,73,46,19,19,38,38,,51,59,59,78,,39
,GRAND TOTAL,,55 56,241,9,200,47,19,24,30,35,40,47,53,65,86,,39
,LITCHFIELD,,,,,,19,,,,,,,,,,,40
,,,56,24,,96,23,,,15,16,17,23,27,30,38,,40
,,,55 56,40,1,96,21,8,14,15,16,17,22,24,29,32,,40
,ACADIA ME,,57,18,9,39,19,10,13,17,18,19,20,21,21,29,,40
,VT,,57,7,8,17,10,7,7,,,8,8,9,16,16,,40
,,1157,57,24,23,159,67,31,49,52,56,59,64,78,841104 84,104,,40
,,,57,8,25,133,41,25,26,26,27,27,28,29,29,33,,40
,VA,1457,57,25,,61,17,7,8,9,15,15,16,17,19,38,,40
,PK W VA,1157,57,25,8,26,18,8,14,15,16,17,18,23,24,26,,40
,ALA,,57,13,,23,9,1,6,7,7,8,8,14,15,17,,40
,FLORIDA,,,14,,30,15,1,8,8,15,15,16,17,17,25,,40
,OATLAND,,57,16,10,158,38,17,19,22,25,29,32,33,,55,,40
,JACKSON,1457,57,20,8,32,20,8,15 15,15,16,17,23,24,29,31,,40
,FT,,57,17,7,48,19,7,8,14,16,20,21,23,25,33,,40
,ILL,,57,16,9,73,28,i5,16,18,19,24,26,28,33,44,,40
,,1157,57,34,,34,15,7,8,8,14,15,16,17,19,28,,40
,,,57,8,17,43,24,15,16,16,17,19,27,29,29,38,,40
,,,,11,,,,,,,,,,,,,,40
,,1457,57,,6,26,12,6,6,7,7,8,9,16,17,25,,40
,,,57,18,8,44,20,8,14,15,16,17,23,24,25,31,,40
,,,57,18,,30,10,1,7,7,7,8,15,16,16,17,,40
,,,57,12,9,53,26,8,9,18,19,26,28,29,38,55,,40
,,,57,13 13,,25,it,1,,7,8,8,15,16,16,22,,40
,,1457,,,,,,,,,10,,,,,,,40
,,,37,5,,20,,1,1,10,,,,19,19,22,,40
,,,57,2,,8,4,,,1,1,1,1,1,8,8,,40
,,1157,57,5,8,43,15,7,7,8,8,8,8,9,9,44,,40
,ALASKA,1455,55,,21,135,,22,22,29,38,44,44,59,90,90,,40
,,,56,42,4,124,24,4,6,8,9,11,22,25,38,57,,40
,,,,58,,23,12,,,,,,16,16,17,17,,40
,,,55 57,55,,135,27,,,,10,20,23,30,44,59,,40
,ARIZ,,57,26,,B4,10,1,5,7,8,8,8,9,9,il,,40
,,,57,23,8,49,20,8,9,15,16,17,18,23,25,41,,40
,,,,473,,159,22,7,8,10,15,16,19,24,29,43,,40
