Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,TOTA,,279,,588,,3,,10,12,14,18,,26,37,69,,56
,ATUNTC TOT AL,57,,,930,31 31,1,4,7,9,12,16,,,30,53,,56
,TOTAL,53 57,406,,826,26,,4,6,9,13,17,,22,30,48,,56
,EAST TOT AL,53 57,44 445,,2717,45,,3,6,9,13,19,,26,43,,,56
,MID WEST TOTAL,53 57,991,,1179,27,1,,4,,10,15,,20,,47,,56
,GRT PLAINS TOT AL,53 57,453,,3240,44,1,3,,10,13,17,,24,37,,,56
,GULF SOUTH AL,53 57,637,,1931,49,2,3,6,9,13,17,,25,37,,,56
,ROCKY MNTN TOT,53 57,237,,54350,339,3,,11,15,20,29,,41,67,,,56
,AL,,,,,,,,,,,,,,,,,56
,PAC COAST TOTAL,57,786,,7319,43,1,1,3,4,,,,16,25,41,,56
,TOTAL,53 57,4845,,54350,,1,3,5,8,12,16,,,33,59 9,,56
