Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,MIDOLESEX,1755,,,,30,3,,,1,1,1,2,3,4,7,,192
,J,,56,19,,3,,,,,,1,1,1,1,1,,192
,KANAWHA VA,,54 55,23,,6,,,,,,1,1,1,1,3,,192
,,,,,,,,,,,,,1,1,1,2,,192
,co FLA,,54,4,,2,,,,,1,1,,,,,,192
,FULTON co GEORGIA,,54,8,,2,,,,,,1,1,1,1,1,,192
,HAMILTON COUNTY OHIO,,54,36,,4,,,,,1,1,1,1,1,2,,192
,TONKA,,54,9,,1,,,,,,1,1,1,1,1,,192
,,,54 55,10,,3,,,,,1,1,1,1,1,3,,192
,DENVER COUNTY COLO,,,,,,,,,,,,,,,,,192
,SALT LAKE UTAH,,54,5,,,,,,,,1,1,1,1,1,,192
,MULTNOMAH CNTY ORE,,54,12,,2,,,,,1,1,1,1,1,2,,192
,GRAND TOTAL,,54 56,149,,30,,,,,1,1,1,1,1,2,,192
,PT WORONZOF ALASKA,,55 56,12,,,,,,,,,,,,,,192
