Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page,Column_18,Column_19,Column_20,Column_21
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
,,,54 57,81,71,343,,,118,132,145,165,182,199,221,261,,1,,,,
,,,,,,366,Lei,29,37,51,,123,145,155,166,201,,2,,,,
,,,,,,340,,,,,,,,,,,,2,,,,
,J,1157,57,18,55,,139,65,89,94,105,114,123,158,171,201,,2,,,,
,NEW YORK N Y,1157,57,25,94,330,197,105,138,155,166,186,201,227,278,315,,2,,,,
,,,53,,184,642,371,,201,201,201,327,327,327,327,737,,2,,,,
,,2154,54,30,145,399,241,171,194,208,219,229,243,264,290,327,,2,,,,
,,,55,40,93,466,236,123,1421,171,195,227,254,278,334,,,2,,,,
,,,,,,,,,,204,,,,,,,,2,,,,
,,,56 56,105 32,120 93,346,237,134,179,,211 210,219,226,234,268 303,327,,2,,,,
,,,53,,,642,,136,173,195,,224,238,263,,349,,2,,,,
,,,53,,87,146,110,,,89,89,105,105,105,105,,,2,,,,
,,,54,36,79,350,,97,,130,151,162,171,195,264,298,,2,,,,
,,3155,,,44,335,161,83,97,105,145,160,176,196,219,257,,2,,,,
,,,,26,71,379,192,89,100,145,154,,186,250,278,356,,2,,,,
,,,53 56,103,44,379 3791174,174,87,101,126,150,161,173,196,249,299,,2,,,,
,,,54,21162,162,164,163,,,158,158,158,158,158,171,171,,2,,,,
,,4155,55,24,44,238,136,68,76,105,123,134,145,165,181,219,,2,,,,
,,,54 55,26,44,238,138,71,76,111,123,140,154,162,181,201,,2,,,,
,,,33,,87,642,241,89,89,105,105,171,201,201,327,327,,2,,,,
,,,,68,79,399,205,112,145,159,174,198,217,241,273,311,,2,,,,
,,,55,102,44,466,185,89,105,131,151,169,190,219,257,327,,2,,,,
,,,56,,71,379,209,105,138,162,191,210,222,236,272,335,,2,,,,
,,,57,25,94,330,197,105,138,155,166,186,201,227,278,315,,2,,,,
,,,53 57,259,44,642,198,97,127,149,166,187,209,232,266,320,,2,,,,
,BINGHAMTON N Y,,57,26,54,224,94,58,65,72,76,89,99,105,119,130,,2,,,,
,,,57,,70,388,166,71,71,76,76,105,171,171,236,236,,2,,,,
,,,57,15,80,607,241,123,130,145,158,181,191,278,327,580,,2,,,,
,,,57,,70,607,220,76,105,130,145,171,191,236,327,453,,2,,,,
,SCHENECTADY,1157,57,22,33,143,,47,,58,65,76,85,92,102,123,,2,,,,
,N Y,,,,,,,,,,,,,,,,,2,,,,
,SYRACUSE N Y,,57,26,40,347,119,47,65,80,89,105,123,134,158,186,,2,,,,
,UTICA N Y,1157,57,24,44,228,120,60,69,74,100,114,130,,179,,,2,,,,
,PHILADELPHIA PA,,53,8,92,414,265,105,201,201,236,257,278,3865,3865,419,,2,,,,
,,1454,54,75,37,760,202,87,108,130,153,174,198,226,257,766,,2,,,,
,,1155,55,289,56,576,210,117,144,157,170,196,217,241,279,319,,2,,,,
,,1156,56,307,66,761,220,128,148,167,184,200,217,234,271,325,,2,,,,
,,,53 56,679,37,761,214,116,143,159,176,197,216,236,274,325,,2,,,,
,,2154,54,,339,696,533,385,385,,533,564,,596,627,627,,2,,,,
,,,,19,158,550,345,236,264,286,303,319,327,408,453,506,,2,,,,
,,,54 55,25,158,696,390,250,278,303,,365,430,493,533,604,,2,,,,
,,,53,6,,376,170,71,71,76,76,,219,219,236,236,,2,,,,
,,,54,26,29,382,,67,71,76,89,111,127,136,158,201,,2,,,,
,,,55,14,94,238,145,93,,105,117,123,154,171,181,201,,2,,,,
,,,53 55,46,29,382,138,69,75,92,102,,,,,,,2,,,,
,,,,,,,,,,,,117,136,155,186,224,,2,,,,
