Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,WATERBURY,,,,,,,,,,,,,,,,28
,CONN,,,,,,,,,,,,3,,,,28
,AVERAGE,,196,344,127,178,167,160,,,127,156,226,1014,,,28
,,54 35,,,,,,,,,,,,,,,28
,,,455,266,275,256,,203,,,,,,,,,28
,AVERAGE,,378,243,175,163,151,141,,,,255,2738,,,,28
,EV ERET T MASS,54 55,,,,,,,,,,,,,,,28
,AVER AGE,,214,165,156,69,215,109,,,,138,210,242,,,28
,NE Yo Y,53 95,,,,,,,,,,,,,,,28
,AVER AGE,,196,208,189,229,290,205,221,143,236,494,287,316,,,28
,PH PA,53 55,,,,,,,,,,,,,,,28
,AVER AGE,,335,286,239,254,243,203,172,,203,292,403,353,,,28
,WA,53 55,,,,,,,,,,,,,,,28
,AVER AGE,,302,324,154,179,,,181,163,186,361,555,413,,,28
,ILLE,54 55,,,,,,,,,,,,,,,28
,LO KY,,,,,,,,,,,,,,,,28
,AVER AGE,,,217,180,229,157,136,,106,233,436,,320,,,28
,CH ARLE WA,53 55,,,,,,,,,,,,,,,28
,AVER AGE,,349,379,280,255,244,217,184,,271,247,250,270,,,28
,,,,,130,,170,,,,,125,128,123,,,28
,TA MPA FLA,53 55,,,,,,,,,,,,,,,28
,AVER AGE,,205,214,146,91,119,139,124,93,88,153,168,164,,,28
,MUM,,127,155,32,25,37,70,108,75,83,104,100,70,,,28
,ATLANTA GA,53 55,,,,,,,,,,,,,,,28
,,,11,475 16,390 14,10,9,9,288 5,406 4,298 3,280,728,474 8,,,28
,AVER AGE,,235,268,199,,212,176,184,237,207,267,393,255,,,28
,MUM,,56,121,,73,95,81,122,151,74,244,186,120,,,28
,CHATTA NOOGA TENN,54 55,,,,,,,,,,,,,,,28
,AVER AGE,,199,334,201,159,267,160,,,,,2680 260,202,,,28
,MUM,,48,87,150,53,235,94,,,,,98,46,,,28
,,55,,,,,,,,,,,,,,,28
,CH ILL,54,,,,,,,,,,10,,16,,,28
,AVERAGE,,403,477,347,297,312,,272,312,190,726,497,407,,,28
,EA ST,55,,,,,,,,,,,,,,,28
,AVER AGE,,,,303,355,322,262,76,,,,,,,,28
,,,,,144,35,106 106,73,67,,,,,,,,28
,DETRO,53 54,,,,,,,,,,,,,,,28
,AVER AGE,,,402,,416,381,508,304,,296,,543,,,,28
,NCINNATI OHIO,53 55,,,,,,,,,,,,,,,28
,MUM,,262,255,284,223,256,230,138,153,200,256,439,247,,,28
,AVERAGE,,,,,,,,,,,,,,,,28
