Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,2,2,,2,3,2,2,3,,1,3,2,,,174
,,,,,,,,,,,,8,,,,,174
,AVERAGE,,25,35,,,6,6,6,12,10,8,9,15,,,174
,NEW,54 55,,,,,,,,,,,,,,,174
,,,2,3,3,4,4,4,6,4,4,4,5,3,,,174
,AVERAGE,,1,4,1,,3,1,3,3,3,1,1,4,,,174
,MUM,,,3,,,2,,,3,3,,,,,,174
,FT,54 55,,,,,,,,,,,,,,,174
,AVERAGE,,3,8,4,4,2,7,2,2,2,3,2,3,,,174
,,54 55,,,,,,,,,,,,,,,174
,,,,3,,,,,,,6,6,9,7,,,174
,AVERAGE,,,2,2,,1,3,2,2,7,12,1,5,,,174
,BELLA,54 55,,,,,,,,,,,,,,,174
,AVERAGE,,,,2,,5,5,2,2,,1,1,,,,174
,MUM,,,,,,,,,,,,,2,,,174
,OENVER co,54 55,,,,,,,,,,,,,,,174
,,,2,2,2,2,2,2,2,2,2,2,1,2,,,174
,AVERAGE,,2,4,6,15,11,,6,1,,,6,,,,174
,SALT,54 55,,,,,,,,,,,,,,,174
,,,20,,,7,20,30,20,10,10,10,10,10,,,174
,AVERAGE,,9,18,18,6,13,20,13,10,10,10,8,7,,,174
,MUN MUM,,1,7,7,5,6,10,7,10,10,10,6,6,,,174
,ANCHORAGE ALASKA,54 55,,,,,,,,,,,,,,,174
,,,,1,2,2,,4,,1,,1,1,1,,,174
,AVERAGE,,,4,5,11,,39,,10,,10,5,7,,,174
,,,,,,,,,,,,,,7,,,174
,,55 56,,,,,,,,,,,,,,,174
,AVERAGE,,22,5,,10,5,7,5,4,3,9,7,20,,,174
,J MUM,,7,3,3,10,3,5,3,4,2,2,,20,,,174
,,56,,,,,,,,,,,,,,,174
,MUM,,,,,20,30,10,30,,30,40,,,,,174
,AVERAGE,,100,52,3,15,21,8,20,,25,30,,,,,174
,MUM,,100,5,3,10,10,7,10,,20,20,,,,,174
,,56,,,,,,,,,,,,,,,174
,AVERAGE,,20,9,4,,19,7,13,a4,34,16,12,22,,,174
,MUM,,20,9,4,,7,6,10,21,34,16,,7,,,174
,,55 56,,,,,,,,,,,,,,,174
,AVERAGE,,13,,10,7,10,,,,,,,10,,,174
,,,,,,,,20,17,30,10,20,19,10,,,174
,,54 55,,,,,,,,,,,,,,,174
,AVERAGE,,100,,60,30,,,85,57,64,100,,,,,174
,,57,,,,,,,,,,,,,,,174
,AVERAGE,,150,110,140,27,90,40,61,,55,88,,,,,174
,,55,,,,,,,,,,,,,,,175
,,,2,,2,,1,3,2,,,,,,,,175
,AVERAGE,,11,20,12,,2,16,6,5,6,,5,13,,,175
,LA KEHURST,56,,,,,,,,,,,,,,,175
,,,14,,11,39,6,13,,,5,3,17,5,,,175
,,,,,,21,3,13,5,,4,3,11,5,,,175
,AVERAGE,,12,,8,,,,,,,3,6,,,,175
,KA NAWHA VA,,,,,,,,,,,,,,,,175
,AVERAGE,,,2,4,,13,4,1,5,,3,,,,,175
,,54 55,,,,,,,,,,,,,,,175
,,,,2,,4,,,5,,3,3,4,2,,,175
,AVERAGE,,,2,,4,,,5,,2,3,4,2,,,175
,,55 56,,,,,,,,,,,,,,,175
,PT ALASKA,,,,,,2,,1,2,1,1,1,1,,,175
,AVERAGE,,30,,2,200,25,,20,7,6,9,20,10,,,175
,,,30 30,,2,200,20,,20,5,6,9,20,10,,,175
