Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,,,,,,,186,408,550,746414624213,,,297713512,,,217
,TOTAL,,49,,1100,75,1,6,,13,,27,,,,,217
,MASSACHUSETS,,,,,,,,,,,,,,,,217
,,55 56,,,2100,,10,16,22,30,40,53,,,,,217
,,54 56,36,,4600,693,29,37,83,129,186,208,,,,,217
,PENNSYLVANIA TOTAL,55 56,265,,4400,98,,17,23,29,38,51,66,93,171,,217
,,55 56,17,10,140,45,20,22,31,39,42,43,47,53,63,,217
,,54 55,62,,540,,,,15,26,29,49,61,86,142,,217
,,S7,18,,170,61,,41,44,49,,63,75,83,108,,217
,TOTAL,55,16,,40,13,1,7,8,8,,10,,21,22,,217
,,55,21,,70,16,,1,6,,10,13,20,22,31,,217
,,56,16,,3200,374,,22,44,58,69,90,186,459,659,,217
,,56,32,,170,42,4,,19,,29,41,46,58,119,,217
,,55 56,106,,4900,522,27,42,75,102,138,181,297,520,1731,,217
,,55 56,86 Bo,,5000,343,21,44,66,77,104,142,18,294,659,,217
,,55,34,,2400,418,31,63,90,124,,223,363,459,1132,,217
,,57,19,,140,45,,,1,,53,56,,83,129,,217
,MISSOURI TOTAL,55 56,50,,2900,156,10,26,42,56,75,88,108,195,267,,217
,LOUISIANA TOTAL,54,46,,430,22,,,1,,5,,10,,44,,217
,,54,119,,300,34,1,4,,10,18,24,41,54,90,,217
,,54 55,23,6,290,79,10,29,31,50,58,63,99,115,155,,217
,UTAH TOTAL,54,30,,280,66,,21,29,42,53,61,69,119,146,,217
,,54 55,,,642,72,1,1,,10,19,22,44,63,186,,217
,,54 56,109,,950,68,1,4,,,31,,,,129,,217
,OREGON TOTAL,54 55,20,io,890,269,22,44,63,90,155,285,320,,659,,217
,WASHINGTON TOTAL,57,20,46,170,78,55,,61,66,72,78,,90,119,,217
,,55 56,,,4400,649,,10,21,40,90,129,459,,,,217
,,54 56,424,,4600,146,10,17,25,,41,56,,,,,217
,,54 57,,,,,,,,,,,,,,,217
,,,113,,540,49,1,,18,26,31,44,,,,,217
,,55 56,69,,3200,,3,,10,20,27,39,,,,,217
,,55 57,245,,5000,408,19,42,64,84,118,15,23,,,,217
,,54 56,71,,2900,119,,19,28,39,49,69,,129,223,,217
,,54 55,165,,430,31,,1,5,,10,20,,50,34,,217
,,54 55,53,6,290,72,10,27,30,46,56,62,,116,149,,217
,,54 57,170,,950,94,1,,18,30,43,56,71,108,,,217
,,54 57,1395,,,,,10,ei,30,45,,,140,301,,217
