Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,NEW JERSEY TOTAL,55,10,,11,4,,1,1,3,3,4,4,7,11,,185
,TOTAL,54 55,34,,43,6,,,1,1,2,4,6,,18,,185
,PENNSYLVANIA,,,,,114,,,,,,,,20,,,185
,TOTAL,54,10,,49,,,1,1,1,4,5,8,,33,,185
,COLUMBIA TOTAL,54 55,29,,61,12,3,4,5,,10,11,,16,20,,185
,TOTAL,,,,,,,,,,,,,,,,185
,KENTUCKY,,5,,,,,,,,1,1,1,1,1,,185
,WEST TOTAL,54,6,,36,13,1,1,1,1,5,6,,33,33,,185
,TOTAL,54,7,,11,6,1,1,3,5,7,7,,10,10,,185
,,,,,,,3,3,3,3,,,7,7,,,185
,GEORGIA TOTAL,54,5,3,14,6,,,,,4,4,,,14,,185
,,54 55,41,,13,3,,,1,1,2,4,,,10,,185
,MICHIGAN TOTAL,53 54,33 33,1,57,25,,11,13,18,28,29,32,37,44,,185
,OHIO TOTAL,54 55,116,,34,5,,,1,1,1,5,,12,16,,185
,TOTAL,54,15,,,,,,1,1,1,2,5,6,16,,185
,MISSOURI TOTAL,54,il,,50,18,1,1,2,3,21,22,24,27,48,,185
,LOUISIANA TOTAL,54,4,,,,,,,1,1,1,1,1,1,,185
,TEXAS TOTAL,54,2g,,59,,1,2,5,,12,27,30,32,45,,185
,COLORADO TOTAL,54,3,1,4,2,,1,1,1,3,3,3,3,4,,185
,UTAH TOTAL,54,5,,22,4,,,1,1,1,1,1,1,22,,185
,ALASKA TOTAL,54 55,25,,64,23,1,1,7,20,23,25,33,39,50,,185
,CALIFORNIA TOTAL,54 55,112,,108,7,,,1,1,1,3,4,,20,,185
,QREGON TOTAL,54,54,,20,2,,,,1,1,1,3,5,8,,185
,,,54,,,7,,,1,1,3,4,,10,20,,185
,TOT AL,54,,,49,,,,,,,,,,,,185
,MID EAST TOTAL,54 55,40,,61,10,1,1,4,5,,10,12,16,27,,185
,EAST TOT AL,54,12,,14,6,1,2,3,4,5,7,,10,11,,185
,,,190,,,,,,,,,,,,,,185
,WEST TOTAL,53 55,190,,57,8,,,1,1,3,,11,14,27,,185
,,,,,,,,,,1,3,,13,21,24,,185
,TOT AL,,26,,50,10,,1,1,,,,,,,,185
,GULF SOUTH TOT AL,54,33,,59,17,,1,2,,10,22,29,32,45,,185
,TOT AL,54,8,,22,3,,,,1,1,1,3,3,4,,185
,PAC COAST TOTA,54 55,191,,108,8,,,1,1,1,3,,15,25,,185
,,,554,,108,8,,,1,1,3,5,,15,28,,185
,GRAND TOTAL,53 55,,,,,,,,,,,,,,,185
