Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,,36,1,13,4,,1,4,2,2,3,4,6,9,,72
,MASSACHUSETS TOTAL,55,49,,34,3,,1,1,2,2,3,3,4,4,,72
,NEW JERSEY TOTAL,55 56,130,,16,1,,,,1,1,1,4,2,3,,72
,TOTAL,54 56,60,1,92,12,,1,2,3,4,,10,17,32,,72
,PENNSYLVANIA TOTAL,54,465,,30,3,,1,1,2,2,2,3,4,6,,72
,COLUMBIA TOTAL,54 56,36,1,20,5,,,1,1,2,5,,10,15,,72
,KENTUCKY TOTAL,54,62,,50,12,1,2,3,5,7,,17,21,29,,72
,WEST VIRGINA TOTAL,55,16,,17,3,1,1,2,2,2,3,3,4,6,,72
,TOTAL,55,21,1,21,6,2,2,3,3,5,7,,10,12,,72
,GEORGIA TOTAL,55 56,16,,35,3,,,1,1,1,1,1,2,6,,72
,,55 56,32,,19,3,,1,4,1,2,2,3,,,,72
,TENNESSEE TOTAL,,,,,,,,,,,,,,,,72
,TOTAL,54 56,137 37,1,215,15,1,2,3,4,5,,10,16,41,,72
,INDIANA TOTAL,55 56,86,1,50,9,1,2,4,5,6,7,,14,19,,72
,OHIO TOTAL,54 55,63,,72,15,2,4,6,,13,15,17,21,37,,72
,TOTAL,55 56,,,23,4,1,1,2,2,3,3,4,6,8,,72
,MISSOURI,,,,,,,,,,,,,,,,72
,LOUISIANA TOTAL,54 55,45,1,39,7,2,2,3,3,5,6,,10,14,,72
,TEXAS TOTAL,54 55,139,,31,6,1,2,3,4,5,6,,10,14,,72
,COLORADO TOTAL,54 55,26,,13,4,1,2,3,3,4,4,5,6,,,72
,UTAH TOTAL,54 55,26,,33,,1,1,1,2,2,3,3,5,9,,72
,,,37,,,,,,,,,,,,,,72
,ALASKA TOTAL,54 55,,,23,3,,,1,1,2,3,3,6,9,,72
,CALIFORNIA TOTAL,54 56,199,,432,22,,2,4,5,,10,13,22,59,,72
,OREGON TOTAL,54 55,60,,43,15,1,2,5,6,8,,15,23,35,,72
,NEW ENGLND TOT AL,55 56,85,,34,3,,1,1,2,2,3,3,4,8,,72
,TOT,54 56,655,,92,3,,1,1,4,2,2,3,4,6,,72
,ATLNTC AL,,,,,,,,,,,,,,,,72
,EAST TOTAL,54 56,114,,50,8,,1,2,3,4,,10,17,24,,72
,SOUTH EAST TOT AL,55 56,69,,35,4,,1,1,2,2,3,4,,10,,72
,TOTAL,54 56,286,,215,13,1,2,4,5,6,,13,17,32,,72
,TOTAL,54 56,73,,253,3,,4,1,2,2,3,4,5,9,,72
,,,184,,39,7,1,2,3,4,,6,8,10,14,,72
,GULF SOUTH TOT AL,54,,,,,,,,,,,,,,,72
,TOT AL,54 55,52,,33,4,1,1,2,2,3,3,4,6,9,,72
,PAC COAST TOTAL,54 56,296,,432,18,1,2,3,5,6,,12,20,35,,72
,GRAND TOTAL,54,1814,,432,8,,1,2,2,3,4,6,,17,,72
