Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,2,2,4,5,3,3,3,4,1,4,3,2,,,133
,,5,7,,22,11,7,13,6,10,,19,20,,,133
AVERAGE,,,,8,,,,,,,,,,,,133
,,,5,6,5,7,6,10,1,,,8,20,,,133
,55,,,,,,,,,,,,,,,133
AVERAGE,,,34,47,240,180,125,305,157,110,85,105,120,,,133
EV,55,,,,,,,,,,,,,,,133
AVERAGE,,26,,40,,235,93,80,185,85,50,150,295,,,133
EL,55 56,,,,,,,,,,,,,,,133
,,,,,,,,40,,5,,30,32,,,133
AVERAGE,,,20,105,68,510,,,4,,,,,,,133
J,55 56,,,,,,,,,,,,,,,133
AVERAGE,,17,,48,87,56,,47,55,,64,,75,,,133
CA,65 56,,,,,,,,,,,,,,,133
AVERAGE,,30,557,60,68,,67,30,45,40,39,,24,,,133
PE,55 56,,,,,,,,,,,,,,,133
,,27,88,120,120,,,31,60,,94,72,65,,,133
AVERAGE,,22,88,88,80,,,31,45,,78,45,45,,,133
TR,55 56,,,,,,,,,,,,,,,133
,,32,54,38,115,70,31,49,28,,,40,68,,,133
AVERAGE,,26,45,38,115,70,31,43,28,,550,40,42,,,133
,56,,,,,,,,,,,,,,,133
AVERAGE,,46,481,91,50,,100,26,95,32,,19,26,,,133
,,38,73,29,25,,70,14,30,32,,19,22,,,133
,54 56,,,,,,,,,,,,,,,133
,,4,5,4,8,5,10,7,5,6,6,7,7,,,133
AVERAGE,,26,15,22,40,20,14,9,i1,15,24,13,24,,,133
,,16,4,10,6,,7,,,,,,,,,133
,54,,,,,,,,,,,,,,,133
AVERAGE,,,39,17,11,10,,5,7,7,,1,8,,,133
,,,,2,,2,3,,,,,,,,,133
,56,,,,,,,,,,,,,,,133
,,,,,,,,,,,2,1,,,,133
AVERAGE,,,1100,630,1450,463,,,510,225,325,2300,,,,133
BR,56,,,,,,,,,,,,,,,133
AVERAGE,,,15,13,16,17,,16,11,22,56,50,18,,,133
,,,15,18,16,153,,11,11,15,54,46,17,,,133
CH,56,,,,,,,,,,,,,,,133
,,,5,,7,5,3,6,5,7,21,,3,,,133
AVERAGE,,,5,,5,3,1,5,4,5,21,,3,,,133
,,,5,,3,1,,4,3,3,21,,3,,,133
ER PA,56,,,,,,,,,,,,,,,133
,,930,90,60,210,TO,40,90,,,290,410,210,,,133
AVERAGE,,516,90,,120,,40,90,,266,220,245,106,,,133
,,120,90,50,60,40,40,90,,80,140,80,30,,,133
,56,,,,,,,,,,,,,,,133
AVERAGE,,1520,690,323,,,9,35,,80,65,40,50,,,133
,,960,150,160,,,8,30,,70,40,40,,,,133
LLIAMSPORT PA,55 56,,,,,,,,,,,,,,,133
,,,33,20,30,30,15,120,20,26,20,26,25,,,133
AVERAGE,,,,,,,,120,20,20,10,20,20,,,133
,,,20,20,20,20,10,,,,,,,,,133
