Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,,302,,91
,,,,36,,383,197,108,119,146,162,186,213,235,278,,,91
,,,55 57,25,35,159,99,52,690 690,81,,98,119,129,136,151,,91
,,,,26,32,225,88,39,49,60,65,74,,91,119,136,,91
,,,57,17,22,273,103,34,60,79,91,96,99,104,128,136,,91
,H,,,,,,,,,,,,,,,,,91
,J,,55,21,9,330,147,85,95,104,119,129,136,179,205,270,,91
,J,,55 56,25,7,434,193,91,104,161,170,188,205,228,253,310,,91
,CAMDEN N J,,s5 56,21,ii,327 3271171,171,74,8s,119,130,168,192,220,253,290,,91
,PERTH AMBOY N J,,55 56,23,5,298,136,52 532,83,91,100,136,149,162,173,270,,91
,,,55 56,17,,380,165,69,85,104,119,146,156,192,270,310,,91
,,,55 56,23,114,366,198,123,136,165,174,189,200,220,,310,,91
,,,,,,,,,235,,,,,,,,,91
,NEW YORK N Y,,57,,211,406,321,235,,310,310,,356,363,382,408,,91
,,2154,54,25,10,510,252,45,179,235,258,280,290,305,325,382,,91
,,2155,55,21,72,485,242,104,146,168,188,215,235,290,356,408,,91
,,,56,,,263,242,,179,179,179,,270,270,270,310,,91
,,,,49,10,510,247,79,162,196,,256,277,,,,,91
,,,54 56,,,,,,,,225,,,295,322,,,91
,,,54,8,7,276 2761163,183,,104,104,179,205,247,258,258,270,,91
,,,55,17,,383,274,179,239,248,257,266,270,310,341,356,,91
,,,54 55,25,7,383,245,164,179,241,248,257,264,283,3190,356,,91
,,,54,34,5,510,228,10,104,205,241,258,274,292,306,356,,91
,,,,38,72,485,256,146,173,196,235,251,266,300,333,382,,91
,,,56,31179,,283,242,,179,179,179,270,270,270,270,310,,91
,,,57,,211,406,,235,235,310,310,356,356,302,362,408,,91
,,,57,,,,,,,209,,,,,,,,91
,,,54,80,5,510,248,98,169,,239,257,275,3297,337,376,,91
,,,57,6,99,266,161,104,104,136,136,156,168,168,179,179,,91
,,,57,13,57,317,139,56,85,91,112,136,146,156,179,205,,91
,,,57,19,57,317,146,60,91,112,128,143,149,164,179,205,,91
,PHILADELPHIA,,54,71,,878,270,98,119,,195,235,266,3190,,,,91
,PA,,,,4,,,,,166,,,,,426,468,,91
,,,,281,,853,244,110,144,167,190,224,251,,317,408,,91
,,,56,15,,633,278,136,,205,235,258,270,356,382,468,,91
,,,54 56,367,,878,250,108,142,168,193,228,254,283,333,435,,91
,,,,4,8,129,72,,8,8,52,52,52,104,104,136,,91
,,,56,14,53,733,266,60,119,179,196,205,235,270,310,616,,91
,,,57,21214,214,227,220,,,220,220,220,220,220,235,235,,91
,,,56 57,16,53,733,260,79,119,188,196,215,235,253,310,356,,91
,,,,14,,,,,,,,,,,,,,91
,,,56,,84,402,246,91,156,192,220,235,247,270,356,391,,91
,,,56,15,166,,245,171,179,225,235,253,261,280,290,310,,91
,,,56,14,82,459 4591205,205,91,119,136,168,179,,228,235,356,,91
,,,54,75,4,878 8781260,260,91,114,159,184,225,257,303,420,468,,91
,,,55,281,,853,244,110,144,167,190,224,251,277,317,406,,91
,,,56,72,53,733,248,115,,186,210,230,250,270,,,,91
,,,,,,,,,,,,,,,319,387,,91
,,,57,,214,227,220,,,220,220,220,220,220,235,235,,91
,,,54 57,430,,878,247,107,142,169,194,225,251,278,,426,,91
,ALTOONA PA,,56,13,49,153,97,52,60,79,968,107,109,112,114,,,91
,BRISTOL PA,,55 56,18,93,278,157,104,1190,113,119,149,164,179,205,253,,91
,CHESTER PA,,55 56,18,66,,,,,104,,,,,,,,91
,,,,,,266,159,79,91,,128,146,205,217,223,235,,91
,ERIE PA,,56,25,38,166,,52,,64,67,76,82,91,104,136,,91
,,,56,21,29,388 3881159,1s9,39,74,98,112,156,188,205,247,279,,91
,PA,,55 56,23,102,284,178,122,133,146,168,186,194,201,215,253,,91
,,,54,26,1,160,50,2,4,6,8,16,60,79,109,119,,91
,,,55 56,20,27,274,182,104,136,149,168,,205,,,,,91
,,,,,,,,,,,,188,,225,244,261,,91
