Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,5,1,48,15,1,1,6,6,9,,,,54,,51
,,,,,14,14,14,,,,,,,,,15,,51
,,,55 56,6,1,48,15,1,1,6,6,,14,14,,15,,51
,,,,,,,,,,,,,30,33,39,,,51
,HARTFORD CONN,,,21,5,490,50,,13,14,15,26,,,,,,51
,NEW HAVEN CONN,,57,23,9,169,36,10,,15,18,23,33,37,40,,,51
,,,57,20,4,304,62,,11,14,17,20,30,,68,145,,51
,,,57,14,6,38,18,,10,11,12,14,15,23,26,38,,51
,BOSTON MASS,,35,16,,156,11,,,1,1,,2,2,4,4,,51
,,,56,14,1,33,9,1,5,5,6,6,7,,12,20,,51
,,,57,18,1,99,27,,11,12,14,18,22,25,26,69,,51
,,,,,,,,,,,5,,11,14,20,30,,51
,,,55 57,48,,156,16,1,1,3,,,,,,,,51
,EVERETT MASS,,55,4,7,588,154,,7,,,,11,12,12,642,,51
,,,56,io,,19,8,1,3,6,7,8,8,,il,,,51
,,,55 56,,,588,49,1,6,7,8,8,,11,,20,,51
,LAWRENCE MASS,1157,57,i7,9,83,28,,,15,17,19,29,36,42,54,,51
,,,,,,,,,,,,20,30,42,54,113,,51
,LYNN MASS,1157,57,,9,320,53,,11,13,15,,,,,,,51
,SOMERVILLE MASS,,57,is,1,207,45,4,,11,15s,18,26,39,42,113,,51
,WORCESTER MASS,,57,20,5,214,32,,10,12,14,15,30,33,42,50,,51
,MANCHESTER N H,1157,57,11,6,140,41,6,,,15,20,26,42,69,129,,51
,,,,14,,,4,1,2,2,3,3,4,4,5,6,,51
,R,,,,1,14,24,11,12,13,14,15,20,30,33,,,51
,,,57,16,9,64,,,,,,,,,,,,51
,,,55 57,32,1,64,15,2,3,4,,12,13,14,26,42,,51
,BURLINGTON VT,,57,,5,188,28,,10,10,,14,18,23,26,42,,51
,J,,57,17,7,230,41,12,14,16,18,19,20,39,54,69,,51
,,,,,,,,,21,22,25,28,33,42,54,o9,,51
,,,57,,8,385,55,15,,,,,,,,,,51
,EAST,1157,57,12,9,740,126,8,,15,20,30,33,48,69,,,51
,NEWARK,1157,57,,10,54,26,12,17,18,20,23,23,26,33,48,,51
,NEW,,53,5,1,2,1,,,1,1,1,1,2,2,2,,51
,,,54,36,,94,14,1,2,5,6,,10,,20,35,,51
,,,55,37,,29,6,,1,1,2,3,5,,12,20,,51
,,,56,5,3,19,10,3,3,6,6,9,,15,15,20,,51
,,,57,17,5,183,40,6,,20,28,31,33,48,62,69,,51
,,,,,,,,,,,,,10,,,,,51
