Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Page
,188 188,,,,,,,,,,,,,172
,AVERAGE,,20,40 40,32 946 16 26 12,,40,,52,66,80,,,172
,,,20,20 20,20 20 10 20 9,,40,,30,50,60,,,172
,,,60,30 50,10 20 20 300 30,,70,,40,60,40,,,172
,AVERAGE,,60,25 35,10 20 12 15,,70,,35,45,40,,,172
,,55,,,,,,,,,,,,172
,,,,50,80 20 40 30,,30,,70,20,60,,,172
,AVERAGE,,16,39 30,4 55 12 17 16,,18,,,,,,,172
,MUM,,8,8 10,4 30 6 3 3,,7,,70,20,20,,,172
,EL,55 56,,,,,,,,,,,,172
,AVERAGE,,13,8 38,19 10 16,,30,,,25,25,,,172
,,,9,6 18,9 10 3 6,,30,,,25,10,,,172
,MUM,,,,,,,,,,,,,172
,PA,56,,,,,,,,,,,,172
,AVERAGE,,21,33 25,15 4 11 9 4,,,,16,,7,,,172
,MI N MUM,,19,16 11,10 3 ii 4 4,,,,15,,7,,,172
,CA,55 56,,,,,,,,,,,,172
,,,25,72 28,10 7 14 95,,17,,12,,19,,,172
,AVERAGE,,,,,,,,10,,,,,172
,PERTH AMBOY,55 56,,,,,,,,,,,,172
,AVERAGE,,15,8 19,32 5 16,,,,24,13,15,,,172
,MUM,,3,8 i9 19,14 5 13,,,,10,6,13,,,172
,,55 56,,,,,,,,,,,,172
,,,,,,,,,,1,3,,,172
,AVERAGE,,13,30 45,7 3 4,,,,35,15,18,,,172
,JERSEY cITy,55 56,,,,,,,,,,,,172
,,,34,100 150,29 45 18 41,,28,,,30,42,,,172
,AVERAGE,,27,,,,,,,30,22,,,172
,,54 56,,,,,,,,,,,,172
,AVERAGE,,89,66 58,78 68 38 67 26,,40,,69,119,91,,,172
,,55 56,,,,,,,,,,,,172
,PH A PA,,,13 13,13 18 12 13 13,,10,,8,8,9,,,172
,AVERAGE,,39,36 20,27 26 22 11 18,,,,,,,,,172
,MEN MUM,,9,11 9,9 8 5 1 6,,8,,12,7,15,,,172
oe,,,,,,,,,,,,,,172
aun,AL TOONA PA,56,,,,,,,,,,,,172
,AVERAGE,,,3 7,6 6 8,,6,,5,8,,,,172
,MUM,,,3 7,5 3 8,,3,,,8,,,,172
,BR,55 56,,,2 1,,4,,2,2,2,,,172
,MUM,,,17 12,3 3 13,,17,,9,9,17,,,172
,AVERAGE,,,17 12,3 1 6,,6,,4,7,16,,,172
,MUM,,,17 12,3,,3,,,5,15,,,172
,CH ESTER PA,56,,,,,,,,,,,,172
,,,,17,53 2 8 10 24,,,,6,,11,,,172
,AVERAGE,,,17,8 5 10 7,,7,,6,,12,,,172
,ER PA,56,,,,,,,,,,,,172
,AVERAGE,,13,4 6,2 10 4 3,,3,,3,4,3,,,172
,,56,,,,,,,,,,,,172
,,,3,3 3,3 2,,2,,2,2,1,,,172
,AVERAGE,,8,,,,10,,7,3,8,,,172
,MUM,,5,4,10,,,,,,,,,172
am,,,,,,,,,,,,,,172
av,,,,,,,,,,,,,,172
,Google,,,,,,,,,,,,,172
oa,,,,,,,,,,,,,,172
