Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,NEW TOTAL,,511,,700,,,,,,,,,129,169,,38
,,MID ATLNTC TOTAL,55 57,1829,7,829,124,44,59,73,87,104,,139,173,224,,38
,,TOTAL,57,440,9,952,119,38,51,61,79,95,112,135,166,220,,38
,,SOUTH EAST TOT,55 57,501,,803,111,,,,,,,120,,,,38
,,AL,,,,,,38,,62,72,83,98,,153,207,,38
,,WEST TOTAL,55 57,1065,7,618,119,38,53,65,78,94,113,139,174,30,,38
,,GRT PLAINS TOTAL,57,697,5,745,104,31,41,50,63,80,95,117,146,207,,38
,,GULF SOUTH TOTAL,55 57,503,8,558,81,24,33,,50,60,75,91,115,157,,38
,,TOT AL,55 57,253,,467,102,26,41,52,68,82,98,117,149,201,,38
,,PAC COAST TOTAL,55 57,785,,790,119,2g,43,56,,,105,,170,,,38
,,,,,8,,,,,,71,86,,132,,248,,38
,,,55 57,6584,,952,113,34,47,60,74,88,106,128,159,218,,38
