Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,70,,,,,,,,,,,,,,,,,54
,SALT LAKE UTAH,,53,1,,,,,,,,,1,,,1,,54
,,,54,,,170,24,2,,,,10,1,1,2,33,,54
,,,55,,,,,2,,,6,20,3,,54,391,,54
,,,56 6,,15,48,26,13,,,14,1,,,42,54,,54
,,,57,lo,17,4 35013068,,20,,,42,,,,79,88,,54
,,,53 27,76 7G,,,,3,,,12,,29,,,,,54
,CHEYENWE,,57,,2,337,300,2,,,3,50,,,,,,54
,ANCHORAGE ALASKA,,53,,,4,1,,,,,,,,,3,,54
,,,54,46,,110,8,,,,,,,,,12,,54
,,,55,2,,36,5,,,,,,,,,12,,54
,,,57 57,29,3,48,11,3,,,,10,1,14,14,18,,54
,,,,10 104,,110,8,,,,,,4,,1,17,,54
,PHOENIX,,57,,15,319,670,20,,30,,,,,12,,,54
,LOS ANGELES CALIF,,54,,,52,6,,,,,,,,,9,,54
,,,,,,,,,149,,,,264,,6,,,54
,,,57,15,6,27,44,12,,14,20,24,,3,,88,,54
,,,54 57,34,,273,23,,,,,,,,26,54 54,,54
,SAN FRANCISCO CALIF,,55,1,,,,,,,,,,,,,,54
,,,56,6,,7,3,1,,,,,,,,7h,,54
,,,57,24,1,69,19,3,,,9,1,19,2 24,31,,,54
,,,55 5 7,31,,69,16,1,,,,9,1,1,26,42,,54
,CALIF,,33,6,,4,2,1,,,,,,,,3,,54
,,,54,25,,82,,,,,,,,,,42,,54
,,,,,,,,,,,,,6,,9,,,54
,,,,36,2,60,8,2,,,4,,6,,,18,,54
,,,56,,26,43,35,26,24,3,33,38,38,,42,54,,54
,,,57,1s,2,56,24,6,14,19,,20,28,3,33,42,,54
,,,53 57,90,,82,13,1,,,,6,,,,37,,54
,BERKELEY CALIF,,,32,,,9,,,,,,,1,20,33,,54
,,,55,15,1,25,7,1,,,,,,,9,,,54
,,,54 55,47,,,9,,,,4,,,,1,24,,54
,SAWN JOSE,,54,30,,110,12,,,,,,,14,22,26,,54
,,,55,32,1,16,5,1,,,,,,,,9,,54
,,,56,16,3,81,23,3,4,9,12a 12,19,26,,33,42,,54
,,,57,i7,4,68,i8,7,,,12,14,,,24,26,,54
,,,54 57,,,110,12,1,,,4,,9,14,,29,,54
,SAN CALIF,,,17,1,40,5,1,,,,,,,4,9,,54
,,,56,22,,112,24,4,,,15,20,24,,,42,,54
2,,,55 56,,,112,16,1,,,,,1,,30,38,,54
,,,,,,,,,,,4,,,,,,,54
,,,,,,,,,,,14,14,,26,42,62,,54
,SAN CALIF,,57,23,,86,26,10,,,,,19,,,,,54
,SAN BERNARDIWO CALIF,,57,16,3,350,233,16,14,,26,39,48,54,62,69,,54
,HONOLULU,,,23,4,48,18,4,5,,,14,1,2,36,46,,54
,,,57,26,2,,17,3,,,,19,2,,,33,,54
,,,,49,2,52,i8,4,,,,14,14,24,3,42,,54
,LAS VEGAS NEVADA,,57,1s,,3800,436,18,,,,,,11,30,642,,54
,OREGON,,53,16,,6,1,,,,,,,,,4,,54
,,,54,,,18,14,,,,,,,1,14,42,,54
,,,55,26,1,16,3,,,,,,,,,7,,54
,,,56,24,2,,26,2,,,10,1,,,36,54,,54
oe,,,57,ei,4,,14,5,,,,1,13,,20,33,,54
,,,53 57,175 75,,13 188,13,,,,,,,1,164,35,,54
,,,,,,,,,,,2,,,,,,,54
,SEATTLE,,57,24,2,79,14,2,,,,,,,19,30,,54
on,,,,,,,,,,,,,,,,,,54
ee,,,,,,,,,,,,,,,,,,54
om,,,,,,,,,,,,,,,,,,54
va,,,,,,,,,,,,,,,,,,54
oa,,,,,,,,,,,,,,,,,,54
