Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,2,2,4,5,3,3,3,4,1,4,3,2,,,142
,,,,10,,,,,,,,,,,,142
AVERAGE,,2,7,4,3,7,3,9,9,,11,,10,,,142
,55,,,,,,,,,,,,,,,142
,,1,2,4,1,1,2,2,4,1,2,2,1,,,142
AVERAGE,,17,5,4,,6,5,4,,14,10,4,8,,,142
,55,,,,,,,,,,,,,,,142
,,3,3,3,1,,3,3,2,2,1,4,2,,,142
AVERAGE,,,15,8,,,8,7,5,,12,,11,,,142
,56,,,,,,,,,,,,,,,142
AVERAGE,,,,4,1,,,,2,2,,1,3,,,142
,,,,,,,,,2,2,,1,,,,142
,,,4,3,5,2,1,,4,,2,,1,,,142
AVERAGE,,6,2,9,3,,,,,,1,,2,,,142
,,6,,,,,,,,,,,2,,,142
CAMDEN N J,55,,,,,,,,,,,,,,,142
,,,14,25,32,,2,4,6,3,4,,6,,,142
AVERAGE,,4,,11,16,,2,4,5,2,3,,5,,,142
AVERAGE,,,1,,18,,,,,,,,,,,142
,,1,,,,,,,3,,,3,2,,,142
,,,1,,,,,,3,,,,,,,142
,55 56,,,,,,,,,,,,,,,142
AVERAGE,,,4,,34,,,,,,21,4,6,,,142
,,,2,,34,,,,,,21,4,3,,,142
,35,,,,,,,,,,,,,,,142
,,,,,4,,,,2,1,,,2,,,142
AVERAGE,,,16,14,20,,6,,10,3,,2,3,,,142
,,2,6,5,1,,3,,3,3,,2,2,,,142
,54 56,,,,,,,,,,,,,,,142
,,4,5,,8,,10,7,5,6,6,7,7,,,142
AVERAGE,,27,,52,36,49,26,42,21,27,54,37,23,,,142
,,3,,2,,8,,,4,4,6,2,,,,142
,,20,16,14,15,19,12,13,13,10,8,8,9,,,142
AVERAGE,,20,15,,15,12,12,,11,7,6,,10,,,142
,,,,3,,,2,,3,,3,3,2,,,142
,56,,,,,,,,,,,,,,,142
AVERAGE,,,5,,,6,,,,,,,,,,142
,,,,7,2,,,,18,5,5,8,,,,142
,,,5,7,,2,,,18,3,,8,,,,142
,55 56,,,,,,,,,,,,,,,142
,,,2,2,,,,5,,15,4,4,2,,,142
AVERAGE,,,,,,,,3,,5,,,1,,,142
,55 56,,,,,,,,,,,,,,,142
,,,,,2,2,2,2,3,4,,,1,,,142
,,,10,,10,,10,19,,25,2,,12,,,142
AVERAGE,,,10,,7,2,,10,,12,2,,12,,,142
,56,,,,,,,,,,,,,,,142
AVERAGE,,3,2,3,3,2,5,4,,9,,,7,,,142
,,,2,2,,2,5,4,,3,,6,,,,142
,56,,,,,,,,,,,,,,,142
,,3,3,3,,,3,,,2,2,2,1,,,142
,,31,38,89,,,30,2,,50,,160,32,,,142
AVERAGE,,21,18,,,,22,1,,43,39,91,32,,,142
,,11,,28,,,18,,,36,23,22,32,,,142
,,,3,34 1,2,3,,1,ai 1,36 3,2,13 3,2,,,143
AVERAGE,,,37,34,24,24,3,44,,26,,9,5,,,143
,,,9,34,21,10,2,44,21,15,3,6,5,,,143
,54 56,,,,,,,,,,,,,,,143
,,1,6,1,5,6,6,4,7,6,3,1,,,,143
AVERAGE,,20,31,50,50,29,46,50,35,44,44,4,,,,143
,,20,8,so,7,2,8,13,3,10,15,4,,,,143
,54 55,,,,,,,,,,,,,,,143
,,2,3,1,6,4,4,13,13,12,6,1,6,,,143
,,,,,,,30,15,13,16,9,,12,,,143
AVERAGE,,7,9,33,43,78,,,,,,5,,,,143
,57,,,,,,,,,,,,,,,143
,,1,2,2,3,1,3,2,3,1,,,,,,143
AVERAGE,,25,24,27,55,14,25,22 22,29,24,,,,,,143
,,25,22,24,12,14,20,18,13,24,,,,,,143
,55,,,,,,,,,,,,,,,143
,,,1,3,5,5,3,2,1,1,3,2,1,,,143
,,,15,,79,72,50,4,22,13,12,2,,,,143
AVERAGE,,,15,50,53,38,25,4,22,13,6,,,,,143
,54 55,,,,,,,,,,,,,,,143
,,2,2,3,,5,2,2,2,3,1,2,1,,,143
AVERAGE,,2,11,17,20,19,22,2,14,9,,2,2,,,143
,,,,,,,,,,,7,2,2,,,143
,54 56,,,,,,,,,,,,,,,143
,,1,3,6,5,3,,3,1,,,1,1,,,143
AVERAGE,,37,8,38,29,37,11,6,11,,62,18,20,,,143
,,37,3,13,4,4,11,,11,,62,18,20,,,143
CHATTANOOGA TENN,55 56,,,,,,,,,,,,,,,143
,,1,5,3,2,2,,1,4,4,5,3,2,,,143
AVERAGE,,,7,9,2,21,,5,5,13,14,5,16,,,143
CHICAGO,54 55,,,,,,,,,,,,,,,143
,,4,,6,3,12,20,14,9,8,16,13,8,,,143
,,,,14,32,,51,45,29,36,46,35,54,,,143
AVERAGE,,21,44,,,41,,,,,,,,,,143
,,3,14,,,3,6,,6,2,4,,29,,,143
,56,,,,,,,,,,,,,,,143
,,4,2,2,2,2,3,,4,3,1,2,3,,,143
AVERAGE,,20,12,61,42,27,31,47,29,25,,23,20,,,143
IND,55 56,,,,,,,,,,,,,,,143
AVERAGE,,60,15,39,45,62,45,24,35,40,,14,27,,,143
,53 54,,,,,,,,,,,,,,,143
,,,1,3,4,2,1,,,,,20,,,,143
AVERAGE,,,22,130,105,97,117,,,,,61,,,,143
,,,22,119,85,83,117,,,,,1,,,,143
CINCINNATI,54 55,,,,,,,,,,,,,,,143
,,3,8,43,20 20,22,19,8,9,12,,3,6,,,143
,,70,47,127,99 99,72,90,68,59,51,89,74,38,,,143
AVERAGE,,26,19,57,54,45,56,39,32,26,24,36,25,,,143
,57,,,,,,,,,,,,,,,143
,,,,,,,1,,2,,2,,,,,143
,,,,1,2,1,,2,360,1,,,,,,143
AVERAGE,,,,75,205,130,24,160,300,25,325,,,,,143
,57,,,,,,,,,,,,,,,143
AVERAGE,,22,74,28,55,21,9,21,18,26,22,,,,,143
,,1,,4,5,4,3,,5,4,3,2,1,,,143
AVERAGE,,9,1,57,468 48,40,,,10,13,8,2,10,,,143
