Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,,,,,,,,,,,,,9,,83
,DENVER COL,54 55,26,2,30,13,4,7,8,,12,13,14,21,24,,83
,UTAH,54,26,5,110,24,6,9,,14,16,19,21,25,32,,83
,CHEYENNE,57,26,5,18,10,7,7,8,10,11,11,12,13,14,,83
,ANCHORAGE ALASKA,54 55,26,,33,8,,1,1,3,5,8,11,15,17,,83
,LOS ANGELES CALIF,1754 54,,122,202 2021154,154,,124,124,124,140,140,140,140,202,,83
,,3157,,13,248,81,19,,41,81,88,91,,97,,,83
,,37,,,,,,,,,,,94,,124,,83
,,54 57,24,13,248,90,19,32,79,86,89,92,97,117,140,,83
,SAN,55,17,2,27,7,2,3,4,4,5,5,7,12,16,,83
,,1156 56,15,2,34,12,2,3,5,6,10,10,22,24,28,,83
,,55 56,32,2,34,10,2,3,4,5,6,7,10,17,25,,83
,,2157 57,3,2,39,20,,2,2,2,22,22,22,22,41,,83
,,,17,,,,,,,,,,,,,,83
,,55,,2,27,7,2,3,4,4,5,5,7,12,16,,83
,,54,15,2,34,12,2,3,5,6,10,10,22,24,28,,83
,,57,3,2,39,20,,2,2,2,22,22,22,22,41,,83
,,55 57,35,2,39,11,2,3,4,5,6,8,13,21,27,,83
,PASADENA CALIF,54,15,40,404,141,67,76,83,86,124,132,146,152,373,,83
,,,35,4,480,43,,10,12,14,21,24,39,46,104,,83
,,54,4,21,40,30,,22,22,25,25,25,39,39,41,,83
,,54 56,54,4,480,69,9,12,17,24,37,44,76,106,146,,83
,BERKELEY,,,,,,,,,,,,,,,,83
,CALIF,54 55,28,2,183,47,3,9,16,22,25,46,,67,97,,83
,SAN JOSE,54,20,2,124,38,9,11,12,15,28,36,46,72,86,,83
,,,12,7,178,,7,8,10,22,25,41,46,76,169,,83
,,56,20,8,104,37,12,18,25,30,36,39,44,54,57,,83
,,54 56,52,2,178,,9,,18,25,32,39,45,57,86,,83
,SAN LEANDRO CALIF,56,30,6,78,30,7,14,19,25,28,32,34,46,57,,83
,HONOLULU,57,26,3,,,,,,,,,,,,,83
,,,,,32,7,2,3,4,4,5,5,6,8,13,,83
,,,11,6,160,60,6,13,13,25,49,52,92,97,140,,83
,,,19,1,54,20,2,8,10,13,19,22,25,30,44,,83
,,54 55,30,1,160,35,6,8,12,18,23,28,36,49,92,,83
,,2154 54,10,10,107,50,,15,25,28,34,36,46,101,106,,83
,,54,10,20,114,78,22,56,59,70,73,76,104,110,117,,83
,,,,43,,,,,,,,,,,,,83
,,54,10,,134,77,46,49,52,59,63,67,76,117,124,,83
,,54,41,6,160,66,13,25,36,49,59,72,97,107,121,,83
,,,19,1,54,20,2,8,10,13,,22,25,30,44,,83
,,54 55,60,1,160,,8,13,23,30,44,,67,97,114,,83
,SEATTLE WASH,57,20,3,37,19,7,11,13,14,20,,24,28,32,,83
