Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,55,36,,40,5,,,1,1,3,6,7,,10,,191
,TOTAL,,49,,100,,,,1,1,1,4,,10,32,,191
,MASSACHUSETS,,,,,,,,,,,,,,,,191
,NEW JERSEY TOTAL,55 56,130,,22,1,,,,,1,1,,1,2,,191
,TOTAL,54,76,,340,12,1,1,2,2,3,6,,16,24,,191
,PENNSYLVANIA TOTAL,54 56,275,,510,9,,1,4,2,4,5,,10,20,,191
,COLUMBIA TOTAL,54 56,46,,30,,,,1,1,1,3,5,6,9,,191
,,,,,,,,,,,,,10,,,,191
,KENTUCKY TOTAL,54,71,,50,8,,1,4,5,6,8,,15,21,,191
,MARYLAND TOTAL,57,18,3,10,5,3,3,,,,5,5,6,7,,191
,WEST VIRGINA TOTAL,54 55,27,,100,,,,,,1,1,1,1,2,,191
,FLORIDA TOTAL,54 55,31,,9,,,,,1,1,1,1,3,4,,191
,GEORGIA TOTAL,54 56,26,,100,15,,,1,3,6,,10,22,41,,191
,,,,,,,,,,,,,,10,19,,191
,TENNESSEE TOTAL,55 56,32,,30,6,,1,2,3,4,,,,,,191
,TOTAL,54 56,149,,100,14,,3,4,6,8,,10,21,31,,191
,,55 56,86,,200,18,4,4,5,,10,20,21,,39,,191
,MICHIGAN TOTAL,53 54,32,,80,,,,1,1,1,2,3,5,8,,191
,,,,,,,,,,1,,,5,,28,,191
,OHIO TOTAL,54,182,,120,9,,,1,,2,4,,,,,191
,WISCONSIN TOTAL,57,,3,,6,3,4,4,5,5,6,7,8,9,,191
,MISSOURI TOTAL,54 56,653,,80,7,,,4,1,1,4,7,9,21,,191
,LOUISIANA TOTAL,54 55,50,,10,1,,,,1,,,2,3,4,,191
,,,,,,,,,,,,,,,20,,191
,TEXAS TOTAL,54 55,155,,90,6,,,4,1,1,3,5,,,,191
,TOTAL,54 55,26 26,,50,13,2,3,,,,19,20,21,22,,191
,UTAH TOTAL,54 55,31,,70,10,,1,3,5,6,8,,20,,,191
,,,,,,,,,,,,,,,5,,191
,ALASKA TOTAL,54 55,42,,7,1,,,,1,1,1,1,2,,,191
,TOTAL,54 56,224,,60,,,,1,1,1,2,3,5,9,,191
,,,,,,,,,,,,,,,10,,191
,TOTAL,54 55,74,,30,4,,1,1,1,2,4,5,,,,191
,WASHINGTON TOTAL,57,20,,9,4,2,3,3,4,4,4,5,6,,,191
,TOT AL,55 56,85,,100,9,,,1,,,,,,,,191
,MIO ATLNTC TOT AL,54 56,481,,310,7,,,1,1,,3,5,,18,,191
,TOTAL,54 57,162,,100,6,,1,1,4,4,5,6,,17,,191
,SOUTH EAST TOT AL,54 56,89,,100,7,,,1,1,3,4,5,,20,,191
,TOTAL,53,46383,,200,12,,,,4,5,7,,20,30,,191
,TOT AL,54 56,99,,80,5,,,,1,1,1,5,,20,,191
,,54 55,,,,,,,,1,,2,4,,,,191
,GULF SOUTH TOT AL,,205,,90,,,,,,,,,,,,191
,TOT AL,54 55,57,,70,11,1,2,5,7,9,,19,21,22,,191
,PAC COAST TOTAL,54 57,360,,60,3,,,1,1,4,2,4,5,9,,191
,,57,2006,,510,7,,,1,1,2,4,6,,20,,191
