Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,,3,3,3,3,,,3,4,4,3,4,,,43
,,,,224,55,70,,109,90,101,71,128,156,,,43
AVERAGE,,,59,106,37,,,65,56,76,38,92,89,,,43
,,,,35,18,36,,40,25,,7,49,16,,,43
,56,,,,,,,,,,,,,,,43
,,,4,1,4,4,,4,4,4,5,2,4,,,43
AVERAGE,,,124,73,53,68,,79,68,71,60,278,93,,,43
,,,60,73,24,23,,51,43,34,40,207,,,,43
,55,,,,,,,,,,,,,,,43
,,,,,,,,,,,5,3,5,,,43
,,4,,3,4,4,4,4,4,4,,,,,,43
,,86,106,84,85,54,73,43,48,62,66,49,90,,,43
AVERAGE,,69,63,74,,47,48,35,30,39,33,37,39,,,43
,,60,33,64,41,41,24,31,24,15,8,20,20,,,43
,57,,,,,,,,,,,,,,,43
,,4,6,5,6,6,7,19,16,6,,6,6,,,43
,,100,147,200,309,224,239,968,2253 223,230,361,322,186,,,43
AVERAGE,,75,,136,147,146,140,61,124,113,134,128,,,,43
,,,,,,,,,,,32,26,55,,,43
,55 56,,,,,,,,,,,,,,,43
,,,3,4,3,4,4,4,5,4,,7,3,,,43
AVERAGE,,,173,140,153,128,128,122,118,128,221,236,215,,,43
,,,58,133,117,87,99,44,97,114,107,74,,,,43
,37,,,,,,,,,,,,,,,43
,,,,,,,,,3,,3,1,3,,,43
,,,,1,1,2,2,2,,,,,,,,43
,,,,72,65,68,87,65,97,42,76,42,87,,,43
AVERAGE,,,,,65,56,69,64,77,42,41,42,60,,,43
,,,,72,65,45,51,63,56,42,21,42,45,,,43
,57,,,,,,,,,,,,,,,43
,,,,,235,106,69,73,160,147,198,73,,,,43
AVERAGE,,,,,235,106,44,73,106,147,198,73,,,,43
,,,,,235,106,18,73,53,147,198,73,,,,43
,57,,,,,,,,,,,,,,,43
,,,,,,1,2,2,2,2,,,,,,43
AVERAGE,,,,,,77,69,60,69,43,89,,,,,43
,57,,,,,,,,,,,,,,,43
,,2,2,3,2,2,2,2,2,2,3,2,2,,,43
,,,295,163,45,118,1253 1253,58,114,81,301,223,,,,43
AVERAGE,,42,221,99,41,87,86,41,78,78,222,219,224,,,43
,,32,147,63,37,56,49,24,43,75,78,216,200,,,43
,55 57,,,,,,,,,,,,,,,43
,,189,365,210,550,169,229,157,140,146,365,233,193,,,43
AVERAGE,,113,184,110,155,70,103,88,62,111,172,161,144,,,43
,,40,87,48,31,31,9,28,19,,35,36,47,,,43
LOUISVILLE,55 57,,,,,,,,,,,,,,,43
,,6,5,4,3,3,3,8,12,14,5,7,7,,,43
AVERAGE,,122,,76,91,138,78,78,99,103,206,340,105,,,43
,,90,58,67,57,48,67,,30,29,15,170,44,,,43
,56,,,,,,,,,,,,,,,43
,,2,2,2,3,2,6,5,177 8,6,5,7,5,,,43
,,208,103,140,336,124,202,160,177,146,,375,952,,,43
AVERAGE,,157,102,113,177,74,97,116,102,119,235,217,410,,,43
,,106,102,87,65,25,52,86,51,85,86,115,104,,,43
,,2,2,2,2,2,3,2,2,2,1,2,3,,,43
AVERAGE,,166,117,124,118,50,32,61,46,152,170,105,384,,,43
,57,,,,,,,,,,,,,,,43
,,2,2,2,3,2,2,2,3,1,3,2,2,,,43
AVERAGE,,185,173,124,52,52,37,,48,20,50,112,127,,,43
,,153,49,105,50,45,37,52,22,20,12,57,116,,,43
,,3,1,2,1,,2,2,2,2,3,2,1,,,43
,,,,,,,,42,68,69,49,49,,,,43
AVERAGE,,57,27,42,52,,,29,68,,32,41,16,,,43
,,50,27,21,,,53,17,68,44,16,34,16,,,43
,57,,,,,,,,,,,,,,,43
,,2,2,3,,2,2,3,2,2,1,3,2,,,43
AVERAGE,,146,125,71,84,83,35,52,69,106,90,63,139,,,43
