Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Page
,EAST,,,,,,5,6,7,,,,,,71
,,19,2,22,9,2,,,,8,,,21,,71
,,55 56 26,1,50,11,3,4,5,6,,11,12 16,,,71
,,56 21,1,32,6,1,1,2,2,4,5,6,11,,71
,,55 56 20,1,35,8,1,2,3,4,5,6,13,17,,71
,,67,,50,9,2,3,4,5,6,,10 15,20,,71
,,,1,,,,,,,,,,,,71
,,56 19,1,32,7,1,1,2,2,4,5,13,15,,71
,,55 56 86,1,50,9,1,2,4,5,6,7,14,19,,71
,CINCINNATI,54 36,4,72,20,5,,10,14,16,18,21 32,38,,71
,,27,,39,9,1,,2,4,6,,14 16,19,,71
,,54 55 63,,72,15,2,4,6,,13,15,17 21,37,,71
,,54 55 21,,20,3,,,1,1,1,2,2,10,,71
,,55 56 18,,18,4,1,2,2,3,3,4,5 6,9,,71
,,55 56 9,,2,1,,,1,1,1,1,1 1,2,,71
,,56 27,,18,3,,1,1,2,2,3,3 5,6,,71
,,55 56 25,2,23,5,2,2,3,3,3,4,5 7,9,,71
,,23,3,39,9,2,3,4,5,,,10 12,15,,71
,NEW,54,,,,,,,,,,,,,71
,,54 55 22,1,29,5,1,1,2,3,3,4,5 7,8,,71
,,54 55 45,1,39,7,2,2,3,3,,,10,14,,71
,,12,1,10,,1,1,3,3,3,4,4 5,6,,71
,,55 16,2,8,2,1,1,2,2,2,2,2 3,4,,71
,,54 55 28,1,10,3,1,1,2,2,2,3,4 4,6,,71
,HOUSTON TEXAS,54 14,2,15 341,8,2,5,6,7,8,8,a1,13,,71
,,1155 55,1,31,8,2,3,4,5,7,,10 il,16,,71
,,54 55 70,1,31,8,2,3,4,6,7,,10 11,15,,71
,BELLAIRE TEXAS,1454 54 17,1,15,5,1,2,3,4,5,,6,10,,71
,,24,,19,7,1,2,3,4,5,7,11,18,,71
,,54 55 41,,19,6,1,2,3,4,5,6,10,15,,71
,,54 26,,13,4,1,2,3,3,4,4,5 6,7,,71
,,54 55 26,,33,4,1,1,1,2,2,3,3 5,9,,71
,ANCHORAGE ALASKA,54 55 26,1,23,4,,1,2,2,3,4,4,10,,71
,,54,,73,31,,10,,10,11,,11,78,,71
,SAN,55 56 32,3,,87,5,,,56,78,94,,,,71
,,,,,,,,,,,,118,141,,71
,PASADENA CALIF,54 15,,,,,,,,,,,,,71
,,,2,30,11,4,4,5,,,10,13 19,24,,71
,,35,,11 14,2,,1,1,1,2,2,3 5,8,,71
,,1156 56 4,2,,5,,2,2,3,3,3,8 8,9,,71
,,54 56 54,,30,5,,1,1,2,3,4,6,12,,71
,BERKELEY,54 55 28,6,76,22,,11,,17,19,21,25 27,34,,71
,,54 20,2,28,9,3,4,5,5,,,,,,71
,,1155 55 12,3,15,5,2,3,3,,,,11 13,15,,71
,,54 20,1,,,,,,4,4,5,5,11,,71
,,56 52,,16,4,,1,1,2,4,4,5 7,9,,71
,,,1,28,6,1,2,3,4,5,5,10,14,,71
,SAN LEANDRO,,,,,,3,,,,,,,,71
,CALIF,55 56 30,1,29,9,2,,4,5,7,,11 14,16,,71
,,54,3,37,14,3,3,6,7,,,17 30,34,,71
,,19,,10,3,,1,1,2,3,3,5 6,9,,71
,,54 55 30,,37,7,,1,2,3,5,6,7,17,,71
,,54 10,1,43,19,1,4,,10,11,,,,,71
,,,,,,,,,,,21,24 38,41,,71
,,54 10,,,,,,,,,,,,,71
,,,,24,11,3,5,5,8,,11,13 15,23,,71
,,4454 54 10,6,41,24,6,7,,,21,30,34 38,41,,71
,,54 41,1,43,17,3,6,7,,,,23 32,38,,71
,,19,,10,3,,1,1,2,3,3,5 6,9,,71
,,54 55 60,,43,13,1,2,5,6,8,,15 23,,,71
