Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,32,62,418,177,85,,128,137,145,,,,,,26
,,,,,,,,,,,,,,244,288,,26
,,54 55,77,,680,196,90,109,,153,171,202,231,264,323,,26
,RHODE,54 55,46,,463,195,76,90,116,148,175,219,236,301,355,,26
,,54 55,105,238,598,183,,106,126,152,144,189,214,270,310,,26
,TOTAL,53 55,117,21,970,239,88,112,138,172,200,237,275,349,455,,26
,TOTAL,55 55,312,24,1340,272,,142,169,200,,,,,,,26
,,,,,,,,,,,224,247,285,357,501,,26
,TOTAL,55,65,,,249,,133,160,191,221,238,266,352,444,,26
,,54 55,50,44,665,200,80,90,128,142,164,191,219,298,360,,26
,TOTAL,53 55,63,60,2340,298,125,151,172,207,226,241,303,371,461,,26
,,53 55,70,25,377,150,67,87,100,113,133,157,180,218,262,,26
,,53 55,95,28,728,219,101,130,156,185,203,231,261,285,340,,26
,,54 55,86,46,,228,79,106,148,166,195,235,277,340,425,,26
,,54 55,202,29,1409,354,119,168,204,253,300,350,418,,625,,26
,,55,27,35,,294,76,106,148,196,301,327,401,490,524,,26
,,54,58,47,1045,502,262,305,352,,,530,608,709,,,26
,,,,,,,,,,413,482,,,,811,,26
,OHIO TOTAL,,332,21,1430,258,101,,160,185,215,242,,356,460,,26
,,55,13,113,388,213,125,175,160,186,196,202,207,244,340,,26
,MISSOURI TOTAL,53 55,73,16,458,145,46,74,92,112,131,146,172,196,277,,26
,LOUISIANA TOTAL,54 55,102,14,541,148,59,79,95,111,131,144,,202,272,,26
,,,,,,,,,,,,,163,,,,26
,,53 55,269,6,1150,149,57,71,87,106,126,146,172,200,270 270,,26
,,54 55,49,65,440,170,83,103,125,139,159,179,196,219,259,,26
,UTAH TOTAL,53,53,70,932,275,101,130,143,162,189,244,298,360,658,,26
,ALASKA TOTAL,53 55,,18,1000,235,76,114,141,163,,202,255,350,449,,26
,TOTAL,53 55,196,32,1730,330,,,,,,305,,,,,26
,CALIFORNIA,,,,,,93,126,149,174,221,,397,473,,,26
,OREGON TOTAL,53 55,140,10,2356,399,84,130,168,205,248,305,394,403,,,26
,,54 55,155,,680,192,84,103,123,145,168,204,230,263,348,,26
,,53 45,534,21,1340,255,103,129,158,185,214,239,278,342,464,,26
,,55,,44,955,238,90,130,151,175,209,230,264,331,440,,26
,SOUTH TOTAL,53 55,251,25s,728,202,783,103,128,186,181,208,244,282,354,,26
,,53,619,21,1430,311,109,147,180,214,253,302,363,452,s00,,26
,,53 55,173,16,675,160,67,61,100,119,139,161,188,226,,,26
,,53 55,371,6,1150,149,57,73,90,107,128,146,170,200,270,,26
,,,,,,,,,,,173,,,288,401,,26
,TOTAL,53 55,102,65,932,225,92,114,134,148,173,193,223,,,,26
,,53 55,426,10,2356,332,85,124,149,180,216,277,365,452 452,709,,26
,,,,,,,,,,,,,,,469,,26
,,53,,6,2356,249,82,,137,163,193,226,271,344,469,,26
,ca,,,,,,,,,,,,,,,,26
