Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,NEW YORK N Y,,,,,160,,12,24,34,43,,61,74,88,99,,77
,WASHINGTON,,54 55,19,,110,45,11,23,30,36,41,43,54,65,78,,77
,CHICAGO PEL,,54 55,31,,392,123,1,34,58,78,97,141,155,179,335,,77
,,,54 55,40,,2i1,35,,1,10,19,26,29,33,43,105,,77
,,,,,,,17,,,,,,,,,,,77
,HOUSTON TEXAS,,54,7,,43,17,,,1,1,is,,34,38,38,,77
,ANCHORAGE ALASKA,,54 55,12,,28,5,,,1,1,1,1,3,15,21,,77
,PASAUDEWA CALIF,,54 55,20,,87,23,,1,1,1,10,27,32 32,36,69,,77
,BERKELEY CALIF,,54,28,,88,19,,1,1,8,11,15,21,30,54,,77
,SAN JOSE CALIF,,54 55,23,,140,53,4,17,20,24,46,61,81,88,111,,77
,PORTLANO OREGON,,54,10,7,164,77,7,7,41,43,48,88,99,150,159,,77
,,,54,10,23,148,67,23,24,27,43,54,74,78,105,111,,77
,,,54,10,14,406,185,15,99,111,169,179,190,201,,,,77
,,,,,,,,,,,,,,,226,322,,77
,,,54,10,,145,44,1,1,24,34,38,41,43 43,48,78,,77
,,,54,40,,406,93,7,24,39,43,72,94,,,,,77
