Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,3,1,2,3,2,1,1,3,2,3,2,,,194
,,AVERAGE,,,1,,3,1,,8,,4,,6,,,,194
,,,54 56,,,,,,,,,,,,,,,194
,,,,1,6,1,5,6,6,4,,6,3,1,,,,194
,,AVERAGE,,,2,,,4,9,3,4,4,5,,,,,194
,,,54 55,,,,,,,,,,,,,,,194
,,AVERAGE,,8,14,20,3,,16,7,8,6,11,,18,,,194
,,MUM,,7,6,20,,,,,,,,,6,,,194
,,,57,,,,,,,,,,,,,,,194
,,AVERAGE,,6,4,8,6,4,4,4,4,5,,,,,,194
,,,54 55,,,,,,,,,,,,,,,194
,,,,,,,,,,,,1,,,1,,,194
,,AVERAGE,,,,,1,,,,,100,,,,,,194
,,TAMPA FLA,54 55,,,,,,,,,,,,,,,194
,,AVERAGE,,1,3,,,,,,3,3,4,2,,,,194
,,,,,,,,,,,,,4,,,,,194
,,,54 56,,,,,,,,,,,,,,,194
,,,,1,3,6,,3,1,3,1,,1,1,1,,,194
,,AVERAGE,,40,6,19,10,5,,6,30,,20,100,,,,194
,,,55 56,,,,,,,,,,,,,,,194
,,,,1,5,3,2,2,,1,,,,,,,,194
,,,,,,,,,,,4,4,5,3,2,,,194
,,AVERAGE,,,8,6,1,17,,,2,4,12,5,6,,,194
,,CHICAGO ILL,54 55,,,,,,,,,,,,,,,194
,,,,4,7,6,3,12,20,14,9,8,16,13,8,,,194
,,AVERAGE,,7,24,22,15,15,13,8,9,27,21,11,15,,,194
,,,,,,,,,,,,,,,8,,,194
,,EAST sT LOUIS,56,,,,,,,,,,,,,,,194
,,AVERAGE,,2,2,21,5,4,10,30,6,10,,5,4,,,194
,,EAST CHICAGO,55 56,,,,,,,,,,,,,,,194
,,,,6,5,14,7,4,6,10,,,,,,,,194
,,AVERAGE,,30 9,3 7,60 19,70 25,50 27,80,60,,200,40,20,40,,,194
,,,,,,,,,29,13,14,41,23,6,11,,,194
,,MIEN MUM,,,,,4,20,,3,5,3,3,,,,,194
,,,53 54,,,,,,,,,,,,,,,194
,,,,,1,3,4,2,1,,,,,21,,,,194
,,AVERAGE,,,,26,1,,2,,,,,3,,,,194
,,NCINNATI OHIO,54 55,,,,,,,,,,,,,,,194
,,,,3,8,52,20,,,,,,,,,,,194
,,,,,,90,43,,100,73,50,115,120,41,30,,,194
,,AVERAGE,,6,2,4,11,4,10,12,14,23,21,15,18,,,194
,,,,1,,,,,,1,1,,2,,5,,,194
,,,57,,,,,,,,,,,,,,,194
,,,,,,1,2,1,1,2,2,1,2,,,,,194
,,AVERAGE,,,,5,7,7,4,6,6,5,8,,,,,194
,,,57,,2,,,,,,,,,,,,,194
,,AVERAGE,,6,7,6,7,6,5,6,4,,4,,,,,194
,,,,4,5,4,5,5,5,6,3,5,4,,,,,194
,,AVERAGE,,20,1,1,,,,,3,2,11,10,9,,,194
,,,,,,,,,,,,,,,9,,,194
