Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,4,2,,7,5,3,2,4,1,1,1,1,,,166
,AVERAGE,,1,5,10,6,2,3,2,6,8,,3,3,,,166
,,55 56,,,,,,,,,,,,,,,166
,,,8,8,,3,5,10,5,30,4,2,6,10,,,166
,AVERAGE,,5,4,,2,2,6,2,,4,,,,,,166
,LA,54 55,,,,,,,,,,,,,,,166
,,,,2,,,10,9,4,4,9,4,4,3,,,166
,AVERAGE,,,,,,2,3,1,2,4,2,2,1,,,166
,,,,,,,,,,1,,,,,,,166
,,54,,,,,,,,,,,,,,,166
,,,2,3,3,4,4,2,2,2,2,2,2,2,,,166
,AVERAGE,,,2,94,2,1,4,,1,1,1,,1,,,166
,,,,,,,,4,,,,,,,,,166
,,54 55,,,,,,,,,,,,,,,166
,,,1,7,8,5,,14,7,3,6,5,9,7,,,166
,,,,,,,,,,,90,,,30,,,166
,AVERAGE,,140,24,13,4,4,8,6,9,,2,2,13,,,166
,,,140,2,2,,,,,,2,2,1,1,,,166
,BELLAIRE TEXAS,54 55,,,,,,,,,,,,,,,166
,AVERAGE,,7,2,25,,1,2,2,2,3,4,3,9,,,166
,DENVER COL,54 55,,,,,,,,,,,,,,,166
,AVERAGE,,2,2,,6,5,2,6,3,4,,7,6,,,166
,SALT,54 55,,,,,,,,,,,,,,,166
,,,,3,,,,2,,3,2,1,,5,,,166
,AVERAGE,,2,,4,4,4,,2,,,,4,,,,166
,ANCHORAGE ALASKA,54 55,,,,,,,,,,,,,,,166
,AVERAGE,,,,,72,23,20,34,6,,10,,1,,,166
,,,7,,,,9,3,34,,,,,,,,166
,,54,,,,,,,,,,,,,,,166
,,,,1,3,4,6,2,2,,,,,,,,166
,AVERAGE,,,62,79,20,7,18,18,,,,,,,,166
,,55 56,,,,,,,,,,,,,,,166
,,,3,2,2,1,3,2,5,1,3,2,5,1,,,166
,AVERAGE,,,2,,2,1,1,,,,,,,,,166
,,54 56,,,,,,,,,,,,,,,166
,,,9,19,9,4,5,1,12,16,27,32,,,,,166
,AVERAGE,,4,6,4,1,2,,6,12,11,17,,,,,166
,,54 55,,,,,,,,,,,,,,,166
,,,,5,,,,,,,,,,,,,166
,,,3,,,,2,2,3,2,3,4,5,4,,,166
,AVERAGE,,6,10,,1,1,7,15,13,14,12,8,12,,,166
,,,5,1,,1,1,2,11,12,13,10,4,1,,,166
,CALIF,54 56,,,,,,,,,,,,,,,166
,,,4,6,3,2,5,5,5,5,6,4,7,6,,,166
,,,10,11,2,5,2,13,16,13,17,14,13,16,,,166
,AVERAGE,,6,6,,2,1,3,6,6,10,9,6,4,,,166
,,55 56,,,,,,,,,,,,,,,166
,AVERAGE,,,2,1,,2,,3,4,2,3,2,,,,166
,,54,,,,,,,,,,,,,,,166
,,,1,2,9,4,3,,2,7,5,,20,,,,166
,,,20,47,57,11,41,,20,30,30,60,90,,,,166
,AVERAGE,,20,31,24,,23,,,20,,33,39,,,,166
,,,,,,,11,,,,6,6,7,,,,166
,,,2,2,1,2,3,2,2,2,3,1,,,,,166
,AVERAGE,,15,4,7,3,8,8,13,3,7,6,,,,,166
,,,7,3,7,2,5,4,5,2,3,6,,,,,166
