Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,94,,,,,,,,,,,,,,,,78
,,,,,,,,PER,,,,,,,,,78
,,,,,,,,19 20,21 34,,,,,59,,61,78
,NEw JERSEY TOTAL,,10,,70,39,1,,,,,,,,,,78
,NEW YORK TOTAL,54 55,21,,160,57,12,24 34,43 54 61,,74,,,88,,99,78
,COLUMBIA TOTAL,54,19,,110,45,11,23 30,36 41 43,,54,,,65,,78,78
,,54 55,31,,392,123,1,34 58,78 97 141,,155,,,179,,335,78
,NOIS TOTAL,,,,,,,,,,,,,,,,78
,OHIO TOTAL,54 55,40,,,35,,1 10,19 26 29,,33,,,43,,105,78
,TEXAS TOTAL,54,7,,43,17,,1,1 15 15,,34,,,38,,38,78
,ALASKA TOTAL,54 55,12,,28,5,,1,1 1 1,,3,,,15,,21,78
,CALIFORNIA TOTAL,54 55,74,,140,33,,1 8,12 20 30,,38,,,69,,87,78
,,,40,,406,93,7,24 39,43 72 94,,,,,159,,190,78
,OREGON TOTAL,54,,,,,,,,,,,,,,,78
,MIO TOTAL,54 55,31,,160,,12,20 27,38 52,,61,,,75,,94,78
,TOTAL,54 55,i9,,110,45,ii,23 30,36 41 43,,54,,,65,,78,78
,TOTAL,54 55,71,,392,74,1,8 23,28 38 61,,95,,,125,,179,78
,GULF SOUTH TOTAL,54,,,43,17,,1,1 15 15,,34,,,38,,38 38,78
,TOTAL,54 55,126,,406,49,,1 10,18 28 39,,64,,,861133 86,,133,78
,GRAND TOTAL,54 55,257,,406 406,54,1,3 14,24 33 43,,65,,,90,,141,78
co,,,,,,,,,,,,,,,,,78
oe,,,,,,,,,,,,,,,,,78
aun,,,,,,,,,,,,,,,,,78
oe,,,,,,,,,,,,,,,,,78
co,,,,,,,,,,,,,,,,,78
on,,,,,,,,,,,,,,,,,78
E,,,,,,,,,,,,,,,,,78
ca,,,,,,,,,,,,,,,,,78
oa,,,,,,,,,,,,,,,,,78
