Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,121,,,105
,,,,2,2,4,,3,3,3,4,1,4,3,2,,,105
,,,,,,10,20,20,10,30,30,10,40,30,20,,,105
,,AVERAGE,,,,4,4,20,3,15,17,10,12,23,10,,,105
,,,55,,,,,,,,,,,,,,,105
,,BO STON MA,,,,,,,,,,,,,,,,105
,,AVERAGE,,30,,,,6,10,5,,60,13,,,,,105
,,EV ERETT MA,55,,,,,,,,,,,,,,,105
,,AVERAGE,,6,33,13,40,50,18,1,10,13,40,,30,,,105
,,,,,,,,,,,,6,40,,10,,,105
,,NEW YORK,54 56,,,,,,,,,,,,,,,105
,,AVERAGE,,31,4,,35,19,4,3,,18,13,7,3,,,105
,,PH PA,55 56,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,10,,,,105
,,AVERAGE,,15,4,5,5,6,6,4,3,,,2,2,,,105
,,ER,56,,,,,,,,,,,,,,,105
,,NUMB,,3,1,2,3,2,1,1,,3,4,2,3,,,105
,,AVERAGE,,13,,,2,3,,,,10,20,18,70,,,105
,,TTSBURGH,56,,,,,,,,,,,,,,,105
,,,,3,3,3,,,3,2,,2,2,2,1,,,105
,,AVERAGE,,12,20,36,,,15,,,22,25,25,40,,,105
,,wil,55 56,,,,,,,,,,,,,,,105
,,AVERAGE,,,,,25,23,,20,30,23,,6,3,,,105
2,,,55 56,,,,,,,,,,,,,,,105
,,AVERAGE,,10,,,20,13,35,20,15,8,20,,,,,105
2,,,54 55,,,,,,,,,,,,,,,105
,,LO,,,,,,,,,,,,,,,,105
,,AVERAGE,,1,16,35,6,23,60,19,8,10,19,8,15,,,105
,,CH VA,55,,,,,,,,,,,,,,,105
,,,,,,60,,20,50,5,70,100,20,5,,,,105
,,AVERAGE,,,,,,,,,,,,,,,,105
oe,,,,,,,,,,,,,,,,,,105
an,,TA MPA FLA,,,,,,,,,,,,,,,,105
,,AVERAGE,,15,50,,20,,20,15,35,33,20,,7,,,105
,,GA,55 56,,,,,,,,,,,,,,,105
,,AT LANTA,,1,1,3,2,1,1,3,1,,1,1,1,,,105
,,AVERAGE,,200,50,30,20,,20,,80,,100,60,40,,,105
,,CHATTANOOGA TENN,56,,,,,,,,,,,,,,,105
,,AVERAGE,,,23,16,14,50,,10,17,16,341 31,20,53,,,105
,,,,,,10,,30,,10,,,,,7,,,105
ct ait,,,,,,,,,,,,,,,,,,105
,,CHICAGO,55,,,,,,,,,,,,,,,105
,,AVERAGE,,,40,15,46,18,12,6,45,37,36,21,,,,105
,,EAST LOUIS,55 56,,,,,,,,,,,,,,,105
,,AVERAGE,,29,35,115,40,40,36,200,50,113,,55,126,,,105
,,,,,,,,,20,200,30,20,,30,40,,,105
,,,,,,,,,,2,,,,,,,,105
oa,,,,,,,,,,,,,,,,,,105
