Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Page
coL,,,,7,3,13,13,,,7,10,,,65
,9,8,3,,,,,,,,,,,65
AVERAGE,25,13,126,24,28,57,145,24,198,123,14,27,,65
BOISE,57,,,,,,,,,,,,,65
AVERAGE,,,,,75,,778,30,294,25,17,6,,65
,,,,,7,17,,21,136,,14,6,,65
HELENA MONTANA,57,,,,,,,,,,,,,65
AVERAGE,,,,,58,20,137,24,54,17,8,19,,65
,,,,,28,7,33,12,26,8,8,12,,65
SALT LAKE,53 57,,,,,,,,,,,,,65
,,7,3,1,8,7,6,9,8,3,7,9,,65
AVERAGE,17,11,617 617,35,608,15,36,6061,43,29,46,27,,65
CHEYENNE,97,,,,,,,,,,,,,65
AVERAGE,49,,,22,2,49,1071,144,221,1273,,35,,65
,,,,,,,,47,82,210,2,25,,65
,49,22,12,8,2,14,592,,,,,,,65
ANCHORAGE ALASKA,53 57,,,,,,,,,,,,,65
AVERAGE,2,3,3,5,4,3,9,1,21,8,15,5,,65
,57,,,,,,,,,,,,,65
PHOENIX ARIZ,,,,,3,2,2,2,2,3,2,2,,65
AVERAGE,,,,,61,27 2711984,1984,36,131,2458,50,23,,65
,,,,,50,25,277,22,120,19,36,15,,65
LOS,54 S7,,,,,,,,,,,,,65
AVERAGE,,1,7,15,23,7,78,14,33,,22,29,,65
,,1,,1,1,2,6,12,33,,19,29,,65
SA,55 57,,,,,,,,,,,,,65
,30,,,,33,,,9,69,16,15,56,,65
AVERAGE,30,,,,16,6,5,3,37,13,15,34,,65
PA SADENA CALIF,53 57,,,,,,,,,,,,,65
,56,43,29,60,82,9,8,9,49,37,20,47,,65
AVERAGE,23,9,9,16,20,4,4,4,21,28,8,,,65
,54 55,,,,,,,,,,,,,65
AVERAGE,2,6,7,4,1,1,1,,17,16,25,15,,65
,,,,,,,1,,3,10,8,6,,65
SA,54 57,,,,,,,,,,,,,65
AVERAGE,2,4,9,9,7,6,4,4,34,26,17,20,,65
SA N,56,,,,,,,,,,,,,65
,24,20,15,13,26,2,30,3,26,34,2,is,,65
AVERAGE,,,,,24,1,1,,,34,2,2,,65
SA N CALIF,57,,,,,,,,,,,,,65
AVERAGE,14,15,33,65,26,23,23,14,86,42,14,15,,65
BU,,,,,,,,,,,,,,65
AVERAGE,10,ei,,,14,8,37,29,36,27,14,16 16,,65
SA N,,,,,,,,,,,,,,65
,,8,55,,40,3500,64,41,1153,19,20,19,,65
AVERAGE,,8,55,,29,1186,58,41,113,19,19,19,,65
