Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,1,5,,4,6,6,4,7,6,3,1,,,,134
,AVERAGE,,3,6,,2,2,2,,,,,2,,,,134
,,,3,,,,,,,,,,2,,,,134
,,55,,,,,,,,,,,,,,,134
,,,2,3,1,4,4,4,,13,12,6,1,6,,,134
,AVERAGE,,1,4,28,17,17,12,,6,7,6,20,7,,,134
,,,,2,28,1,2,2,,,,2,20,,,,134
,,57,,,,,,,,,,,,,,,134
,,,1,2,2,3,1,3,2,3,1,,,,,,134
,,,,7,7,13,4,8,7,8,7,,,,,,134
,AVERAGE,,6,6,6,9,4,6,,,,,,,,,134
,VA,54 55,,,,,,,,,,,,,,,134
,,,,1,1,3,4,3,2,1,1,3,2,1,,,134
,AVERAGE,,,10,10,17,6,3,6,10,10,7,5,20,,,134
,,,,10,10,4,5,,,10,10,6,5,20,,,134
,,54 55,,,,,,,,,,,,,,,134
,NUMBER,,2,2,1,5,5,2,2,2,3,1,2,,,,134
,AVERAGE,,4,21,3,7,6,1,4,4,3,4,4,3,,,134
,,,4,3,3,,1,,3,3,1,4,4,3,,,134
,ATLANTA GA,54 56,,,,,,,,,,,,,,,134
,,,,3,,3,3,1,3,1,,1,1,,,,134
,,,1,,4,,,,6,5,,30,30,10,,,134
,AVERAGE,,7,5,6,1,1,5,3,5,,30,30,10,,,134
,,55 56,,,,,,,,,,,,,,,134
,,,1,5,3,2,2,,1,4,4,5,3,2,,,134
,,,6,5,3,,5,,1,2,1,4,10,9,,,134
,AVERAGE,,,,,,,,,,,2,3,3,,,134
,,,6,1,2,,1,,1,,,,,,,,134
,CHICAGO,54,,,,,,,,,,,,,,,134
,,,6,22,20,10,70,49,20,20,30,30,40,15,,,134
,AVERAGE,,3,10,9,7,15,9,4,6,8,9,12,9,,,134
,,55,,,,,,,,,,,,,,,134
,,,,2,,,,3,1,,3,1,2,3,,,134
,,,4,,2,2,2,,,10 4,,,,10,,,134
,AVERAGE,,5,,77,151,3,5,20,7,3,4,1,5,,,134
,,55 56,,,,,,,,,,,,,,,134
,,,6,,14,7,4,6,10,5,7,6,8,8,,,134
,AVERAGE,,23,23,13,13,9,12,8,7,22,14,26,31,,,134
,,,1,2,2,6,4,,,,2,7,,1,,,134
,,53 54,,,,,,,,,,,,,,,134
,AVERAGE,,,1,350,34,90,52,,,,,34,,,,134
,cl,54 55,,,,,,,,,,,,,,,134
,,,3,8,40,17,18,19,8,9,12,8,3,6,,,134
,AVERAGE,,7,19,25,10,35,2,1,1,1,5,70,5,,,134
,,,4,,,,,,,,,,3,,,,134
,,57,,,,,,,,,,,,,,,134
,,,,,1,2,1,1,2,2,1,2,,,,,134
,AVERAGE,,,,7,9,11,10,13,13,6,11,,,,,134
,,,42,44,,28,80,,8,,,,,,,,134
,AVERAGE,,32,25,34,18,44,13,7,5,6,4,,,,,134
,NNEAPOLIS,54,,,,,,,,,,,,,,,134
,AVERAGE,,2,11,5,1,12,10,,8,6,7,4,7,,,134
,,,2,3,5,,,3,,4,2,6,3,7,,,134
,KA,54 56,,,,,,,,,,,,,,,134
,,,3,12,5,,1,2,4,3,1,4,6,10,,,134
,Mi,,2,4,3,,,,1,1,1,4,6,10,,,134
,,,2,2,,2,3,2,2,3,1,1,3,2,,,135
