Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,57,130,12,4401103 440,103,43,52,58,648,,,,,,,37
,MAINE TOTAL,57,,,290 90,98,29,,55,68,,90,138,149,171,,37
,MASSACHUSETS TOTAL,55,295,10,615,91,31,44,58,66,75,89,109,128,166,,37
,TOTAL,57,17,lo,107,,25,30,33,38,44,,59,78,97,,37
,RHODE,57,27,33,700,,51,56,65,75,86,97,110,120,159,,37
,VERMONT TOTAL,57,26,3,45,24,14 14,16,22,23,24,25,30,32,35,,37
,DELAWARE TOTAL,57,,38,410,125,55,65,80,88,97,109,129,159,232,,37
,NEW JERSEY TOTAL,55 57,311,16,467,100,43,53,64,76,86 386,98,114,1353,175,,37
,TOTAL,55 57,241,17,402,86,33,42,50,61,71,83,102,1253,154,,37
,PENNSYLVANIA TOTAL,55,1249,7,829,137,49,68,82,100,116,133,156,190,241,,37
,COLUMBIA TOTAL,55 57,87,9,550,119,36,46,59,87,109,130,152,177,207,,37
,KENTUCKY TOTAL,57,78,15,706,130,52,62,68,85,96,110,138,,243,,37
,,,53,25,952 9521167,167,59,84,92,102,125,138,165,202,371,,37
,TOTAL,57,,12,531,107,33,45,49,54,71,107,126,159,227,,37
,,57,21,16,118,48,16,22,33,41,49,55,61,64,68,,37
,VIRGINIA TOTAL,,,25,198,84,36,48,54,59,71,87,109,138,1 1,,37
,WEST VIRGINA TOTAL,55 57,99,24,437,126,44,56,76,92,101,115,134,190,237,,37
,,57,25,9,214,91,41,,,78,90,95,102,112,159,,37
,ALABAMA TOTAL,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,70,,95,120,,37
,FLORIDA TOTAL,55 57,111,,247,71,33,41,48,55,63,,,,,,37
,GEORGIA TOTAL,55 57,116,35,803,120,51,66,75,82,88,104,120,145,,,37
,MISSISSIPPI FOTAL,57,24,3,220,53,8,18,19,33,36,41,,73,120,,37
,TOTAL,57,53,24,350,i113,38,46,54,68,78,104,138,i89,255,,37
,TENNESSEE TOTAL,55 37,172,9,733,142,51,61,72,89,113,132,156,191,271,,37
,TOTAL,55 57,267,,618,150,39,61,78,102,124,149,167,236,295,,37
,TOTAL,55 57,272,19,490,124,44,57,73,87,102,118,144,177,241,,37
,MICHIGAN TOTAL,56 57,181,7,417,81,29,37,50,60,67,79,93,109,143,,37
,OHIO TOTAL,55 57,297,21,1231,54,43,55,7,80,,,,90,,,37
,,,,,,71,29,43,49,61,65,71,82,95,120,,37
,WISCONSIN TOTAL,57,,9,212,,,,,,,,,,,,37
,,,,,,,,,,,,,,104,138,,37
,TOTAL,57,26,6,1853,72,33,41,46,49,55,68,84,,,,37
,KANSAS TOTAL,57,69,138,285,62,29,32,36,40,43,50,57,,132,,37
,MISSOURI TOTAL,55,334,7,745 7451142,142,37 37,66,86,98,113,132,157,200,,,37
,,,52,24,175,62,33,39,44,47,49,,66,,,,37
,NEBRASKA TOTAL,57,,,,,,,,,,,,,,,37
,NORTH DAKOTA TOTAL,57,24,17,90,38,16,25,28,34,36,38,43,Si,68,,37
,SOUTH DAKOTA TOTAL,57,26,5,75,338,22,24,28,30,38,43,46,,,,37
,ARKANSAS TOTAL,57,26,24,174,58,27,28,33,40,44,48,50,,104,,37
,LOUISIANA TOTAL,535 57,135,16,558,101,34,42,95,,84,97,113,131,2U4,,37
,NEW MEXICO TOTAL,57,,61,410,180,78,86,99,136,159,183,211,280,322,,37
,TOTAL,57,20,,67,26,8,17,,23,24,25,28,33,42,,37
,TEXAS TOTAL,57,300,le,405 405,71,23 3,32,40,47,55,65,79,98,138,,37
,TOTAL,,92,17,424,132,53,70,83,96,110,127,146,176,243,,37
,,,34,,237,88,40,46,,59,82,88,,120,is9,,37
,TGTAL,57,,25,,,,,,,,,,,,,37
,MONTANA TOTAL,57,25,,42,21,8,9,16,18,22,24,27,29,38,,37
,UTAH TOTAL,55 57,75,29,467,121,47,56,69,77,90,106,138,173,255,,37
,ALASKA TOTAL,57,42,16,532,105,33,40,49,68,80,97,127,142,,,37
,ARIZONA TOTAL,57,26,37,587,164,51,68,78,84,104,,183,291,312,,37
,,,,,790,1393,31,49,67,85,105,124,158,206,275,,37
,CALIFORNIA TOTAL,55 57,467 67,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,67,,37
,HAWAII TOTAL,56 57,62,,107,40,17,,25,28,34,43,49,56,,,37
,NEVADA TOTAL,,26,25,167,76,38,44,53,S7,68,78,90,112,129,,37
,OREGON TOTAL,55 57,137,3,438,98,40,47,,69,77,86,100,134,178,,37
,WASHINGTON TOTAL,57,25,16,232,99,33,44,64,,90,104,,149,,,37
