Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,195,,,179
,,,,2,3,4,4,4,3,3,1,4,3,3,2,,,179
,,AVERAGE,,18,14,12,8,10,37,37,39,19,36,26,27,,,179
,,,54 55,,,,,,,,,,,,,,,179
,,,,,3,,,,,,,,,,,,,179
,,,,,27,,,20,,34,23,32,18,,,,,179
,,AVERAGE,,,,,,8,9,24,18,18,16,,,,,179
,,CHICAGO,54 55,,,,,,,,,,,,,,,179
,,,,,4,,,4,9,5,3,4,6,3,3,,,179
,,AVERAGE,,32,29,,,8,16,36,31,34,47,41,59,,,179
,,,53 54,,,,,,,,,,,,,,,179
,,,,,2,3,4,2,1,,,,,17,,,,179
,,AVERAGE,,,21,24,31,10,71,,,,,26,,,,179
,,,,,20,23,14,5,71,,,,,,,,,179
,,CUNCINNATI OHIO,54,,,,,,,,,,,,,,,179
,,,,1,6,44,18,17,i7,6,6,10,5,1,4,,,179
,,AVERAGE,,17,15,22,22,16,16,15,14,17,13,38,14,,,179
,,,54 55,,,,,,,,,,,,,,,179
,,,,1,1,,5,4,3,1,2,3,2,,2,,,179
,,AVERAGE,,9,,,96,10,ia,18,4,3,3,,9,,,179
,,,,,,,,,,,,,,,7,,,179
,,,54,,,,,,,,,,,,,,,179
,,,,,1,4,4,6,2,2,,,,,,,,179
,,,,,7,28,40,18,22,30,,,,,,,,179
,,AVERAGE,,,7,12,27,7,15,28,,,,,,,,179
,,,,,7,1,,2,9,27,,,,,,,,179
,,,54 55,,,,,,,,,,,,,,,179
,,,,2,3,1,1,2,3,4,2,2,4,,,,,179
,,AVERAGE,,,23,2,,5,,28,,31,,,,,,179
,,,,11,,,,,16,,23,,39,,,,,179
,,,,10,17,2,,4,15,22,22,28,22,,,,,179
2,,,54,,,,,,,,,,,,,,,179
,,,,3,5,,2,2,2,3,2,3,4,5,4,,,179
,,AVERAGE,,17,13,,3,1,i1,16,,15,11,16,14,,,179
,,,54 55,,,,,,,,,,,,,,,179
,,,,3,4,2,2,2,2,2,2,4,3,5,3,,,179
,,AVERAGE,,15,16,16,8,4,14,11,18,14,19,12,15,,,179
,,,54,,,,,,,,,,,,,,,179
,,,,,2,6,3,3,,,,,20,20,,,,179
,,AVERAGE,,,,,,10,,,,,,,,,,179
,,,,,18,1,1,,,,,,16,22,,,,179
,,,,,,,,2,,,,,10,11,,,,179
,,HAMILTON,54 55,,,,,,,,,,,,,,,179
,,,,,9,34,13,16,23,28,,,,12,8,,,179
,,AVERAG,,,9,17,11,,19,16,,11,8,9,,,,179
on,,,,,,,,,,,,,,,,,,179
Nw,,,,,,,,,,,,,,,,,,179
om,,,,,,,,,,,,,,,,,,179
,,,,,,,,,,,,,a,,,,,179
am,,,,,,,,,,,,,,,,,,179
yo,,,,,,,,,,,,,,,,,,179
va,,,,,,,,,,,,,,,,,,179
co,,,,,,,,,,,,,,,,,,179
,,G ogle,,,,,,,,,,,,,,,,179
oa,,O,,,,,,,,,,,,,,,,179
