Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,58,,,,,,,,,,,,,,42
,,,,,,68,,,,,,,,,,,42
,,,AVERAGE 61,77,85,54,,,,108,150,63,222,104,,,42
,,,35,46,45,42,,,65,62,86,63,161,27,,,42
,,,PA ULSBORQ N 56,,,,,,,,,,,,,,42
,,,AVERAGE 103,129,73,48,47,,92,69,93,64,107,59,,,42
,,,CA J 55 57,,,,,,,,,,,,,,42
,,,,213,245,189,161,105,138,,,100 4,,6,,,42
,,,AVERAGE,114,153,iie,121,92,91,93,79,78,160,134,,,42
,,,,44,84,55,77,80,66,59,30,57,91,54,,,42
,,,N J 55 56,,,,,,,,,,,,,,42
,,,AVERAGE 68,B4,77,56,102,,81,77,48,76,104,130,,,42
,,,,59,56,,77,,,,,,,,,,42
,,,55 56,,,,,,,,,,,,,,42
,,,AVERAGE 50,150,64,77,47,,58,46,,46,123,133,,,42
,,,41,,60,29,43,,36,36,,18,53,51,,,42
,,,55 57,,,,,,,,,,,,,,42
,,,190,125,119,85,80,101,110,118,102,,146,,,,42
,,,AVERAGE,,,,,,,,,92,,1638,,,42
,,,N J 57,,,,,,,,,,,,,,42
,,,31,201,26,151,86,145,75,92,173,,24,358,,,42
,,,AVERAGE 22,,20,,55,145,,,130,,24,253,,,42
5,,,,,,,,,,,,,,,,,42
,,,2,2,2,3,1,2,1,1,2,2,,,,,42
,,,AVERAGE 89,85,185,192,S2,77,47,63,50,67,,,,,42
,,,55 57,,,,,,,,,,,,,,42
2,,,239,344,186,159,165,127,104,,130,402,272,178,,,42
,,,AVERAGE 124,151,,118,91,82,55,79,83,142,125,90,,,42
,,,33,54,71,62,36,17,is,23,44,58,59,24,,,42
,,,AVERAGE 100,74,97,108,69,40,33,65,47,60,74,66,,,42
,,,57 57,,,,,,,,,,,,,,42
,,,AVERAGE 28,36,96,196,78,144,83,70,105,79,114,50,,,42
oe,,,SCHENECTADY 57,,,,,,,,,,,,,,42
,,,AVERAGE 48,57,36,25,50,42,32 32,27,44,132,52,37,,,42
,,,48,33,25,25,47,42,28,19,35,29,47,37,,,42
,,,57,,,,,,,,,,,,,,42
,,,AVERAGE 34,67,,47,72,109,62,74,69,90,130,92,,,42
,,,UTICA N Y 57,,,,,,,,,,,,,,42
,,,AVERAGE 80,95,70,71,32,44,40,83,72,69,80,55,,,42
,,,58,,56,52,26,44,34,83,48,26,35,42,,,42
ats,,,,,,,,,,,,,,,,,42
,,,PHILADELPHIA A 55 57,,,,,,,,,,,,,,42
,,,,61,66,61,78,66,99,79,89,77,93,76,,,42
,,,AVERAGE 174,185,161,177,145,133,106,111,125,137,180,220,,,42
,,,43,32,4a,34,48,53,23,34,24,16,42,44,,,42
Nw,,,,,,,,,,,,,,,,,42
,,,55 56,,,,,,,,,,,,,,42
,,,,173,230,74,188,50,,110,89,490,200,179,,,42
om,,,AVERAGE,173,230,63,i39,40,,63,74,171,142,142,,,42
,,,,173,230,52,98,35,,40,63,50,83,112,,,42
ont,,,,,,,,,,,,,,,,,42
,,,Google,,,,,,,,,,,,,,42
oa,,,,,,,,,,,,,,,,,42
