Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
KY,,,,,,,,,,,,,,,,61
AVERAGE,,18,8,12,3,21,12,10,8,130,84,50,14,,,61
BA LTIMORE MO,,,,,,,,,,,,,,,,61
AVERAGE,,17,13,,34,22,29,53,64,28,,16,9,,,61
MEN MUM,,17,10,,12,22,15,38,20,28,20,13,4,,,61
CH ARLOTTE NC,57,,,,,,,,,,,,,,,61
,,,,,,45,20,45,234,63,102,21,20 20,,,61
AVERAGE,,,,,,,,,,,,,,,,61
AVERAGE,,,,,,23,25,61,50,8,,,11,,,61
MUM,,,,,,23,24,14,18,8,15,6,10,,,61
SA N,,,,,,,,,,,,,,,,61
AVERAGE,,,,,,,9,22,29,42,14,6,,,,61
VA,,,,,,,,,,,,,,,,61
,,,,,,30,115,98,7,59,15,22,,,,61
AVERAGE,,,,,,,,,,,,,10,,,61
MUM,,,,,,19,44,20,7,33,15,3,,,,61
CHMOND VA,,,,,,,,,,,,,,,,61
AVERAGE,,,,,,61,124,88,30,47,45,17,,,,61
ARLESTON,,,,,,,,,,,,,,,,61
CH VA,53 57,,,,,,,,,,,,,,,61
AVERAGE,,1,,4,6,,14,11,10,66,18,3,13,,,61
WHEEL VA,57,,,,,,,,,,,,,,,61
AVERAGE,,,,,,55,32,16,18,431,64,15,16,,,61
,,,,,,55,32,16,13,36,33,7,16,,,61
AVERAGE,,,,,,27,30,140,,85,39,15,,,,61
TAMPA FLA,53,,,,,,,,,,,,,,,61
,,14,10 32,43,119,130,,137,,124,658,74,67,,,61
AVERAGE,,16,8,15,31,36,60,24,37,21,152,,14,,,61
AMI FLA,,,,,,,,,,,,,,,,61
AVERAGE,,9,4,26,10,26,22,39,24,183,36,31,14,,,61
ATLANTA GA,53,,,,,,,,,,,,,,,61
AVERAGE,,8,14,19,,30,34,45,21,70,,14,19,,,61
,57,,,,,,,,,,,,,,,61
,,,,,,43,6,41,19,94,58,23,26,,,61
AVERAGE,,,,,,24,4,30,18,22,55,10,24,,,61
,57,,,,,,,,,,,,,,,61
AVERAGE,,,,,,11,88,54,173,17,340,12,15,,,61
