Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,23,,14,2,,1,,,2,3,4,4,5,,141
,,,55 56,19,,21,2,,,,1,1,1,1,1,2,,141
,,,54 55,23,,51,12,,1,1,1,4,7,9,32,47,,141
,,,54,4,20,36,30,,2i,21,32,32,32,35,35,37,,141
,,,,,,,,,10,,28,30,30,32,37,37,,141
,,1154,54,7,10,45,29,10,,26,,,,,,,,141
,,,54 55,36,4,75,26,5,7,10,,15,24,35,47,55,,141
,,,54,9,32,84,46 46,30,32,37,40,43,43,47,50,67,,141
,,,54,10,3,25,14,3,5,6,12,16,17,17,16,21,,141
,,,,,,47,30,1,1,32,32,37,37,43,43,50,,141
,,1154,54,5,1,,,,,,,,,,,,,141
,,1154,54,12,2,47,27,2,13,20,,29,31,32,40,43,,141
,,,54 56,148,,84,19,,1,3,6,12,19,30,37,49,,141
,,,,,,,7,2,2,2,5,5,6,8,9,,,141
,ALASKA,,55 56,12,2,23,,,,,,,,,,,,141
