Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,MIDOLESEX,,55 23,,10 1,,,,1,1,1,1,2,3,,163
,LAKEHURST N J,,55 56 19,,1,,,,1,1,1,1,1,,,163
,KANAWHA VA,,54 55 22,,50 13,1,1,3,6,,10,17,29,34,,163
,FULTON,,54 5,1,36 16,1,1,,4,,,,,,,163
,,,,,,,,1,,9,,34,34,38,,163
,HAMILTON,,54 55 36,,38 7,2,3,4,5,6,7,,10,11,,163
,TONKA,1454,54 9,,28 5,,1,1,1,4,4,4,5,8,,163
,DENVER,,54 55 10,,6 3,1,1,2,2,3,3,4,4,4,,163
,SALT,,,,,,,,,,,,,,,163
,LAKE,,54 4,,8 2,,1,1,1,1,1,3,3,8,,163
,ORE,,54 12,2,7,2,4,5,5,6,6,,10,11,,163
,GRAND TOTAL,,54 56 140,,50 6,,1,1,2,3,5,7,,13,,163
,PT WORONZOF ALASKA,,,,,,,,,,,,,,,163
,,,55 56 12,,2 1,,,,,,2,2,2,2,,163
