Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,WATERBURY CONN,,55,14,4,20,10,,5,6,8,9,,,,,,128
,,,56,22,,70,13,5,6,7,,10,10,11,20,22,,128
,,,,36,,70,12,5,6,7,8,,10,,19,21,,128
,,,55 56,,,,,,,,,,,,,,,128
,,,55,23,34,450,123,37,52,59,,,117,146,164,243,,128
,,,55,26,10,550,124,29,44,49,S2,70,83,93,160,342,,128
,ELIZABETH N J,,55 56,21,,510,67,,10,16,29,39,44,55,62,104,,128
,,,55 56,25,7,168,,20,24,35,41,,62,78,85,104,,128
,CAMDEN,,56,21,13,1500,118,18,,29,39,44,49,S7,74,104,,128
,PERTH,,55 56,23,17,120,61,24,29,31,44,60,66,74,96,114,,128
,,,56,17,18,550,73,26,28,31,34,37,41,52,68,74,,128
,JERSEY,,56,23,14,1200,115,20,28,31,41,,62,68,74,173,,128
,NEW YORK,,54 56,50,,102,21,1,6,,10,13,19,22,33,44,,128
,,,54 55,24,,76,17,2,,10,ii,13,16,20,21,31,,128
,,,54 56,74,,102,20,2,7,,10,13,18,21,29,42,,128
,PHILADELPHIA PA,1154,54,,49,242,139,52,52,88,88,123,173,,205,205,,128
,,,55,94,,,4,,1,2,3,4,5,5,6,8,,128
,,,,11,,14,4,1,1,2,2,3,5,5,6,9,,128
,,,54 56,111,,242,11,1,1,2,3,4,5,5,6,9,,128
,,,54,,40,321,125,,44,44,68,68,68,74,74,342,,128
,,,56,,,,17,,1,1,2,,16,31,34,37,,128
,,,56,9,,28,4,,1,1,1,1,1,2,2,2,,128
,,,56,11,,5,2,,1,1,2,2,3,3,4,4,,128
,,,56,11,,70,,1,1,2,4,5,6,8,,16,,128
,,,,10,40,321,,44,52,68,,88,123,,,243,,128
,,,55,94,,16,4,,1,2,3,4,5,5,6,8,,128
,,,56,53,,70,8,,1,1,2,3,4,5,,,,128
,,,54 56,157 57,,321,13,,1,2,3,4,5,6,,16,,128
,ALTOONA PA,,56,13,90,2300,763,04,266,288,482,572,626,,,,,128
,,,,,11,58,25,,,14,15,17,,22,,,,128
,PA,,55 56,,,,,11,14,,,,19,,48,55,,128
,CHESTER PA,,56,18,,21,5,1,2,3,3,4,4,5,5,7,,128
,,,56,25,30,930,193,44,57,79,88,104,146,230,288,527,,128
,,,,,,2400,,,,,,,,,,,,128
,PA,,56,21,,,386,10,31,41,44,96,160,288,957,1136,,128
,WILLIAMSPORT PA,,55 56,23,10,120,30,11,19,20,21,27,28,29,30,44,,128
,,,54,23,,6,,,,,,1,1,1,1,2,,128
,,,55 56,20,,12,3,4,1,1,2,2,2,3,4,6,,128
,,,54 56,43,,,1,,,1,1,1,1,2,3,5,,128
,LOUISVILLE KY,,54,20,2,58,14,2,4,5,6,,,17,23,26,,128
,,,55,21,,36,11,4,4,5,5,,,13,18,26,,128
,,,54,41,,58,12,3,4,5,5,,11,16,22,26,,128
,,,,13,,5,1,,,1,4,1,1,1,2,4,,128
,,,55,10,2,79,11,1,1,2,2,,,,,,,128
,,,,,,,,,,,,2,2,4,,16,,128
,,,54,23,,79,5,,1,1,1,1,2,2,4,8,,128
,,,54,5,,,5,1,1,2,2,2,2,5,,18,,128
,,,54,,,,,,,,,,,,,,,128
,,,54,38,,58,8,,1,,2,4,5,,13,23,,128
,,,55,31,,79,11,1,2,4,4,5,,12,16,26,,128
,,,54,69,,79,9,1,1,2,4,5,,10,16,24,,128
,,,57,18,4,13,6,4,5,5,6,6,7,7,7,8,,128
,VA,,54,6,,27,10,1,1,4,4,5,6,,22,22,,128
,,,55,16,5,20,8,5,5,5,6,7,9,,10,11,,128
,,,54 55,22,,27,8,4,4,5,6,6,7,,11,20,,128
,TAMPA FLA,,54 35,28,,39,6,1,2,2,3,3,4,4,4,6,,128
,ATLANTA GA,,54 56,22,,30,6,,1,4,4,4,5,5,,11,,128
,TENN,,,,,,,,,,,,,,,,,128
,,,,14,,15,2,,,1,1,1,1,2,3,8,,128
,,,55 56,18,1,20,5,1,2,2,4,4,5,6,7,9,,128
,,,55 56,32,,20,4,,1,1,2,3,4,5,7,9,,128
,CHICAGO,,54,4,,14,4,,1,1,2,2,2,3,3,16,,129
,,,55,28,,40,9,4,5,6,6,7,9,10,10,11,,129
,,,54 55,32,,40,8,2,4,6,6,7,8,9,10,16,,129
,,2154,54,30,,49,8,,1,1,1,4,8,12 12,15,17,,129
